Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
KIHYIJ,All Years,1.419,0.17574,2.13,0.105,1.64,4.14,2.524390244,2D,[1.4-1.5),[0.1-0.2),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.5-3.0)
JEZRUB,All Years,1.381,0.15727,2.62,0.075,1.67,4.22,2.526946108,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.2-4.3),[2.5-3.0)
VIVFUB,All Years,1.442,0.235787,53.1,0.132,1.85,4.69,2.535135135,2D,[1.4-1.5),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.5-3.0)
VIVGAI,All Years,1.656,0.182591,20.72,0.088,1.87,4.32,2.310160428,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5)
SOBGIZ,All Years,1.188,0.327223,155.16,0.215,2.72,4.63,1.702205882,2D,[1.1-1.2),[0.3-0.4),[150-200),[0.2-0.3),[2.6-3.0),[4.6-4.8),[1.6-1.8)
KIWFOL,All Years,1.472,0.168927,3.52,0.067,2.77,4.04,1.458483755,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[2.6-3.0),[3.9-4.2),[1.4-1.5)
SIZWAZ,All Years,1.203,0.366029,299.12,0.249,3.14,5.13,1.633757962,1D,[1.2-1.3),[0.3-0.4),[200-300),[0.2-0.3),[3.0-3.3),[5.0-5.3),[1.6-1.8)
KEXFAU,All Years,0.912,0.49645,131.66,0.442,3.46,4.27,1.234104046,1D,[0.8-1.0),[0.4-0.5),[100-150),[0.4-0.5),[3.3-3.6),[4.2-4.3),[1.2-1.3)
VILDUP,All Years,1.8,0.425698,133.79,0.287,3.57,4.64,1.299719888,2D,[1.8-2.0),[0.4-0.5),[100-150),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.2-1.3)
TAGPIA,All Years,0.871,0.488997,937.32,0.45,4.1,5.79,1.412195122,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.4-0.5),[4.0-4.5),[5.6-6.0),[1.4-1.5)
KIDGOT,All Years,0.773,0.619409,1906.6,0.728,4.52,7.24,1.601769912,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[4.5-5.0),[7.0-8.0),[1.6-1.8)
VIDMOK,All Years,0.66,0.634718,2459.44,0.862,4.75,6.16,1.296842105,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3)
KOSFIH,All Years,1.721,0.184619,51.2,0.098,1.1,4.39,3.990909091,1D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0)
KOWKUC,All Years,0.93,0.201859,183.46,0.161,1.29,5.15,3.992248062,3D,[0.8-1.0),[0.2-0.3),[150-200),[0.1-0.2),[0.7-1.4),[5.0-5.3),[3.0-4.0)
VOPLIV,All Years,1.029,0.234005,103.55,0.17,1.52,4.98,3.276315789,3D,[1.0-1.1),[0.2-0.3),[100-150),[0.1-0.2),[1.4-1.6),[4.8-5.0),[3.0-4.0)
SOFCEV,All Years,1.186,0.218514,55.93,0.145,1.67,4.72,2.826347305,2D,[1.1-1.2),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.5-3.0)
SOJGUT,All Years,1.205,0.277542,10.59,0.175,1.78,4.1,2.303370787,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.0-2.5)
SOZSUV,All Years,1.162,0.224763,124.21,0.159,2.02,5.12,2.534653465,1D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[5.0-5.3),[2.5-3.0)
KOLFUM,All Years,1.153,0.297812,16.61,0.195,2.1,4.2,2,2D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[2.0-2.5)
JOFZIN,All Years,1.537,0.249076,2.13,0.115,2.59,4.07,1.571428571,1D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.5-1.6)
ACUFUR01,All Years,1.146,0.324337,102.97,0.344,2.89,4.36,1.508650519,2D,[1.1-1.2),[0.3-0.4),[100-150),[0.3-0.4),[2.6-3.0),[4.3-4.4),[1.5-1.6)
JOGBAI,All Years,1.364,0.278154,13.18,0.192,3.06,4.33,1.41503268,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[4.3-4.4),[1.4-1.5)
JISDOE,All Years,1.05,0.346987,364.26,0.249,3.85,5.14,1.335064935,1D,[1.0-1.1),[0.3-0.4),[300-400),[0.2-0.3),[3.8-4.0),[5.0-5.3),[1.3-1.4)
SOJTOA,All Years,1.485,0.248296,258.17,0.141,4.58,5.4,1.179039301,1D,[1.4-1.5),[0.2-0.3),[200-300),[0.1-0.2),[4.5-5.0),[5.3-5.6),[1.1-1.2)
JORRUD,All Years,0.467,0.595385,3291.79,1.407,4.64,5.79,1.247844828,1D,[0.0-0.6),[0.5-0.6),[3000-10250],[1.0-1.5),[4.5-5.0),[5.6-6.0),[1.2-1.3)
KORLAE,All Years,0.35,0.753867,9996.08,2.255,5.11,6.55,1.281800391,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[2.0-7.0],[5.0-6.0),[6.5-7.0),[1.2-1.3)
VAWXAS01,All Years,0.904,0.608784,1718.26,0.619,5.29,6.7,1.266540643,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3)
SUDBOI,All Years,1.074,0.571117,1098.21,0.468,5.79,6.49,1.1208981,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.1-1.2)
SOWYOS,All Years,1.125,0.1487,91.28,0.099,0.89,5.06,5.685393258,NON-POROUS,[1.1-1.2),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[5.0-5.3),[5.0-12.0]
SOWYEI,All Years,1.279,0.136578,57.22,0.08,1.14,4.54,3.98245614,2D,[1.2-1.3),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.5-4.6),[3.0-4.0)
JOWJEK,All Years,1.172,0.22424,4.06,0.133,1.47,4.16,2.829931973,3D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[3.9-4.2),[2.5-3.0)
WACRIB,All Years,1.176,0.26435,71.57,0.167,1.97,4.55,2.30964467,2D,[1.1-1.2),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.0-2.5)
YAGJIZ,All Years,1.078,0.322093,64.36,0.221,2.68,4.57,1.705223881,1D,[1.0-1.1),[0.3-0.4),[50-100),[0.2-0.3),[2.6-3.0),[4.5-4.6),[1.6-1.8)
PEFVIF,All Years,1.46,0.303879,209.05,0.21,2.72,6.04,2.220588235,3D,[1.4-1.5),[0.3-0.4),[200-300),[0.2-0.3),[2.6-3.0),[6.0-6.5),[2.0-2.5)
