Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
SABJOX,2015,1.451,0.490727,182.64,0.263,3.82,4.5,1.178010471,1D,[1.4-1.5),[0.4-0.5),[150-200),[0.2-0.3),[3.8-4.0),[4.5-4.6),[1.1-1.2)
UGORAL,2015,1.159,0.349704,359.9,0.229,3.82,4.96,1.298429319,1D,[1.1-1.2),[0.3-0.4),[300-400),[0.2-0.3),[3.8-4.0),[4.8-5.0),[1.2-1.3)
HOVGIK,2015,1.128,0.479869,512.29,0.328,3.82,5.77,1.510471204,1D,[1.1-1.2),[0.4-0.5),[500-600),[0.3-0.4),[3.8-4.0),[5.6-6.0),[1.5-1.6)
QUGWOG,2015,1.388,0.489738,528.79,0.32,3.82,5.58,1.460732984,2D,[1.3-1.4),[0.4-0.5),[500-600),[0.3-0.4),[3.8-4.0),[5.3-5.6),[1.4-1.5)
BUPVIT,2015,1.294,0.595247,903.51,0.429,3.82,9.43,2.468586387,3D,[1.2-1.3),[0.5-0.6),[800-1000),[0.4-0.5),[3.8-4.0),[8.0-10.0),[2.0-2.5)
IHEQAP,2015,1.443,0.323313,229.38,0.198,3.84,4.98,1.296875,1D,[1.4-1.5),[0.3-0.4),[200-300),[0.1-0.2),[3.8-4.0),[4.8-5.0),[1.2-1.3)
LOZTEB,2015,1.175,0.446859,404.53,0.315,3.84,5.27,1.372395833,3D,[1.1-1.2),[0.4-0.5),[400-500),[0.3-0.4),[3.8-4.0),[5.0-5.3),[1.3-1.4)
KUMJOT,2015,1.081,0.375629,610.73,0.281,3.84,7.05,1.8359375,1D,[1.0-1.1),[0.3-0.4),[600-800),[0.2-0.3),[3.8-4.0),[7.0-8.0),[1.8-2.0)
IHAGEF,2015,1.728,0.324687,126.48,0.161,3.85,5.13,1.332467532,2D,[1.6-1.8),[0.3-0.4),[100-150),[0.1-0.2),[3.8-4.0),[5.0-5.3),[1.3-1.4)
LUXWEI,2015,1.348,0.495586,387.74,0.289,3.85,5.14,1.335064935,1D,[1.3-1.4),[0.4-0.5),[300-400),[0.2-0.3),[3.8-4.0),[5.0-5.3),[1.3-1.4)
MUMYAW,2015,1.255,0.115965,85.15,0.064,3.85,5.45,1.415584416,1D,[1.2-1.3),[0.1-0.2),[50-100),[0.0-0.1),[3.8-4.0),[5.3-5.6),[1.4-1.5)
IHAGIJ,2015,1.832,0.401866,196.4,0.17,3.86,5.01,1.297927461,2D,[1.8-2.0),[0.4-0.5),[150-200),[0.1-0.2),[3.8-4.0),[5.0-5.3),[1.2-1.3)
VOZGIC,2015,1.078,0.274058,295.46,0.194,3.86,5.64,1.461139896,1D,[1.0-1.1),[0.2-0.3),[200-300),[0.1-0.2),[3.8-4.0),[5.6-6.0),[1.4-1.5)
CUWTEV,2015,1.1,0.50789,568.33,0.475,3.86,5.14,1.331606218,1D,[1.1-1.2),[0.5-0.6),[500-600),[0.4-0.5),[3.8-4.0),[5.0-5.3),[1.3-1.4)
FUSQUH,2015,1.051,0.400473,529.86,0.299,3.86,6.58,1.704663212,1D,[1.0-1.1),[0.4-0.5),[500-600),[0.2-0.3),[3.8-4.0),[6.5-7.0),[1.6-1.8)
HOWSAP,2015,1.155,0.509798,958.4,0.361,3.86,6.58,1.704663212,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.3-0.4),[3.8-4.0),[6.5-7.0),[1.6-1.8)
NUCPEI,2015,1.072,0.633258,865.26,0.464,3.86,6.58,1.704663212,2D,[1.0-1.1),[0.6-0.7),[800-1000),[0.4-0.5),[3.8-4.0),[6.5-7.0),[1.6-1.8)
IHAGOP,2015,1.84,0.403092,191.89,0.169,3.87,5.02,1.297157623,1D,[1.8-2.0),[0.4-0.5),[150-200),[0.1-0.2),[3.8-4.0),[5.0-5.3),[1.2-1.3)
SABJIR,2015,1.412,0.50146,262.22,0.281,3.87,4.57,1.180878553,1D,[1.4-1.5),[0.5-0.6),[200-300),[0.2-0.3),[3.8-4.0),[4.5-4.6),[1.1-1.2)
YOYSEM,2015,1.169,0.543361,366.55,0.397,3.87,4.89,1.263565891,2D,[1.1-1.2),[0.5-0.6),[300-400),[0.3-0.4),[3.8-4.0),[4.8-5.0),[1.2-1.3)
YOYVAL,2015,1.365,0.446817,328.42,0.294,3.87,4.9,1.266149871,3D,[1.3-1.4),[0.4-0.5),[300-400),[0.2-0.3),[3.8-4.0),[4.8-5.0),[1.2-1.3)
QUGWIA,2015,1.434,0.475346,470.09,0.299,3.87,5.47,1.413436693,3D,[1.4-1.5),[0.4-0.5),[400-500),[0.2-0.3),[3.8-4.0),[5.3-5.6),[1.4-1.5)
SUBTAM,2015,1.326,0.572381,961.3,0.39,3.87,5.76,1.488372093,1D,[1.3-1.4),[0.5-0.6),[800-1000),[0.3-0.4),[3.8-4.0),[5.6-6.0),[1.4-1.5)
VOSTAA,2015,0.908,0.596661,1326.72,0.574,3.88,9.36,2.412371134,3D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[3.8-4.0),[8.0-10.0),[2.0-2.5)
MUPTOI,2015,1.033,0.499691,830.79,0.433,3.88,5.33,1.37371134,1D,[1.0-1.1),[0.4-0.5),[800-1000),[0.4-0.5),[3.8-4.0),[5.3-5.6),[1.3-1.4)
PUBDUN,2015,1.406,0.28297,31.87,0.141,3.9,4.25,1.08974359,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[3.8-4.0),[4.2-4.3),[1.0-1.1)
QUPJAO,2015,0.879,0.552087,711.87,0.522,3.9,5.2,1.333333333,1D,[0.8-1.0),[0.5-0.6),[600-800),[0.5-0.6),[3.8-4.0),[5.0-5.3),[1.3-1.4)
CUWNIT,2015,1.211,0.356764,303.82,0.235,3.91,5.36,1.37084399,1D,[1.2-1.3),[0.3-0.4),[300-400),[0.2-0.3),[3.8-4.0),[5.3-5.6),[1.3-1.4)
TUJCAE,2015,1.188,0.360607,453.14,0.245,3.91,5.72,1.462915601,1D,[1.1-1.2),[0.3-0.4),[400-500),[0.2-0.3),[3.8-4.0),[5.6-6.0),[1.4-1.5)
YUDFIO,2015,1.252,0.405688,679.84,0.302,3.92,6.54,1.668367347,2D,[1.2-1.3),[0.4-0.5),[600-800),[0.3-0.4),[3.8-4.0),[6.5-7.0),[1.6-1.8)
WOSCEO,2015,1.287,0.318647,233.76,0.182,3.93,5.1,1.297709924,1D,[1.2-1.3),[0.3-0.4),[200-300),[0.1-0.2),[3.8-4.0),[5.0-5.3),[1.2-1.3)
YUDFOU,2015,1.215,0.419609,758.74,0.328,3.93,6.86,1.745547074,2D,[1.2-1.3),[0.4-0.5),[600-800),[0.3-0.4),[3.8-4.0),[6.5-7.0),[1.6-1.8)
MUBRIM,2015,1.694,0.259313,116.05,0.105,3.94,4.65,1.180203046,1D,[1.6-1.8),[0.2-0.3),[100-150),[0.1-0.2),[3.8-4.0),[4.6-4.8),[1.1-1.2)
HOWRUI,2015,1.13,0.52186,1022.33,0.381,3.94,6.73,1.708121827,2D,[1.1-1.2),[0.5-0.6),[1000-1250),[0.3-0.4),[3.8-4.0),[6.5-7.0),[1.6-1.8)
PUQDIQ,2015,0.919,0.656489,1616.03,0.72,3.94,5.66,1.436548223,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[3.8-4.0),[5.6-6.0),[1.4-1.5)
FUTZEB,2015,1.078,0.580288,811.04,0.467,3.94,5.12,1.299492386,1D,[1.0-1.1),[0.5-0.6),[800-1000),[0.4-0.5),[3.8-4.0),[5.0-5.3),[1.2-1.3)
JADZUM,2015,0.566,0.691406,2670.56,1.14,3.95,6.74,1.706329114,1D,[0.0-0.6),[0.6-0.7),[2000-3000),[1.0-1.5),[3.8-4.0),[6.5-7.0),[1.6-1.8)
HOWPEQ,2015,1.261,0.433669,512.46,0.315,3.95,5.12,1.296202532,1D,[1.2-1.3),[0.4-0.5),[500-600),[0.3-0.4),[3.8-4.0),[5.0-5.3),[1.2-1.3)
MUMKUC,2015,1.056,0.583151,1098.86,0.511,3.96,6.91,1.744949495,2D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.5-0.6),[3.8-4.0),[6.5-7.0),[1.6-1.8)
RUQLUM,2015,0.897,0.590774,1352.61,0.573,3.96,5.28,1.333333333,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[3.8-4.0),[5.0-5.3),[1.3-1.4)
CUMJEB,2015,2.008,0.237716,52.06,0.099,3.96,4.67,1.179292929,1D,[2.0-7.0],[0.2-0.3),[50-100),[0.0-0.1),[3.8-4.0),[4.6-4.8),[1.1-1.2)
TURFAP,2015,1.054,0.437606,616.53,0.322,3.96,5.69,1.436868687,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.3-0.4),[3.8-4.0),[5.6-6.0),[1.4-1.5)
QUJKEN,2015,1.369,0.480916,653.12,0.353,3.98,5.3,1.331658291,1D,[1.3-1.4),[0.4-0.5),[600-800),[0.3-0.4),[3.8-4.0),[5.3-5.6),[1.3-1.4)
YOVBIW,2015,1.439,0.263015,163.53,0.156,3.99,4.52,1.13283208,1D,[1.4-1.5),[0.2-0.3),[150-200),[0.1-0.2),[3.8-4.0),[4.5-4.6),[1.1-1.2)
ZUDPUL,2015,1.027,0.581839,839.61,0.506,3.99,5.47,1.370927318,1D,[1.0-1.1),[0.5-0.6),[800-1000),[0.5-0.6),[3.8-4.0),[5.3-5.6),[1.3-1.4)
KUBXOW,2015,1.188,0.215583,128.49,0.125,4,4.52,1.13,1D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[4.0-4.5),[4.5-4.6),[1.1-1.2)
WOWQEG,2015,0.859,0.615298,1438.3,0.637,4,5.65,1.4125,1D,[0.8-1.0),[0.6-0.7),[1250-1500),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.4-1.5)
JURYOM,2015,1.243,0.310722,356.18,0.2,4,5.19,1.2975,2D,[1.2-1.3),[0.3-0.4),[300-400),[0.2-0.3),[4.0-4.5),[5.0-5.3),[1.2-1.3)
HOSPUC,2015,1.297,0.578433,624.22,0.419,4,5.48,1.37,1D,[1.2-1.3),[0.5-0.6),[600-800),[0.4-0.5),[4.0-4.5),[5.3-5.6),[1.3-1.4)
CUPXUI,2015,1.403,0.307715,308.16,0.172,4.02,5.68,1.412935323,1D,[1.4-1.5),[0.3-0.4),[300-400),[0.1-0.2),[4.0-4.5),[5.6-6.0),[1.4-1.5)
GURMOX,2015,0.933,0.629659,1080.78,0.581,4.04,6.21,1.537128713,1D,[0.8-1.0),[0.6-0.7),[1000-1250),[0.5-0.6),[4.0-4.5),[6.0-6.5),[1.5-1.6)
LOTDIJ,2015,0.96,0.400258,389.73,0.314,4.04,5.11,1.264851485,1D,[0.8-1.0),[0.4-0.5),[300-400),[0.3-0.4),[4.0-4.5),[5.0-5.3),[1.2-1.3)
KUVMAR,2015,1.16,0.431581,703.46,0.299,4.04,6.47,1.601485149,1D,[1.1-1.2),[0.4-0.5),[600-800),[0.2-0.3),[4.0-4.5),[6.0-6.5),[1.6-1.8)
KULWAR,2015,1.08,0.388464,623.5,0.286,4.05,6.76,1.669135802,1D,[1.0-1.1),[0.3-0.4),[600-800),[0.2-0.3),[4.0-4.5),[6.5-7.0),[1.6-1.8)
QOSTUP,2015,0.985,0.411871,958.77,0.362,4.05,5.56,1.372839506,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.3-0.4),[4.0-4.5),[5.3-5.6),[1.3-1.4)
CUPWIV,2015,1.416,0.299083,281.39,0.164,4.06,5.57,1.371921182,1D,[1.4-1.5),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[5.3-5.6),[1.3-1.4)
OHANAO,2015,1.055,0.34182,555.37,0.248,4.06,6.5,1.600985222,2D,[1.0-1.1),[0.3-0.4),[500-600),[0.2-0.3),[4.0-4.5),[6.5-7.0),[1.6-1.8)
YOZTOY,2015,0.858,0.479229,902.3,0.561,4.06,5.27,1.298029557,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.5-0.6),[4.0-4.5),[5.0-5.3),[1.2-1.3)
TUMVEE,2015,1.37,0.362881,180.08,0.206,4.07,4.8,1.179361179,1D,[1.3-1.4),[0.3-0.4),[150-200),[0.2-0.3),[4.0-4.5),[4.8-5.0),[1.1-1.2)
BUDHAL,2015,1.65,0.32353,395.02,0.178,4.07,6.95,1.707616708,1D,[1.6-1.8),[0.3-0.4),[300-400),[0.1-0.2),[4.0-4.5),[6.5-7.0),[1.6-1.8)
ROYJIA,2015,0.894,0.674114,1540.3,0.618,4.08,8.72,2.137254902,3D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[4.0-4.5),[8.0-10.0),[2.0-2.5)
COVREM,2015,2.157,0.293545,247.51,0.143,4.08,6.17,1.512254902,1D,[2.0-7.0],[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[6.0-6.5),[1.5-1.6)
ROYMEZ,2015,1.212,0.419067,323.09,0.276,4.08,5.16,1.264705882,1D,[1.2-1.3),[0.4-0.5),[300-400),[0.2-0.3),[4.0-4.5),[5.0-5.3),[1.2-1.3)
ZUQCEV,2015,0.984,0.400588,561.36,0.324,4.08,5.6,1.37254902,1D,[0.8-1.0),[0.4-0.5),[500-600),[0.3-0.4),[4.0-4.5),[5.6-6.0),[1.3-1.4)
BANTIV01,2015,0.758,0.565856,1350.3,0.69,4.09,5.7,1.393643032,2D,[0.6-0.8),[0.5-0.6),[1250-1500),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.3-1.4)
YOYSAI,2015,1.426,0.470937,483.32,0.295,4.09,5.69,1.391198044,3D,[1.4-1.5),[0.4-0.5),[400-500),[0.2-0.3),[4.0-4.5),[5.6-6.0),[1.3-1.4)
BANTIV02,2015,0.775,0.558979,1122.8,0.668,4.1,5.62,1.370731707,2D,[0.6-0.8),[0.5-0.6),[1000-1250),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.3-1.4)
PUZWOY,2015,1.162,0.386436,357.58,0.262,4.1,5.72,1.395121951,1D,[1.1-1.2),[0.3-0.4),[300-400),[0.2-0.3),[4.0-4.5),[5.6-6.0),[1.3-1.4)
NUNPAP,2015,0.848,0.580319,1210.39,0.651,4.11,5.73,1.394160584,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.3-1.4)
VORSAY,2015,1.818,0.105848,51.51,0.049,4.13,5.22,1.263922518,1D,[1.8-2.0),[0.1-0.2),[50-100),[0.0-0.1),[4.0-4.5),[5.0-5.3),[1.2-1.3)
DUVXUP,2015,0.986,0.447733,944.6,0.404,4.13,6.03,1.460048426,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.4-0.5),[4.0-4.5),[6.0-6.5),[1.4-1.5)
LUMYUP,2015,1.292,0.570867,814.31,0.406,4.13,5.93,1.435835351,2D,[1.2-1.3),[0.5-0.6),[800-1000),[0.4-0.5),[4.0-4.5),[5.6-6.0),[1.4-1.5)
HUYBAG,2015,1.51,0.388212,476.88,0.223,4.14,5.38,1.299516908,2D,[1.5-1.6),[0.3-0.4),[400-500),[0.2-0.3),[4.0-4.5),[5.3-5.6),[1.2-1.3)
DUYPAQ,2015,0.883,0.602873,1090.82,0.576,4.15,5.53,1.33253012,1D,[0.8-1.0),[0.6-0.7),[1000-1250),[0.5-0.6),[4.0-4.5),[5.3-5.6),[1.3-1.4)
NUNNUH,2015,0.86,0.60974,1189,0.642,4.15,5.69,1.371084337,1D,[0.8-1.0),[0.6-0.7),[1000-1250),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.3-1.4)
ZOZHIH,2015,1.033,0.606817,1008.23,0.488,4.15,7.08,1.706024096,1D,[1.0-1.1),[0.6-0.7),[1000-1250),[0.4-0.5),[4.0-4.5),[7.0-8.0),[1.6-1.8)
GUQWOG,2015,0.957,0.592428,1380.72,0.518,4.15,6.92,1.66746988,2D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[4.0-4.5),[6.5-7.0),[1.6-1.8)
DOYWIZ,2015,1.163,0.225132,233.56,0.151,4.15,5.01,1.207228916,1D,[1.1-1.2),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[5.0-5.3),[1.2-1.3)
POXLIZ,2015,1.631,0.571521,696.7,0.316,4.15,7.82,1.884337349,3D,[1.6-1.8),[0.5-0.6),[600-800),[0.3-0.4),[4.0-4.5),[7.0-8.0),[1.8-2.0)
WUFQUL,2015,0.784,0.567815,1569.11,0.628,4.16,5.88,1.413461538,1D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.4-1.5)
IGOYUA,2015,1.687,0.133405,51.1,0.054,4.16,4.9,1.177884615,1D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[4.0-4.5),[4.8-5.0),[1.1-1.2)
LUMYEZ,2015,1.304,0.571101,791.99,0.395,4.16,5.79,1.391826923,2D,[1.3-1.4),[0.5-0.6),[600-800),[0.3-0.4),[4.0-4.5),[5.6-6.0),[1.3-1.4)
LUMYID,2015,1.305,0.571737,818.45,0.399,4.16,5.71,1.372596154,1D,[1.3-1.4),[0.5-0.6),[800-1000),[0.3-0.4),[4.0-4.5),[5.6-6.0),[1.3-1.4)
CUPXOC,2015,1.418,0.288454,252.42,0.155,4.17,5.56,1.333333333,1D,[1.4-1.5),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[5.3-5.6),[1.3-1.4)
BUBWAY,2015,2.902,0.208638,77.18,0.075,4.17,5.28,1.26618705,1D,[2.0-7.0],[0.2-0.3),[50-100),[0.0-0.1),[4.0-4.5),[5.0-5.3),[1.2-1.3)
QUJVEY,2015,2.054,0.215636,143.33,0.097,4.19,5.44,1.298329356,1D,[2.0-7.0],[0.2-0.3),[100-150),[0.0-0.1),[4.0-4.5),[5.3-5.6),[1.2-1.3)
WULMEX,2015,1.238,0.379003,505.33,0.251,4.19,6.23,1.486873508,1D,[1.2-1.3),[0.3-0.4),[500-600),[0.2-0.3),[4.0-4.5),[6.0-6.5),[1.4-1.5)
TUYQAH,2015,2.682,0.3566,310.49,0.125,4.2,5.94,1.414285714,1D,[2.0-7.0],[0.3-0.4),[300-400),[0.1-0.2),[4.0-4.5),[5.6-6.0),[1.4-1.5)
CUTCEB,2015,0.78,0.590811,1621.31,0.71,4.21,5.86,1.39192399,1D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.3-1.4)
CUPXAO,2015,1.419,0.296477,303.75,0.16,4.21,5.61,1.332541568,1D,[1.4-1.5),[0.2-0.3),[300-400),[0.1-0.2),[4.0-4.5),[5.6-6.0),[1.3-1.4)
QUYPAD,2015,1.156,0.406305,590.08,0.276,4.22,5.97,1.414691943,1D,[1.1-1.2),[0.4-0.5),[500-600),[0.2-0.3),[4.0-4.5),[5.6-6.0),[1.4-1.5)
CUQRIR,2015,1.106,0.461279,696.68,0.324,4.23,5.35,1.264775414,1D,[1.1-1.2),[0.4-0.5),[600-800),[0.3-0.4),[4.0-4.5),[5.3-5.6),[1.2-1.3)
OGUMUA,2015,1.606,0.226023,253.31,0.116,4.25,5.74,1.350588235,1D,[1.6-1.8),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[5.6-6.0),[1.3-1.4)
YOTWUB,2015,0.706,0.584419,1997.06,0.748,4.26,6.22,1.460093897,1D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[4.0-4.5),[6.0-6.5),[1.4-1.5)
CUPXIW,2015,1.417,0.29322,292.84,0.162,4.26,5.39,1.265258216,1D,[1.4-1.5),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[5.3-5.6),[1.2-1.3)
MOTVOI,2015,1.248,0.453025,708.52,0.295,4.27,6.24,1.461358314,1D,[1.2-1.3),[0.4-0.5),[600-800),[0.2-0.3),[4.0-4.5),[6.0-6.5),[1.4-1.5)
FUVBAB,2015,1.021,0.610183,1196.18,0.52,4.28,5.28,1.23364486,1D,[1.0-1.1),[0.6-0.7),[1000-1250),[0.5-0.6),[4.0-4.5),[5.0-5.3),[1.2-1.3)
KUMDAZ,2015,0.927,0.590485,1074.55,0.608,4.28,5.56,1.299065421,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.6-0.8),[4.0-4.5),[5.3-5.6),[1.2-1.3)
ZOZHON,2015,1.044,0.614178,1009.27,0.483,4.28,7.13,1.66588785,1D,[1.0-1.1),[0.6-0.7),[1000-1250),[0.4-0.5),[4.0-4.5),[7.0-8.0),[1.6-1.8)
HUWLUI,2015,1.219,0.590547,1057,0.417,4.29,8.2,1.911421911,1D,[1.2-1.3),[0.5-0.6),[1000-1250),[0.4-0.5),[4.0-4.5),[8.0-10.0),[1.8-2.0)
ZUFWEE,2015,1.767,0.259034,262.59,0.123,4.29,5.57,1.298368298,1D,[1.6-1.8),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[5.3-5.6),[1.2-1.3)
CUQRUD,2015,0.986,0.623168,1082.4,0.519,4.31,5.74,1.331786543,1D,[0.8-1.0),[0.6-0.7),[1000-1250),[0.5-0.6),[4.0-4.5),[5.6-6.0),[1.3-1.4)
KUMDON,2015,0.936,0.592341,1080.31,0.603,4.31,5.6,1.299303944,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.2-1.3)
TUVGIC,2015,0.73,0.562018,1627.2,0.68,4.32,8.92,2.064814815,1D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[4.0-4.5),[8.0-10.0),[2.0-2.5)
KUMCUS,2015,0.903,0.585188,1145.66,0.625,4.33,5.61,1.295612009,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.2-1.3)
KUMDED,2015,0.909,0.585447,1121.53,0.62,4.33,5.62,1.297921478,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.2-1.3)
KUMDIH,2015,0.918,0.588185,1118.4,0.619,4.33,5.63,1.300230947,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.6-0.8),[4.0-4.5),[5.6-6.0),[1.3-1.4)
QUPHUG,2015,1.059,0.443472,402.27,0.318,4.34,4.81,1.108294931,1D,[1.0-1.1),[0.4-0.5),[400-500),[0.3-0.4),[4.0-4.5),[4.8-5.0),[1.1-1.2)
LUMZAW,2015,1.304,0.568939,835.24,0.396,4.34,5.64,1.299539171,2D,[1.3-1.4),[0.5-0.6),[800-1000),[0.3-0.4),[4.0-4.5),[5.6-6.0),[1.2-1.3)
QUCHUT,2015,0.835,0.563999,1414.44,0.58,4.35,6.25,1.436781609,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[4.0-4.5),[6.0-6.5),[1.4-1.5)
QUCJAB,2015,0.832,0.566215,1434.4,0.587,4.36,6.27,1.438073394,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[4.0-4.5),[6.0-6.5),[1.4-1.5)
DOVNOT,2015,1.056,0.50934,1394.25,0.477,4.39,7.02,1.599088838,1D,[1.0-1.1),[0.5-0.6),[1250-1500),[0.4-0.5),[4.0-4.5),[7.0-8.0),[1.5-1.6)
YOVCIX,2015,0.794,0.60944,2088.79,0.681,4.39,6.12,1.394077449,2D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[4.0-4.5),[6.0-6.5),[1.3-1.4)
AHAYUF,2015,1.224,0.359736,605.18,0.249,4.4,6.03,1.370454545,3D,[1.2-1.3),[0.3-0.4),[600-800),[0.2-0.3),[4.0-4.5),[6.0-6.5),[1.3-1.4)
SULVUS,2015,1.586,0.537021,699.46,0.348,4.4,5.56,1.263636364,1D,[1.5-1.6),[0.5-0.6),[600-800),[0.3-0.4),[4.0-4.5),[5.3-5.6),[1.2-1.3)
FIRBOX02,2015,0.95,0.423242,752.22,0.371,4.41,5.44,1.233560091,1D,[0.8-1.0),[0.4-0.5),[600-800),[0.3-0.4),[4.0-4.5),[5.3-5.6),[1.2-1.3)
WUMSAA,2015,0.978,0.454469,799.63,0.359,4.41,5.57,1.263038549,1D,[0.8-1.0),[0.4-0.5),[600-800),[0.3-0.4),[4.0-4.5),[5.3-5.6),[1.2-1.3)
GUGVUB,2015,0.732,0.582945,2145.41,0.713,4.44,6.09,1.371621622,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[4.0-4.5),[6.0-6.5),[1.3-1.4)
GUMDEZ,2015,1.353,0.514223,465.41,0.262,4.44,5.02,1.130630631,1D,[1.3-1.4),[0.5-0.6),[400-500),[0.2-0.3),[4.0-4.5),[5.0-5.3),[1.1-1.2)
ZOYPIO,2015,1.036,0.463535,1006.67,0.419,4.45,6.99,1.570786517,1D,[1.0-1.1),[0.4-0.5),[1000-1250),[0.4-0.5),[4.0-4.5),[6.5-7.0),[1.5-1.6)
DUPWOC,2015,1.115,0.606872,1218.23,0.482,4.46,6.31,1.414798206,1D,[1.1-1.2),[0.6-0.7),[1000-1250),[0.4-0.5),[4.0-4.5),[6.0-6.5),[1.4-1.5)
TUJDEJ,2015,1.401,0.265739,280.2,0.142,4.46,4.77,1.069506726,1D,[1.4-1.5),[0.2-0.3),[200-300),[0.1-0.2),[4.0-4.5),[4.6-4.8),[1.0-1.1)
UHOSIV,2015,1.37,0.442072,646.49,0.279,4.46,6.11,1.369955157,1D,[1.3-1.4),[0.4-0.5),[600-800),[0.2-0.3),[4.0-4.5),[6.0-6.5),[1.3-1.4)
KUTSUP,2015,1.124,0.477472,853.65,0.367,4.46,6.3,1.412556054,1D,[1.1-1.2),[0.4-0.5),[800-1000),[0.3-0.4),[4.0-4.5),[6.0-6.5),[1.4-1.5)
SUXGAV,2015,1.017,0.169753,182.14,0.133,4.47,5.27,1.178970917,1D,[1.0-1.1),[0.1-0.2),[150-200),[0.1-0.2),[4.0-4.5),[5.0-5.3),[1.1-1.2)
LUDGEY,2015,0.678,0.661029,2645.37,0.889,4.47,5.88,1.315436242,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[4.0-4.5),[5.6-6.0),[1.3-1.4)
COWBEX,2015,1.753,0.197076,145.25,0.086,4.48,5.41,1.207589286,1D,[1.6-1.8),[0.1-0.2),[100-150),[0.0-0.1),[4.0-4.5),[5.3-5.6),[1.2-1.3)
TUNDEN,2015,1.196,0.599554,902.2,0.429,4.48,5.97,1.332589286,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.4-0.5),[4.0-4.5),[5.6-6.0),[1.3-1.4)
FUMGOL,2015,0.754,0.671248,1719.49,0.759,4.49,7.05,1.570155902,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[4.0-4.5),[7.0-8.0),[1.5-1.6)
WUYWAQ,2015,0.876,0.620773,1658.63,0.6,4.49,7.85,1.748329621,2D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[4.0-4.5),[7.0-8.0),[1.6-1.8)
HURFEH,2015,1.027,0.587553,1256.68,0.491,4.51,7.08,1.569844789,1D,[1.0-1.1),[0.5-0.6),[1250-1500),[0.4-0.5),[4.5-5.0),[7.0-8.0),[1.5-1.6)
