Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
NADNEM,2004,1.117,0.413,257.96,0.277,3.32,6.09,1.834,1D,[1.1-1.2),[0.4-0.5),[200-300),[0.2-0.3),[3.3-3.6),[6.0-6.5),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NADNEM
BEKROZ,2004,2.794,0.209,55.69,0.075,3.32,5.01,1.509,1D,[2.0-7.0],[0.2-0.3),[50-100),[0.0-0.1),[3.3-3.6),[5.0-5.3),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEKROZ
IYEROT,2004,0.805,0.554,809.45,0.566,3.32,4.85,1.461,2D,[0.8-1.0),[0.5-0.6),[800-1000),[0.5-0.6),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IYEROT
MNCITD02,2004,1.385,0.298,98.77,0.204,3.33,4.57,1.372,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.2-0.3),[3.3-3.6),[4.5-4.6),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MNCITD02
ISEMIC,2004,1.377,0.268,162.14,0.161,3.34,4.73,1.416,1D,[1.3-1.4),[0.2-0.3),[150-200),[0.1-0.2),[3.3-3.6),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ISEMIC
BEGJAZ,2004,1.155,0.382,79.62,0.266,3.37,4.49,1.332,2D,[1.1-1.2),[0.3-0.4),[50-100),[0.2-0.3),[3.3-3.6),[4.4-4.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEGJAZ
IVAHIW,2004,0.974,0.393,315.07,0.343,3.39,5.54,1.634,2D,[0.8-1.0),[0.3-0.4),[300-400),[0.3-0.4),[3.3-3.6),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IVAHIW
ULONAK,2004,1.044,0.397,484.43,0.288,3.41,6.1,1.789,1D,[1.0-1.1),[0.3-0.4),[400-500),[0.2-0.3),[3.3-3.6),[6.0-6.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ULONAK
AXOJOM,2004,1.333,0.318,91.95,0.201,3.41,4.82,1.413,1D,[1.3-1.4),[0.3-0.4),[50-100),[0.2-0.3),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AXOJOM
EWAXUV,2004,1.202,0.267,153.93,0.171,3.42,5.16,1.509,1D,[1.2-1.3),[0.2-0.3),[150-200),[0.1-0.2),[3.3-3.6),[5.0-5.3),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EWAXUV
ALOLES,2004,2.08,0.411,208.11,0.164,3.42,5.17,1.512,2D,[2.0-7.0],[0.4-0.5),[200-300),[0.1-0.2),[3.3-3.6),[5.0-5.3),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ALOLES
AWIQIG,2004,1.394,0.177,12.22,0.132,3.43,4.23,1.233,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.1-0.2),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AWIQIG
OGUGAY,2004,1.347,0.351,326.93,0.225,3.44,5.03,1.462,1D,[1.3-1.4),[0.3-0.4),[300-400),[0.2-0.3),[3.3-3.6),[5.0-5.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OGUGAY
IWIZAP,2004,1.141,0.419,487.72,0.31,3.47,5.79,1.669,1D,[1.1-1.2),[0.4-0.5),[400-500),[0.3-0.4),[3.3-3.6),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IWIZAP
IWUYOO,2004,1.266,0.334,116.18,0.196,3.5,4.55,1.3,1D,[1.2-1.3),[0.3-0.4),[100-150),[0.1-0.2),[3.3-3.6),[4.5-4.6),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IWUYOO
AQAVOD,2004,1.24,0.446,175.57,0.322,3.51,4.96,1.413,2D,[1.2-1.3),[0.4-0.5),[150-200),[0.3-0.4),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AQAVOD
EXUYIF,2004,0.976,0.392,313.58,0.318,3.51,4.97,1.416,1D,[0.8-1.0),[0.3-0.4),[300-400),[0.3-0.4),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EXUYIF
EQUPAH,2004,1.09,0.343,200.25,0.278,3.52,4.83,1.372,1D,[1.0-1.1),[0.3-0.4),[200-300),[0.2-0.3),[3.3-3.6),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EQUPAH
BECSUY,2004,1.158,0.341,303.77,0.242,3.54,5,1.412,1D,[1.1-1.2),[0.3-0.4),[300-400),[0.2-0.3),[3.3-3.6),[5.0-5.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BECSUY
UMEXUF,2004,1.759,0.313,91.73,0.148,3.54,4.48,1.266,1D,[1.6-1.8),[0.3-0.4),[50-100),[0.1-0.2),[3.3-3.6),[4.4-4.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UMEXUF
IMARAP,2004,1.856,0.342,196.95,0.168,3.55,5.57,1.569,1D,[1.8-2.0),[0.3-0.4),[150-200),[0.1-0.2),[3.3-3.6),[5.3-5.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IMARAP
ARICIN,2004,1.447,0.293,28.73,0.139,3.59,4.66,1.298,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[3.3-3.6),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ARICIN
DADGIZ,2004,1.328,0.421,312.42,0.267,3.59,4.79,1.334,2D,[1.3-1.4),[0.4-0.5),[300-400),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DADGIZ
ULUKIV,2004,1.397,0.219,1.35,0.122,3.61,4.09,1.133,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[3.6-3.8),[3.9-4.2),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ULUKIV
BARXIC01,2004,1.366,0.224,5.72,0.129,3.62,4.19,1.157,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[3.6-3.8),[3.9-4.2),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BARXIC01
