Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
DAXQAW,2012,0.968,0.528,1462.18,0.521,7.44,8.33,1.12,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAXQAW
DAXPAV,2012,1.419,0.584,1186.21,0.382,7.55,8.38,1.11,1D,[1.4-1.5),[0.5-0.6),[1000-1250),[0.3-0.4),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAXPAV
CAJQEL,2012,0.746,0.729,2189.08,0.899,7.58,11.73,1.547,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-72.0],[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAJQEL
ZASJAG,2012,1.205,0.462,773.89,0.311,7.59,7.9,1.041,1D,[1.2-1.3),[0.4-0.5),[600-800),[0.3-0.4),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZASJAG
VAHNOJ01,2012,1.43,0.514,867.28,0.328,7.6,8.39,1.104,1D,[1.4-1.5),[0.5-0.6),[800-1000),[0.3-0.4),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAHNOJ01
CAXBIO,2012,0.686,0.57,2022.13,0.782,7.62,9.89,1.298,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAXBIO
TEJLIF,2012,1.13,0.287,557.71,0.216,7.73,8.41,1.088,1D,[1.1-1.2),[0.2-0.3),[500-600),[0.2-0.3),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEJLIF
HAGGUT,2012,0.845,0.572,1333.76,0.61,7.84,9.3,1.186,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAGGUT
XEDPED,2012,1.035,0.514,970.18,0.432,7.87,10.35,1.315,1D,[1.0-1.1),[0.5-0.6),[800-1000),[0.4-0.5),[6.0-8.0),[8.0-72.0],[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEDPED
DAHFAV,2012,0.968,0.537,1457.89,0.546,7.9,9.12,1.154,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAHFAV
RASFAU,2012,0.788,0.626,1943.19,0.752,7.91,9.71,1.228,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RASFAU
TEDFUF,2012,0.789,0.587,1879.23,0.692,7.99,8.99,1.125,1D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEDFUF
VAXTAR,2012,0.668,0.653,2241.28,0.902,8.09,9.44,1.167,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAXTAR
KAWGOG,2012,0.955,0.604,1553.8,0.576,8.11,10.2,1.258,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAWGOG
FANWOI,2012,0.995,0.462,974.16,0.4,8.11,9.37,1.155,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.4-0.5),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FANWOI
LARCUE,2012,0.966,0.613,1575.24,0.6,8.22,10.34,1.258,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LARCUE
LARDEP,2012,0.948,0.627,1590,0.625,8.41,10.51,1.25,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LARDEP
DAXFIT,2012,0.529,0.823,3697.95,1.469,8.43,9.14,1.084,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[1.0-1.5),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAXFIT
QAZLIO,2012,0.497,0.744,3672.33,1.393,8.56,11.78,1.376,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[10.0-72.0],[8.0-72.0],[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAZLIO
LARDAL,2012,0.925,0.621,1635.22,0.635,8.6,10.55,1.227,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LARDAL
LARDIT,2012,0.801,0.619,1897.2,0.73,8.65,10.55,1.22,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LARDIT
XALTIP,2012,0.551,0.841,3145.15,1.434,8.86,18.37,2.073,3D,[0.0-0.6),[0.8-0.9),[3000-10250],[1.0-1.5),[10.0-72.0],[8.0-72.0],[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XALTIP
YARDAY,2012,0.634,0.663,2296.46,0.936,8.89,10.06,1.132,2D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YARDAY
HAVZIP,2012,0.436,0.838,4481.88,1.782,9.17,12.58,1.372,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAVZIP
GALHUY,2012,0.424,0.887,5936.7,1.899,9.23,11.83,1.282,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GALHUY
BARWAU,2012,0.713,0.605,1766.75,0.784,9.36,11.23,1.2,2D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BARWAU
GALHOS,2012,0.416,0.887,6071.39,1.941,9.39,11.48,1.223,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GALHOS
MAMXAB,2012,0.868,0.619,1676.19,0.669,9.5,10.39,1.094,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAMXAB
IBICAZ,2012,1.071,0.421,831.07,0.342,9.54,9.73,1.02,1D,[1.0-1.1),[0.4-0.5),[800-1000),[0.3-0.4),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IBICAZ
IBICIH,2012,1.068,0.421,826.13,0.34,9.56,9.79,1.024,1D,[1.0-1.1),[0.4-0.5),[800-1000),[0.3-0.4),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IBICIH
IBICON,2012,1.223,0.414,690.91,0.295,9.6,9.87,1.028,1D,[1.2-1.3),[0.4-0.5),[600-800),[0.2-0.3),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IBICON
ICODIP,2012,0.814,0.664,1706.32,0.719,9.63,12.41,1.289,3D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ICODIP
ICODIP01,2012,0.806,0.66,1708.8,0.723,9.64,12.43,1.289,3D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ICODIP01
IBICED,2012,1.225,0.412,688.89,0.293,9.65,9.89,1.025,1D,[1.2-1.3),[0.4-0.5),[600-800),[0.2-0.3),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IBICED
IBIDAA,2012,1.21,0.42,717.4,0.301,9.69,9.92,1.024,1D,[1.2-1.3),[0.4-0.5),[600-800),[0.3-0.4),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IBIDAA
IBICUT,2012,1.068,0.426,827.59,0.346,9.69,9.93,1.025,1D,[1.0-1.1),[0.4-0.5),[800-1000),[0.3-0.4),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IBICUT
ZAWKUF,2012,0.66,0.672,2043.46,0.952,9.84,10.71,1.088,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAWKUF
HAYJOI,2012,0.672,0.725,2116.17,1.008,10.09,10.65,1.056,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[1.0-1.5),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAYJOI
QATCOF,2012,0.68,0.693,2039.4,0.997,10.28,11.09,1.079,2D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QATCOF
SARHAW,2012,1.133,0.693,1223.25,0.535,10.72,11.51,1.074,1D,[1.1-1.2),[0.6-0.7),[1000-1250),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SARHAW
CAXVOO,2012,1.12,0.686,1234.22,0.537,10.73,11.55,1.076,1D,[1.1-1.2),[0.6-0.7),[1000-1250),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAXVOO
CAXVII,2012,1.124,0.688,1231.54,0.536,10.74,11.56,1.076,1D,[1.1-1.2),[0.6-0.7),[1000-1250),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAXVII
SATNOR01,2012,1.176,0.705,1187.63,0.516,10.77,11.54,1.071,1D,[1.1-1.2),[0.7-0.8),[1000-1250),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SATNOR01
SARGUP,2012,1.131,0.703,1236.86,0.542,10.83,11.68,1.078,1D,[1.1-1.2),[0.7-0.8),[1000-1250),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SARGUP
TEBFOX,2012,0.35,0.87,4868.38,2.424,10.85,12.25,1.129,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[2.0-7.0],[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEBFOX
SARHEA,2012,1.139,0.703,1227.3,0.536,10.88,11.63,1.069,1D,[1.1-1.2),[0.7-0.8),[1000-1250),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SARHEA
XEHLED,2012,0.893,0.716,1604.84,0.812,11.61,16.55,1.425,1D,[0.8-1.0),[0.7-0.8),[1500-2000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEHLED
RAVVUH,2012,0.611,0.804,2185.91,1.161,16.22,17.02,1.049,1D,[0.6-0.8),[0.8-0.9),[2000-3000),[1.0-1.5),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVVUH
RAVWAO,2012,0.536,0.756,2545.74,1.284,17.02,17.43,1.024,1D,[0.0-0.6),[0.7-0.8),[2000-3000),[1.0-1.5),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVWAO
RAVWOC,2012,0.432,0.713,2764.31,1.558,22.27,22.93,1.03,1D,[0.0-0.6),[0.7-0.8),[2000-3000),[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVWOC
RAVWES,2012,0.439,0.817,2704.84,1.699,23.15,23.96,1.035,1D,[0.0-0.6),[0.8-0.9),[2000-3000),[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVWES
RAVXAP,2012,0.286,0.825,3230.68,2.75,33.86,34.51,1.019,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[2.0-7.0],[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVXAP
RAVXET,2012,0.326,0.784,2695.4,2.307,37.52,37.68,1.004,1D,[0.0-0.6),[0.7-0.8),[2000-3000),[2.0-7.0],[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVXET
RAVXIX,2012,0.228,0.864,3061.49,3.654,52.79,53.13,1.006,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[2.0-7.0],[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVXIX
RAVXOD,2012,0.179,0.875,3190.2,4.778,71.08,71.2,1.002,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[2.0-7.0],[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAVXOD
LIBKEO,2013,3.819,0.042,0.22,0.008,0.73,4.12,5.644,NON-POROUS,[2.0-7.0],[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIBKEO
OFAKUD,2013,1.759,0.066,3.29,0.026,0.73,4.13,5.658,NON-POROUS,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OFAKUD
XEVJEP,2013,1.459,0.165,15.03,0.067,0.76,4.3,5.658,NON-POROUS,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEVJEP
FIKDAG,2013,1.363,0.25,33.42,0.115,0.78,4.4,5.641,NON-POROUS,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.4-4.5),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FIKDAG
NILQOQ,2013,1.715,0.33,238.97,0.137,0.83,9.44,11.373,NON-POROUS,[1.6-1.8),[0.3-0.4),[200-300),[0.1-0.2),[0.7-1.4),[8.0-10.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NILQOQ
ZEFLED,2013,1.453,0.221,52.77,0.107,0.84,4.76,5.667,NON-POROUS,[1.4-1.5),[0.2-0.3),[50-100),[0.1-0.2),[0.7-1.4),[4.6-4.8),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZEFLED
CIGXIB,2013,2.468,0.051,11.46,0.019,0.86,4.86,5.651,NON-POROUS,[2.0-7.0],[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CIGXIB
RISXAU,2013,1.839,0.19,29.08,0.079,0.87,4.92,5.655,NON-POROUS,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RISXAU
TEPPOV,2013,1.563,0.255,106.55,0.115,0.88,4.97,5.648,NON-POROUS,[1.5-1.6),[0.2-0.3),[100-150),[0.1-0.2),[0.7-1.4),[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEPPOV
VIDRIL,2013,1.48,0.261,187.99,0.129,0.9,5.08,5.644,NON-POROUS,[1.4-1.5),[0.2-0.3),[150-200),[0.1-0.2),[0.7-1.4),[5.0-5.3),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIDRIL
BIHXEX,2013,1.359,0.161,89.71,0.093,0.94,5.29,5.628,NON-POROUS,[1.3-1.4),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[5.0-5.3),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BIHXEX
BIHXAT,2013,1.359,0.166,91.13,0.093,0.95,5.35,5.632,NON-POROUS,[1.3-1.4),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[5.3-5.6),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BIHXAT
NIDZIL,2013,1.143,0.22,0.95,0.133,1.01,4.05,4.01,3D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[3.9-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIDZIL
LERDUJ,2013,1.428,0.167,4.58,0.071,1.02,4.1,4.02,3D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LERDUJ
MEYJEH,2013,1.503,0.149,0.4,0.069,1.02,4.09,4.01,2D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MEYJEH
BEXTIJ,2013,1.457,0.091,4.03,0.045,1.03,4.12,4,2D,[1.4-1.5),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEXTIJ
FIJCEI,2013,1.35,0.204,1.35,0.112,1.03,4.12,4,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[3.9-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FIJCEI
HEKSAT,2013,1.352,0.193,1.57,0.088,1.03,4.11,3.99,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HEKSAT
KEWNUX,2013,3.806,0.104,37.28,0.025,1.03,5.83,5.66,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[5.6-6.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEWNUX
NEXLUZ,2013,1.418,0.168,2.3,0.093,1.03,4.12,4,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEXLUZ
GENFEM,2013,2.036,0.175,5.15,0.065,1.05,4.22,4.019,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GENFEM
LECBEC,2013,1.701,0.109,2.99,0.035,1.05,4.19,3.99,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LECBEC
VIDRUX,2013,1.647,0.115,2.62,0.053,1.05,4.21,4.01,3D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIDRUX
YAWBAA01,2013,1.577,0.221,2.85,0.089,1.05,4.19,3.99,3D,[1.5-1.6),[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAWBAA01
ZERZON,2013,1.228,0.13,35.42,0.08,1.05,4.22,4.019,3D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZERZON
ZIFGOM,2013,1.574,0.227,5.43,0.095,1.05,4.19,3.99,2D,[1.5-1.6),[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZIFGOM
DECVIS,2013,1.306,0.151,9.03,0.076,1.06,4.24,4,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DECVIS
PINQUA,2013,1.353,0.219,21.77,0.095,1.06,4.23,3.991,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PINQUA
XICZUG,2013,2.208,0.077,1.54,0.025,1.06,4.24,4,3D,[2.0-7.0],[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XICZUG
GINDOY,2013,1.443,0.08,3.03,0.036,1.07,4.27,3.991,3D,[1.4-1.5),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GINDOY
KIKFER,2013,1.367,0.211,7.4,0.127,1.07,4.28,4,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.2-4.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIKFER
NESHEA,2013,1.705,0.072,7.82,0.037,1.08,4.34,4.019,3D,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NESHEA
PEJCEO,2013,1.411,0.194,35.43,0.089,1.08,4.32,4,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEJCEO
WEKLAB,2013,1.408,0.148,22.87,0.076,1.08,4.31,3.991,3D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEKLAB
WISZOP,2013,1.676,0.091,2.93,0.031,1.08,4.32,4,3D,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WISZOP
AGIMIO,2013,1.629,0.233,18.72,0.112,1.09,4.38,4.018,2D,[1.6-1.8),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AGIMIO
GEQTON,2013,1.247,0.314,46.59,0.199,1.09,4.35,3.991,3D,[1.2-1.3),[0.3-0.4),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEQTON
NEZKOU,2013,1.575,0.109,9.55,0.046,1.09,4.35,3.991,3D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEZKOU
RESSEP,2013,1.615,0.253,21.67,0.112,1.09,4.35,3.991,2D,[1.6-1.8),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RESSEP
REGMIB,2013,1.462,0.183,8.82,0.083,1.1,4.39,3.991,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=REGMIB
XEVJIT,2013,1.432,0.166,15.37,0.075,1.1,4.4,4,2D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEVJIT
SEYJOX,2013,1.371,0.225,50.09,0.113,1.1,4.39,3.991,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEYJOX
MIPPEI,2013,1.797,0.209,16.06,0.084,1.11,4.45,4.009,3D,[1.6-1.8),[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIPPEI
SEYJOX01,2013,1.346,0.233,69.41,0.122,1.12,4.48,4,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[0.7-1.4),[4.4-4.5),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEYJOX01
