ddec-code,VF,Metal_density(g/cm^3),density_g_cm3,PLD,LCD,vsa_m2_cm3,gsa_m2_g,PoreVolum_cm3_g,Qst_CO,Qst_N2,Delta_Qst,CO_des,N2_des,CO_40bar,N2_40bar,CO_200K,N2_200K,CO_PTSA,N2_PTSA,S_PSA,S_TSA,S_TSA+,Delta_PSA,Delta_TSA-,Delta_TSA+,Regenerability_PSA,Regenerability_TSA-,Regenerability_TSA+,Recovery_PSA,Recovery_TSA-,Recovery_TSA+,Purity_PSA,Purity_TSA-,Purity_TSA+,Cyclic_working_cap_PSA,Cyclic_working_cap_TSA-,Cyclic_work_cap_TSA+,URL
PARNIH,0.58,0.171385417,0.86,6.78,8.33,1868.39,2169.98,0.67,14.74,12.29,2.45,0.32,0.14,4,1.63,3.49,1.03,8.44,2.05,2.45,3.39,2.26,3.67,3.17,0.25,91.9,90.73,78.2,0.67,0.98,0.39,0.642922701,0.970118083,0.551557746,5.265008348,3.235018989,0.151904937,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PARNIH
PARNON,0.58,0.193448715,0.97,6.24,7.8,1861.43,1912.31,0.59,17.2,14.19,3.01,0.53,0.2,4.32,1.53,4.66,1.2,7.92,1.56,2.82,3.9,2.64,3.79,4.13,0.43,87.78,88.68,81.72,0.56,0.17,0.32,0.574545272,0.175814109,0.473256961,3.227302834,0.512539638,0.141818261,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PARNON
POHPOS,0.64,0.218966273,1.03,4.51,5.84,2362.9,2288.72,0.62,15.95,14.48,1.47,0.51,0.24,4.96,2.16,5.61,2.07,8.73,2.67,2.29,2.72,2.08,4.45,5.1,0.41,89.73,90.93,80.52,0.59,0.72,0.4,0.614724015,0.753668329,0.586439552,5.178617441,3.268666488,0.239067557,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=POHPOS
POXNAS,0.39,0.140666665,1.11,6.74,9.02,800.35,723.18,0.35,22.76,20.44,2.32,0.57,0.24,2.38,0.89,2.94,0.7,4.43,0.94,2.67,4.2,2.38,1.81,2.37,0.47,76.1,80.66,82.62,0.57,0.66,0.59,0.524004419,0.605838308,0.60784931,1.605248546,1.101691674,0.437455167,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=POXNAS
PUBROU,0.84,0.141097768,0.77,5.37,12.61,2241.04,2893.86,1.09,17.82,15.47,2.36,0.79,0.37,7.14,2.97,7.24,2.18,14.07,3.43,2.4,3.32,2.13,6.35,6.45,0.64,88.88,89.03,80.72,0.49,0.65,0.47,0.529518201,0.697817622,0.584981992,5.853456263,5.938657925,0.478556479,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PUBROU
PURRUQ,0.47,0.197485178,1.13,4.93,6.23,1131.15,1000.48,0.42,20.08,17.45,2.63,0.92,0.35,3.28,1.1,4.41,1.06,6.69,1.2,2.99,4.14,2.59,2.37,3.49,0.76,72.07,79.21,82.72,0.52,0.6,0.58,0.588836055,0.691367899,0.65893418,2.285293484,2.46325764,0.642975879,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PURRUQ
PUYREH,0.41,0.350495108,1.26,5.27,5.88,1073.15,854.65,0.33,21.06,18,3.05,1.19,0.36,3.78,0.89,5.13,0.73,5.67,0.41,4.24,7.01,3.27,2.59,3.95,0.97,68.6,76.91,82.19,0.62,0.62,0.64,0.538339139,0.726003352,0.672133686,2.48509601,2.462310578,0.88546081,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PUYREH
QIYDAF,0.88,0.063751948,0.4,8.75,22.98,1764.74,4377.31,2.18,10.1,8.51,1.59,0.19,0.12,4.58,2.58,1.66,0.73,15.56,6.54,1.78,2.26,1.6,4.39,1.47,0.13,95.89,88.62,71.18,0.55,0.57,0.39,0.56191444,0.623799627,0.543578351,7.134631496,1.657778943,0.131212513,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QIYDAF
QIYDAF01,0.82,0.047953715,0.3,13.57,22,1700.91,5608.91,2.71,8.97,7.33,1.64,0.17,0.11,4.8,2.96,1.36,0.62,18.3,8.98,1.62,2.19,1.58,4.63,1.19,0.12,96.47,87.55,68.81,0.54,0.54,0.35,0.55226585,0.601468021,0.533278623,8.312053918,1.251723875,0.11727849,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QIYDAF01
QIYDIN,0.83,0.031253612,0.2,15.02,29.97,1330.63,6732.49,4.2,6.77,5.66,1.12,0.14,0.1,4.66,3.12,0.86,0.45,19.51,10.7,1.5,1.91,1.42,4.52,0.72,0.09,96.94,83.49,62.82,0.52,0.46,0.31,0.527009873,0.540859713,0.514543353,9.598314918,0.840818139,0.116830773,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QIYDIN
