Refcode,Density (g/cm3),"Helium Void Fraction F(He,T) (-)","Surface Area S(AC,T) (m2/g)","Pore Volume V(PO,T) (cm3/g)",Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity
ACELIF,0.759,0.657457,2140.83,0.739,6.59,7.86,1.192716237,2D
ACENIF,1.313,0.32865,317.21,0.221,3.73,5.11,1.36997319,1D
ACEPIH,1.186,0.162151,4.66,0.08,1.47,4.16,2.829931973,1D
ACIBIY,1.807,0.091242,23.74,0.036,1.71,4.83,2.824561404,3D
ACIBOE,1.273,0.469122,631.31,0.319,6.99,8.15,1.165951359,1D
ACICOH,1.25,0.435416,211.51,0.266,3.56,5.04,1.415730337,1D
ACIPAF,0.703,0.577248,2376.35,0.765,5.45,6.89,1.264220183,2D
ACODAA,1.017,0.55239,1098.02,0.474,5.78,6.3,1.089965398,1D
ACOLAG,0.395,0.823492,3393.1,2.167,13.65,14.13,1.035164835,1D
ACOLIP,1.049,0.440926,96.15,0.334,3.16,4.61,1.458860759,1D
ACOQEP,1.615,0.32371,132.45,0.175,3.55,4.61,1.298591549,1D
ACOZAW,1.029,0.580184,1651.79,0.642,4.45,7.43,1.669662921,2D
ACOZOH,1.491,0.183778,18.6,0.092,1.1,4.4,4,3D
ACOZUN,1.641,0.184259,18.22,0.087,1.12,4.5,4.017857143,1D
ACUCAC,0.321,0.878125,7014.09,2.566,8.75,11.39,1.301714286,2D
ACUDAD,1.225,0.292545,1.13,0.172,2.62,4.1,1.564885496,1D
ACUFUR01,1.146,0.324337,102.97,0.344,2.89,4.36,1.508650519,2D
ACUFUR,1.144,0.330637,100.4,0.344,2.92,4.27,1.462328767,1D
ACURUO,1.106,0.505612,972.43,0.373,4.14,6.63,1.601449275,1D
ACUTOI,1.782,0.213242,99.21,0.1,4.07,4.8,1.179361179,1D
ADABUE,1.466,0.219041,3.84,0.091,2.9,4.1,1.413793103,1D
ADAFAN01,0.921,0.454184,185.76,0.445,3.1,4.68,1.509677419,1D
ADASEF,0.467,0.838986,3899.67,1.725,9.66,21.53,2.228778468,3D
ADAWOS,1.229,0.444794,8.1,0.319,3.2,4.16,1.3,2D
ADAYAG,0.75,0.605494,1793.12,0.725,5.66,7.77,1.372791519,1D
ADECAQ,1.336,0.192214,13.15,0.119,2.28,4.3,1.885964912,1D
ADEGOG,1.276,0.229701,180.84,0.142,2,5.05,2.525,1D
ADENUV,1.188,0.416911,61.89,0.242,3.35,4.59,1.370149254,1D
ADETEL,0.964,0.557022,1045.74,0.464,4.48,5.82,1.299107143,2D
ADETIP,1.415,0.22262,46.67,0.108,1.59,4.5,2.830188679,1D
ADETUB,1.074,0.241224,30.17,0.144,1.96,4.52,2.306122449,1D
ADEVIR,1.487,0.294202,209.19,0.166,4.32,5.1,1.180555556,1D
ADIJIJ,3.56,0.323422,193.5,0.107,3.81,5.76,1.511811024,1D
ADIQAH,1.237,0.426051,143.89,0.243,3.42,4.56,1.333333333,1D
ADIQEL,1.237,0.408753,74.44,0.233,3.43,4.23,1.233236152,1D
ADIQOV,1.216,0.208412,30.99,0.127,1.54,4.36,2.831168831,2D
ADOCAY,1.685,0.293131,80.08,0.166,3.69,5.21,1.411924119,1D
ADOCIG,1.684,0.293681,75.72,0.169,3.7,5.24,1.416216216,1D
ADODII,1.216,0.418848,481.21,0.245,4.71,5.74,1.218683652,1D
ADODOO,1.287,0.410897,488.51,0.229,4.7,5.74,1.221276596,1D
ADODUU,1.315,0.410216,482.41,0.223,4.75,5.73,1.206315789,1D
ADOKEK,1.633,0.509143,899.12,0.317,6.08,6.56,1.078947368,1D
ADONOX,1.08,0.371358,640.59,0.293,4.9,5.54,1.130612245,1D
ADUBAE,1.067,0.301125,603.78,0.266,5.34,6.37,1.192883895,1D
ADULIX,2.226,0.139422,77.16,0.049,3.77,5.33,1.413793103,1D
ADURUN,1.503,0.111072,1.97,0.051,1.8,4.15,2.305555556,2D
ADUSOI,0.877,0.630974,619,0.595,3.53,5.33,1.509915014,3D
ADUVAY,1.554,0.424121,849.21,0.33,4.58,5.79,1.26419214,1D
AFAREH,1.977,0.091096,1.61,0.038,1.99,4.25,2.135678392,1D
AFARIL,2.106,0.08359,0.07,0.034,1.93,4.13,2.139896373,1D
AFAROR,2.122,0.081755,0.07,0.035,1.93,4.12,2.134715026,1D
AFARUX,2.021,0.079549,0.77,0.036,1.82,4.2,2.307692308,1D
AFAWAH,1.318,0.300544,20.6,0.172,1.87,4.33,2.315508021,1D
AFECEV,1.232,0.063733,0.54,0.03,1.43,4.04,2.825174825,1D
AFECIY01,1.591,0.222682,6.33,0.089,1.05,4.18,3.980952381,2D
AFECIY,1.569,0.222229,13.09,0.091,1.07,4.26,3.981308411,2D
AFEDAR,1.413,0.309643,119.89,0.184,3,4.9,1.633333333,1D
AFEGIE,1.244,0.31209,85.75,0.185,3.05,4.45,1.459016393,1D
AFEHAV,1.029,0.234428,28.13,0.167,1.66,4.21,2.536144578,2D
AFEHOI,1.376,0.183874,4.53,0.084,2,4.28,2.14,1D
AFEJAW,1.367,0.191833,7.75,0.089,1.89,4.36,2.306878307,1D
AFEJEA,0.84,0.525997,1160.78,0.53,6.3,6.74,1.06984127,1D
AFEJEB,1.106,0.541092,1392.2,0.499,7.4,8.37,1.131081081,2D
AFEJIE,0.867,0.526389,1024.46,0.503,6.35,6.79,1.069291339,1D
AFEJUQ,1.144,0.387853,132.97,0.259,3.86,4.76,1.233160622,1D
AFEKAY,0.86,0.46881,543.28,0.406,3.15,5.15,1.634920635,2D
AFELII,1.498,0.19607,60.79,0.101,2.7,4.6,1.703703704,2D
AFENEE,1.248,0.317209,2.57,0.176,2.77,4.04,1.458483755,1D
AFENUX,1.572,0.258748,0.94,0.13,2.8,4.08,1.457142857,1D
AFIJUX,1.024,0.463401,573.58,0.372,3.68,5.56,1.510869565,1D
AFIKAE,1.009,0.49994,757.84,0.462,4.05,5.91,1.459259259,1D
AFIKEI,1.025,0.493397,708.62,0.431,3.99,5.93,1.486215539,1D
AFIKIM,1.062,0.475016,595.19,0.382,3.8,5.74,1.510526316,1D
AFILEH,1.076,0.370843,647.87,0.293,4.89,5.53,1.130879346,1D
AFITEP,1.068,0.476095,128.48,0.336,3.87,4.38,1.131782946,1D
AFIWAQ,1.392,0.208213,154.48,0.119,4.21,5.61,1.332541568,1D
AFOFUX,2.909,0.374407,157.53,0.152,3.44,4.59,1.334302326,1D
AFOGAE,2.576,0.242206,54.81,0.118,3.48,5.08,1.459770115,1D
AFOXAX,1.462,0.25177,159.18,0.126,3.17,5.98,1.886435331,1D
AFUJUG,1.076,0.588005,1303.51,0.489,5.26,7.55,1.435361217,1D
AFUMIY,1.466,0.293364,131.09,0.169,2.91,5.2,1.786941581,1D
AFUWEG,1.03,0.519077,1034.73,0.441,4.62,5.84,1.264069264,1D
AGABUF,1.288,0.548224,734.02,0.413,3.96,5.14,1.297979798,1D
AGADIW,1.1,0.287651,112.34,0.219,3.35,4.6,1.373134328,1D
AGADOC,1.059,0.346503,225.75,0.274,3.65,4.61,1.263013699,1D
AGADUI,1.045,0.352611,313.35,0.291,3.74,4.85,1.296791444,1D
AGAFAQ,1.035,0.358589,440.63,0.288,3.62,5.68,1.569060773,1D
AGAFEU,0.996,0.382617,989.98,0.331,4.81,5.56,1.155925156,1D
AGAFIY,0.968,0.398791,1074.99,0.349,4.28,5.28,1.23364486,1D
AGAMAZ,1.284,0.14089,81.52,0.09,2.89,5.18,1.792387543,1D
AGAREG,1.598,0.181105,2.45,0.083,1.3,4.23,3.253846154,2D
AGASOR01,0.658,0.723629,2364.35,0.955,4.68,7.49,1.60042735,1D
AGASOR,0.626,0.733337,3040.16,1.033,5.07,7.06,1.392504931,1D
AGASUX,1.161,0.266596,32.52,0.19,3.24,4.32,1.333333333,1D
AGAWOU,1.02,0.637889,1330.28,0.581,4.3,5.66,1.31627907,2D
AGAYAI,0.643,0.746794,3252.71,1.058,7.44,9.59,1.288978495,1D
AGEDIC,1.309,0.549617,716.62,0.332,5.19,5.54,1.06743738,1D
AGENPC11,1.584,0.330794,2.05,0.176,2.17,4.1,1.889400922,3D
AGEQEK,0.771,0.646152,2193.74,0.754,5.33,6.92,1.298311445,1D
AGETUE,1.101,0.582348,954.38,0.548,4.44,5.76,1.297297297,1D
AGILEH,0.372,0.772403,6228.73,1.911,8.57,9.16,1.068844807,1D
AGIMIN,1.054,0.238297,56.04,0.168,1.53,4.32,2.823529412,2D
AGIMIO,1.629,0.232684,18.72,0.112,1.09,4.38,4.018348624,2D
AGOHOV,1.355,0.314914,119.02,0.176,3.2,4.52,1.4125,1D
AGONAM,1.437,0.455787,597.99,0.266,4.68,5.52,1.179487179,1D
