Refcode,Density (g/cm3),"Helium Void Fraction F(He,T) (-)","Surface Area S(AC,T) (m2/g)","Pore Volume V(PO,T) (cm3/g)",Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity
TAPWIR,0.932,0.356464,81.37,0.371,3.5,4.32,1.234285714,1D
TAPXIT,1.577,0.223041,219.59,0.105,5.44,5.92,1.088235294,1D
TAPXOZ,1.558,0.19429,178.09,0.095,4.89,5.42,1.108384458,1D
TAQJEB,1.357,0.166609,23.45,0.088,1.09,4.36,4,2D
TAQXUF,1.514,0.153906,8.71,0.102,1.8,4.15,2.305555556,2D
TARLII,0.703,0.601475,2007.97,0.789,7.64,8.77,1.147905759,1D
TARXUG,1.649,0.213995,46.4,0.098,2.44,4.37,1.790983607,1D
TASCIB,3.15,0.230718,57.59,0.085,3.21,5.04,1.570093458,1D
TASVUG,1.332,0.392199,702.5,0.271,5.13,6.66,1.298245614,1D
TASWOB,1.415,0.39329,604.52,0.254,5.04,6.54,1.297619048,1D
TASXIW,1.106,0.623885,1199.94,0.472,4.65,7.03,1.511827957,1D
TATGUR,1.038,0.547905,1795.63,0.515,4.99,5.95,1.19238477,1D
TATHOM,1.346,0.229741,96.02,0.137,2.85,4.65,1.631578947,1D
TATNEJ,1.155,0.462457,542.04,0.329,3.7,6.97,1.883783784,1D
TATPUC,0.828,0.601173,1220.33,0.598,3.82,7.21,1.887434555,3D
TATSIS01,1.499,0.264078,17.17,0.114,1.99,4.26,2.140703518,1D
TATSIS,1.485,0.27064,37.13,0.121,1.87,4.32,2.310160428,1D
TATSIT,0.645,0.790155,3329.35,1.149,11.01,11.51,1.045413261,1D
TATSOZ,0.645,0.790588,3366.19,1.154,10.96,11.49,1.048357664,1D
TATXEU,1.167,0.350425,15.19,0.262,3,4.24,1.413333333,1D
TATXIY,1.535,0.180227,11.96,0.076,0.75,4.27,5.693333333,NON-POROUS
TATYUL,1.351,0.346129,489.31,0.225,4.6,5.31,1.154347826,1D
TATZIA,1.174,0.353608,467.92,0.237,3.87,6.07,1.568475452,1D
TAXBIE,1.298,0.302196,71.73,0.159,2.5,4.47,1.788,2D
TAXBOK,1.188,0.327522,104.86,0.249,2.83,4.44,1.568904594,2D
TAXYAT,1.149,0.288617,178.32,0.188,1.25,5.01,4.008,3D
TAYJAH,1.072,0.404362,255.48,0.3,3.43,4.71,1.373177843,1D
TAYJEL,0.85,0.578833,1437.87,0.594,4.21,6.36,1.510688836,3D
TAYNEN,1.301,0.271529,135.63,0.171,2.99,4.88,1.632107023,2D
TAZSIZ,0.622,0.673709,3015.52,1.035,7.53,8.32,1.104913679,1D
TAZVEY,1.376,0.321331,138.19,0.179,4.03,4.47,1.109181141,1D
TAZVUO,1.238,0.152556,15.39,0.082,1.09,4.36,4,3D
TAZWEZ,1.562,0.189036,2.16,0.072,2.19,4.13,1.885844749,1D
TAZXAW,1.282,0.315417,63.34,0.186,2.44,4.6,1.885245902,2D
TAZXUP,0.53,0.674684,3148.3,1.191,7.14,9.52,1.333333333,1D
TCPPHG01,0.908,0.601482,1695.89,0.635,7.86,9.71,1.235368957,1D
TEBCOU,0.753,0.648402,1861.36,0.751,4.94,6.98,1.412955466,1D
TEBDOW,0.713,0.714885,3324.57,1.011,6.36,8.09,1.272012579,1D
TEBFAK,1.646,0.149505,5.54,0.067,2.92,4.26,1.45890411,1D
TEBFEN,1.522,0.259455,1.85,0.089,2.42,4.12,1.702479339,1D
TEBFOX,0.35,0.870232,4868.38,2.424,10.85,12.25,1.129032258,1D
TEBKAP,2.024,0.128472,89.8,0.049,4.01,5.67,1.413965087,1D
TEBKET,2.032,0.129722,90.96,0.048,4.21,5.7,1.35391924,1D
TEBKIX,1.945,0.135616,103.25,0.054,4.2,5.76,1.371428571,1D
TEBKOD,1.899,0.133802,108.22,0.055,4.05,5.83,1.439506173,1D
TEBLAQ,1.931,0.13496,107.19,0.054,4.24,5.82,1.372641509,1D
TEBLEU,1.966,0.133546,100.43,0.052,3.98,5.72,1.43718593,1D
TEBLIY,1.986,0.134548,98.15,0.053,4,5.75,1.4375,1D
TEBLOE,1.986,0.128078,92.23,0.049,4.29,5.8,1.351981352,1D
TEBLUK,1.984,0.130853,92.35,0.05,4.12,5.74,1.393203883,1D
TEBMAR,2.003,0.129508,90.27,0.05,4.22,5.79,1.372037915,1D
TEBMEV,2.012,0.128149,90.79,0.049,4.22,5.79,1.372037915,1D
TEBYIK,1.262,0.37447,589.1,0.218,4.72,5.34,1.131355932,1D
TECSOJ,0.901,0.428227,852.94,0.489,4.11,4.85,1.180048662,1D
TEDFUF,0.789,0.586696,1879.23,0.692,7.99,8.99,1.125156446,1D
TEDLEU,1.396,0.158713,8.51,0.089,2.62,4.27,1.629770992,1D
TEDLUK,1.325,0.281031,228.01,0.157,4.37,5.27,1.205949657,1D
TEDSIG,1.152,0.395102,310.54,0.267,2.91,5.21,1.790378007,1D
TEGRAB,1.166,0.510762,829.17,0.371,4.59,5.96,1.298474946,1D
TEHKOH,0.583,0.701746,2473.91,1.181,10.4,11.74,1.128846154,1D
TEHRUV,1.269,0.151421,18.85,0.084,1.76,4.46,2.534090909,1D
TEHTEI,1.371,0.228336,14.08,0.136,2.88,4.21,1.461805556,1D
TEHWEK,1.228,0.469997,113.71,0.375,3.28,4.95,1.509146341,2D
TEJBIV,1.03,0.355391,297.28,0.269,3.22,5.06,1.571428571,2D
TEJBOB,0.436,0.870724,5372.21,1.843,7.41,9.32,1.257759784,2D
TEJGIA01,2.023,0.175366,0.03,0.077,2.36,4.03,1.707627119,1D
TEJLIF,1.13,0.286741,557.71,0.216,7.73,8.41,1.087968952,1D
TEJPAB,1.119,0.542777,1002.51,0.453,3.63,7.26,2,2D
TEJTAG,1.407,0.180823,25.32,0.09,1.12,4.49,4.008928571,3D
TEJWAI,1.234,0.175293,0.78,0.096,1.24,4.06,3.274193548,3D
TEJYUC,1.053,0.472952,645.73,0.371,3.33,6.27,1.882882883,1D
TEKLUS,1.516,0.516462,528.53,0.32,3.93,5.23,1.330788804,2D
TEKMAZ,1.864,0.305003,8.69,0.148,3.15,4.33,1.374603175,1D
TEKTAH,0.87,0.433131,223.94,0.47,3.21,4.69,1.46105919,1D
TEKWUE,1.063,0.783508,2360.28,0.787,11.03,11.41,1.034451496,1D
TEKXAL,1.244,0.263923,62.78,0.156,3.76,4.54,1.207446809,1D
TEKXEP,1.328,0.268114,74.4,0.152,3.84,4.74,1.234375,1D
TEKXIT,1.442,0.259775,52.27,0.135,3.73,4.61,1.235924933,1D
TELDOF,1.573,0.133511,64.3,0.059,1.41,5.62,3.985815603,1D
TELFAT,1.661,0.055053,8.17,0.019,1.18,4.7,3.983050847,1D
TELFEX,1.482,0.070811,9.14,0.022,1.22,4.87,3.991803279,3D
TELTOW,1.453,0.225327,32.65,0.113,2.64,4.31,1.632575758,1D
TELTUC,1.338,0.310633,82.92,0.163,3.5,4.43,1.265714286,2D
TELXUG,1.227,0.272331,173.01,0.171,3.47,5.07,1.461095101,1D
TEMPIM01,0.9,0.570258,973.66,0.693,4.16,5.26,1.264423077,1D
TEMPIM,0.895,0.571461,1024.29,0.704,4.21,5.32,1.263657957,1D
TEMSEM,1.523,0.148803,0.18,0.067,3.39,4.09,1.206489676,1D
TENLAC,1.164,0.350532,190.69,0.263,3.15,4.76,1.511111111,1D
TENLIJ,1.144,0.455796,476.78,0.317,3.83,5.25,1.37075718,1D
TEPFUP,1.03,0.248459,8.72,0.221,1.63,4.12,2.527607362,2D
TEPPOV,1.563,0.254831,106.55,0.115,0.88,4.97,5.647727273,NON-POROUS
TEPREO,1.067,0.346979,548.53,0.252,3.79,6.46,1.704485488,1D
TEQJEF,1.162,0.364948,225.8,0.228,1.54,5.03,3.266233766,2D
TEQJIJ,1.07,0.456804,679.5,0.372,3.36,5.73,1.705357143,1D
TEQJUV,1.219,0.347222,170.8,0.205,1.52,4.95,3.256578947,3D
TEQMUY,1.156,0.217944,131.35,0.146,1.42,4.64,3.267605634,1D
TEQROX,1.218,0.223144,94.83,0.15,2.58,4.87,1.887596899,1D
TERQAI,1.254,0.296467,219.38,0.18,2.95,5.03,1.705084746,1D
TERSUH,1.284,0.278332,132.3,0.168,3.03,4.75,1.567656766,1D
TERTAO,1.299,0.273586,120.18,0.159,2.87,4.68,1.630662021,1D
TESGOO,1.921,0.259804,56.78,0.133,2.78,4.55,1.636690647,1D
TESGUU,1.921,0.259232,58.64,0.134,2.83,4.61,1.628975265,1D
TESHAB,1.814,0.301468,143.81,0.162,3.2,5.01,1.565625,1D
TESHEG,0.544,0.839358,4891.16,1.452,6.57,7.29,1.109589041,2D
TESZIB,0.692,0.597355,2225.75,0.764,7.16,9.48,1.324022346,1D
TETNOX,1.037,0.340538,724.96,0.298,4.17,5.89,1.412470024,1D
TETPOA,1.265,0.209357,19.29,0.097,1.55,4.39,2.832258065,1D
TETPUG,1.137,0.247366,29.32,0.151,3.01,4.4,1.46179402,1D
TETWUM,1.789,0.130595,15.41,0.056,2.47,4.65,1.882591093,1D
TETZUQ,1.242,0.341231,259.14,0.214,3.66,5.97,1.631147541,1D
TEVNUG,1.475,0.136735,39.55,0.069,3.26,4.62,1.417177914,1D
TEVVIC,1.083,0.464143,605.55,0.294,4.84,5.37,1.109504132,1D
TEVZIE,1.888,0.27365,92.94,0.141,3.03,4.75,1.567656766,1D
TEVZIF,2.324,0.388915,177.72,0.107,2.86,8.37,2.926573427,1D
TEVZOK,1.979,0.239706,22.84,0.117,2.7,4.4,1.62962963,1D
TEVZUQ,1.894,0.271576,81.7,0.141,3.09,4.67,1.511326861,1D
TEWFUY,1.263,0.298413,58.51,0.173,1.94,4.47,2.304123711,1D
TEWGUY,0.706,0.638838,2750.34,0.922,6.59,8.09,1.227617602,1D
TEWKOW,1.345,0.295826,5.14,0.15,3.28,4.14,1.262195122,1D
TEWMIS,0.357,0.804933,6215.56,2.187,7.54,9.92,1.315649867,2D
TEWMIU,1.519,0.51215,508.38,0.246,1.77,8.94,5.050847458,3D
TEWMUG,1.191,0.581674,1040.18,0.45,6.69,10.93,1.633781764,1D
TEWPUI,0.524,0.758153,2588.55,1.379,10.99,11.57,1.05277525,2D
TEXHOU,1.348,0.251738,13.86,0.146,3.2,4.39,1.371875,1D
TEXHOV,1.435,0.20521,203.86,0.117,1.28,5.89,4.6015625,3D
TEXKEO,1.266,0.354262,14.36,0.174,2.71,4.25,1.568265683,1D
TEXQAQ,1.273,0.308069,98.65,0.166,2,4.63,2.315,1D
TEXRAQ,2.341,0.171001,0.77,0.047,3.26,4.12,1.263803681,1D
TEXVID,1.958,0.462455,688.35,0.235,4.11,5.47,1.330900243,1D
TEXVOJ,2.332,0.235848,108.93,0.092,1.77,5.77,3.259887006,1D
TEYBUW,1.305,0.464203,761.77,0.287,5.14,7.64,1.486381323,1D
TEYDOR,1.464,0.414911,298.26,0.215,3.24,5.94,1.833333333,3D
TEYHIR,1.164,0.612448,1017.08,0.423,6.75,6.97,1.032592593,1D
TEYLEQ,1.178,0.408514,399.45,0.251,2.42,5.18,2.140495868,1D
TEYQAR,1.238,0.240232,33.04,0.139,1.93,4.46,2.310880829,1D
TEYQEV,1.237,0.274888,35.75,0.158,1.81,4.58,2.53038674,1D
TEYRIY,1.106,0.276956,46.99,0.177,2.05,4.39,2.141463415,1D
TEYZOP,1.443,0.149481,50.82,0.079,1.45,4.72,3.255172414,1D
TEZLIU,1.258,0.241158,4.46,0.144,1.83,4.22,2.306010929,1D
TEZLOA,1.025,0.458965,58.84,0.383,3.43,4.57,1.332361516,1D
TEZZIK,1.581,0.261001,49.79,0.123,2.62,4.69,1.790076336,1D
TIBXOT,1.445,0.462096,450.55,0.329,3.84,5.81,1.513020833,1D
TIBXUZ,1.456,0.461036,593.18,0.327,3.55,5.67,1.597183099,1D
TIBYAG,1.425,0.5087,839.15,0.351,4.17,7.12,1.707434053,1D
TICMUO,0.627,0.781276,2848.02,1.118,8.16,8.89,1.089460784,1D
TIFDOB,1.268,0.256696,226.68,0.171,1.68,5.49,3.267857143,3D
TIFHAT,0.617,0.735062,3208.91,1.093,6.38,10.32,1.617554859,1D
TIFHEX,0.631,0.735886,3163.7,1.069,6.39,10.33,1.616588419,1D
TIFHIB,1.576,0.206742,32.56,0.106,2.11,4.86,2.303317536,1D
TIFLEB,1.421,0.155089,127.84,0.108,3.96,4.57,1.154040404,1D
TIFRIM,1.085,0.365094,337.23,0.255,3.34,5.98,1.790419162,1D
TIGKEB,1.259,0.421474,17.33,0.257,3.37,4.38,1.299703264,1D
TIGZAN,1.316,0.393442,195.15,0.215,1.28,5.11,3.9921875,2D
TIHWEM,0.926,0.515843,499.78,0.514,3.67,5.04,1.373297003,2D
TIJLOP,1.55,0.148785,0.36,0.068,1.77,4.09,2.310734463,1D
TIJNAE,1.673,0.171283,10.94,0.088,2.62,4.27,1.629770992,1D
TIJSIR,0.803,0.552812,1421.23,0.643,9.66,10.06,1.041407867,1D
TIKXAN,0.921,0.802762,2295.68,0.712,5.34,6.1,1.142322097,3D
TILKUV,1.46,0.181172,1.11,0.093,1.24,4.06,3.274193548,1D
TILLUW,1.434,0.200612,1.85,0.097,1.79,4.13,2.30726257,3D
TIMBIB,2.439,0.454795,308.78,0.215,3.61,5.28,1.462603878,1D
TIMBOH,1.229,0.371196,330.61,0.234,2.66,6.14,2.308270677,3D
TIMMOU,1.279,0.283374,232.14,0.162,2.19,5.55,2.534246575,1D
TIMMUA,1.196,0.22134,120.36,0.139,3.37,4.49,1.332344214,1D
TINCOJ,1.338,0.202274,191.94,0.126,4.36,5.81,1.332568807,1D
TINFAZ,1.911,0.435462,84.14,0.224,3.35,4.6,1.373134328,1D
TINFIH,2.815,0.20388,70.22,0.077,2.04,4.72,2.31372549,2D
TINPOV,1.154,0.50912,1724.65,0.428,4.5,5.56,1.235555556,1D
TINROY,1.022,0.55677,467.97,0.451,3.78,4.78,1.264550265,1D
TINTEQ,0.997,0.599031,107.03,0.556,3.38,4.28,1.266272189,1D
TIPBID,1.033,0.263382,269.05,0.184,3.15,4.94,1.568253968,1D
TIPKAF,1.338,0.177781,137.38,0.104,3.17,5.41,1.706624606,1D
TIPRIT,1.853,0.205744,34.52,0.088,0.86,4.85,5.639534884,NON-POROUS
TIPWAT,3.14,0.19845,16.08,0.059,2.01,4.29,2.134328358,2D
TIQBEB,1.088,0.285875,114.06,0.204,2.68,4.58,1.708955224,1D
TIRHIL,0.758,0.733375,2986.63,0.983,7.05,9.2,1.304964539,3D
TIRLIQ,1.344,0.30534,132.33,0.182,3.74,4.99,1.334224599,1D
TIRWOI,1.17,0.180594,60.67,0.109,1.43,4.67,3.265734266,2D
TISHAF,0.905,0.577186,941.35,0.52,3.49,10.55,3.022922636,1D
TISJOW,1.402,0.112554,62.91,0.058,2.32,4.96,2.137931034,1D
TISKOW,1.667,0.221712,95.59,0.115,2.38,5.73,2.407563025,1D
TISNAM,0.746,0.652356,2014.39,0.759,5.83,8.52,1.461406518,1D
TISPIV,1.25,0.180861,56.46,0.098,1.88,4.77,2.537234043,1D
TISVEY,1.265,0.122539,67.83,0.067,3.08,4.66,1.512987013,1D
TISWEZ,2.359,0.102218,0.06,0.031,2.27,4.07,1.792951542,3D
TISZUT,1.183,0.496431,646.45,0.336,3.73,5.45,1.461126005,3D
TITBIJ,1.246,0.432737,713.29,0.282,4.39,5.42,1.234624146,1D
TITJAJ,1.293,0.27112,95.77,0.167,2.71,4.63,1.708487085,1D
TITTEY,0.964,0.593855,673,0.496,3.71,5.42,1.460916442,3D
TIVLEQ,2.732,0.089968,2.11,0.036,0.74,4.18,5.648648649,NON-POROUS
TIVLIU,2.885,0.269858,8.89,0.081,2.9,4.23,1.45862069,1D
TIVTAU,0.898,0.502239,521.1,0.545,3.97,5.03,1.267002519,1D
TIVXAY,1.257,0.132953,42.89,0.066,1.25,4.98,3.984,2D
TIVZEE,1.176,0.515451,1056.26,0.405,4.4,7.51,1.706818182,1D
TIXJAM,0.596,0.56741,2074.76,0.889,9.12,9.62,1.054824561,1D
TIXNEW,0.692,0.732376,3211.73,1.012,5.84,7.9,1.352739726,1D
TIXVON,1.167,0.276057,151.24,0.181,3.44,4.73,1.375,1D
TIYBOV,1.394,0.42167,895.45,0.3,5.45,6.81,1.249541284,1D
TIYMEU,1.803,0.124399,8.94,0.036,1.27,4.16,3.275590551,2D
TIYPOJ,1.061,0.314803,170.38,0.204,3.69,4.78,1.295392954,1D
TIYXUX01,1.616,0.373984,380.17,0.199,4.14,5.11,1.234299517,1D
TIYXUX,1.562,0.38651,421.71,0.217,4.19,5.17,1.233890215,1D
TIYYEI01,1.621,0.43589,361.96,0.214,4.13,5.1,1.234866828,1D
TIYYEI,1.55,0.456663,654.29,0.242,4.5,5.3,1.177777778,1D
TIZBIQ,1.452,0.414245,523.5,0.233,4.12,4.97,1.20631068,1D
TIZBOW01,1.447,0.436771,614.94,0.243,4.5,4.9,1.088888889,1D
TIZBOW,1.383,0.456455,740,0.272,4.6,5.2,1.130434783,1D
TIZCIR,1.56,0.469686,574.71,0.237,4.95,6.35,1.282828283,1D
TIZDOW,1.475,0.261826,45.86,0.138,3.57,4.52,1.266106443,1D
TIZGUG,3.128,0.305604,104.35,0.114,3.64,5.15,1.414835165,1D
TIZSIF,0.81,0.611647,1807.4,0.678,7.56,8.47,1.12037037,1D
TOBJUR,1.254,0.511349,930.45,0.335,4.96,5.98,1.205645161,1D
TOBKAY,1.274,0.505484,880.28,0.324,4.84,5.84,1.20661157,1D
TOBKEC,1.331,0.497003,706.9,0.305,4.86,5.73,1.179012346,1D
TOBPEG,1.585,0.195502,39.72,0.063,1.77,5,2.824858757,1D
TOBPOS,1.26,0.229734,3.45,0.105,1.67,4.22,2.526946108,1D
TOBRIO,1.258,0.237955,20.44,0.12,1.54,4.35,2.824675325,2D
TOBVOY,1.01,0.377705,150,0.31,3.23,4.72,1.46130031,1D
TOCJAY,0.396,0.849881,2769.74,2.042,18.85,24.01,1.273740053,3D
TOCJEC,0.253,0.900716,3187.14,3.457,25.57,30.94,1.210011732,3D
TOCNOR,2.036,0.118775,3.99,0.051,1.05,4.19,3.99047619,1D
TOCNUX,2.032,0.213465,7.34,0.103,2.24,4.22,1.883928571,1D
TOCVIQ,1.778,0.195414,0.04,0.08,1.02,4.08,4,3D
TOCXUH,1.366,0.442978,176.09,0.26,2.58,4.87,1.887596899,3D
TODLAC,1.209,0.449635,183.11,0.303,3.02,4.73,1.566225166,1D
TODRAH,1.648,0.21671,28.09,0.092,2.98,4.67,1.567114094,1D
TODXIV,1.42,0.326237,136.68,0.222,2.83,4.62,1.632508834,1D
TODYIW,2.136,0.070993,5.75,0.032,1.3,4.26,3.276923077,1D
TOFQEM,1.318,0.462641,303.16,0.274,3.53,4.58,1.297450425,1D
TOFWAO,1.414,0.141128,32.86,0.069,1.93,4.45,2.305699482,1D
TOGCUN,1.065,0.179091,10.56,0.112,1.3,4.26,3.276923077,3D
TOHJIL,2.69,0.24902,67.39,0.089,2.26,4.84,2.14159292,1D
TOHJOR,1.261,0.273824,246.41,0.168,2.23,5.94,2.66367713,1D
TOHKAE,1.379,0.156859,1.01,0.068,1.62,4.09,2.524691358,1D
TOHNOV,0.789,0.687446,1881.53,0.833,3.63,10.6,2.920110193,3D
TOHYUM,1.402,0.296045,7.74,0.176,3.37,4.15,1.231454006,1D
TOJBUR,0.7,0.705666,2365.11,0.91,6.98,8.32,1.191977077,1D
TOJDAY,1.179,0.163795,10.17,0.099,1.62,4.1,2.530864198,1D
TOJDEC,0.874,0.48153,1219.46,0.462,6.57,7.43,1.130898021,1D
TOJDIG,0.643,0.666147,2001.77,0.903,4.22,6.62,1.568720379,2D
TOJDOM,0.653,0.690003,1956.22,0.921,3.87,6.6,1.705426357,3D
TOJGIJ,1.244,0.410355,479.46,0.27,3.81,10.17,2.669291339,2D
TOJXUM,1.36,0.247642,228.36,0.141,2.8,5.27,1.882142857,1D
TOKCON,0.79,0.534828,987.61,0.574,3.36,5.48,1.630952381,2D
TOKDON,1.259,0.573539,657.06,0.381,3.92,5.55,1.415816327,1D
TOKPAK02,1.254,0.40437,68.19,0.287,2.32,4.37,1.88362069,1D
TOKPAK,1.272,0.382938,1.17,0.249,2.05,4.09,1.995121951,2D
TOLGIL,1.243,0.264782,270.36,0.14,4.35,5.64,1.296551724,1D
TOLGOR,1.29,0.321473,192.26,0.185,3.1,4.87,1.570967742,2D
TOLJOU,0.915,0.529806,0.27,0.502,3.22,4.07,1.263975155,2D
TOMJIP,1.659,0.092508,47.92,0.046,1.35,5.41,4.007407407,1D
TONJOX,1.757,0.361211,352.38,0.176,1.74,6.95,3.994252874,1D
TONLIT,1.551,0.40484,62.72,0.21,3.74,4.86,1.299465241,1D
TONSUL,1.374,0.576268,1214.71,0.374,5.57,7.64,1.371633752,1D
TONTIA,2.215,0.202821,97.57,0.054,1.85,6.63,3.583783784,1D
TONTUN,0.818,0.631102,1229.93,0.661,3.43,7.93,2.311953353,3D
TOPKOZ,1.271,0.404767,216.17,0.258,3.01,4.92,1.634551495,1D
TORJAN,1.191,0.430547,282.33,0.309,3.24,5.08,1.567901235,3D
TORJOB,1.174,0.434553,297.16,0.314,3.23,5.07,1.569659443,3D
TORSID,1.667,0.195121,23.26,0.093,1.33,4.36,3.278195489,2D
TORVIG,1.47,0.133499,0.08,0.06,1.02,4.06,3.980392157,3D
TOSKUJ,1.189,0.444106,652.79,0.337,2.31,6.99,3.025974026,1D
TOTBUB,0.705,0.568974,1107.52,0.781,4.08,5.03,1.232843137,1D
TOVWAE,1.143,0.383172,647.82,0.283,1.33,8.69,6.533834586,3D
TOVWOS,1.343,0.215155,228.11,0.131,2.89,5.77,1.996539792,1D
TOXNAX,1.063,0.70273,1095.12,0.445,6.72,6.88,1.023809524,1D
TOXYEM,0.885,0.653673,2230.15,0.684,4.7,5.88,1.25106383,2D
TOYSEH,1.126,0.350618,444.72,0.239,3.68,5.67,1.54076087,1D
TOZHAT,2.226,0.174759,30.62,0.084,2.23,4.46,2,2D
TOZHEX,1.589,0.31669,18.05,0.162,2.91,4.24,1.457044674,3D
TUBBEZ,1.319,0.129056,5.04,0.049,1.3,4.23,3.253846154,3D
TUBJAD,1.271,0.206178,16.2,0.115,3.5,4.22,1.205714286,1D
TUBLIN,1.239,0.338553,161.21,0.205,3.72,4.83,1.298387097,1D
TUCCIE,1.912,0.128841,30.51,0.046,1.61,4.55,2.826086957,1D
TUCHIJ,1.521,0.174482,109.95,0.083,1.36,5.45,4.007352941,3D
TUCJUX,1.981,0.261011,105.53,0.117,3.56,4.89,1.373595506,2D
TUCKAE,1.597,0.286139,311.66,0.155,4.57,6.46,1.41356674,1D
TUCLOT,0.694,0.632728,1005.76,0.847,3,4.9,1.633333333,3D
TUCLUZ,0.784,0.57449,753.14,0.624,3.38,4.63,1.369822485,1D
TUCMAG01,0.819,0.519579,394.46,0.567,3.58,4.77,1.332402235,2D
TUCMAG,0.821,0.52774,547.03,0.572,3.76,5.01,1.332446809,1D
TUCMIO,0.847,0.517986,370.71,0.539,3.6,4.8,1.333333333,2D
TUDQOZ,1.575,0.24187,28.67,0.106,3.48,4.4,1.264367816,1D
TUFYAV,0.621,0.618695,2345.52,0.884,4.25,6.54,1.538823529,1D
TUGDAC,1.525,0.166797,1.97,0.069,1.8,4.16,2.311111111,1D
TUGGUY,0.98,0.575615,1349.01,0.543,8.86,9.97,1.125282167,2D
TUHGUY,1.002,0.277163,82.66,0.262,3.23,4.43,1.371517028,1D
TUHREV,1.402,0.128465,50.73,0.065,2.05,4.74,2.312195122,2D
TUJCAE,1.188,0.360607,453.14,0.245,3.91,5.72,1.462915601,1D
TUJDEJ,1.401,0.265739,280.2,0.142,4.46,4.77,1.069506726,1D
TUKVEB,0.693,0.511322,1312.28,0.632,4.09,5.97,1.459657702,1D
TUKVIF,0.913,0.437893,810.73,0.366,0.76,8.64,11.36842105,NON-POROUS
TULBIM,1.029,0.543032,1159.79,0.499,8.9,9.69,1.088764045,1D
TUMDEM,1.31,0.433718,161.3,0.262,2.64,4.98,1.886363636,2D
TUMGIS,1.755,0.198837,113.18,0.085,1.72,5.62,3.26744186,1D
TUMJUI,0.984,0.326049,2.68,0.292,1.64,4.14,2.524390244,1D
TUMKAP,0.967,0.336498,16.19,0.312,1.8,4.16,2.311111111,1D
TUMQUP,1.235,0.403674,12.03,0.246,3.1,4.25,1.370967742,1D
TUMVEE,1.37,0.362881,180.08,0.206,4.07,4.8,1.179361179,1D
TUNDEN,1.196,0.599554,902.2,0.429,4.48,5.97,1.332589286,1D
TUNFAJ,0.558,0.783249,4019.2,1.348,7.13,9.45,1.325385694,3D
TUNKEU,1.419,0.405564,132.9,0.231,2.93,4.78,1.631399317,1D
TUNMUM,0.832,0.606965,1642.43,0.668,8.59,9.76,1.136204889,1D
TUNNIB,1.318,0.218384,15.53,0.129,1.32,4.31,3.265151515,1D
TUPDIT01,1.309,0.339456,159.82,0.189,3.16,4.62,1.462025316,1D
TUPDIT04,1.308,0.342234,168.85,0.19,3.16,4.61,1.458860759,1D
TUPDIT,1.316,0.339985,164.26,0.19,3.18,4.64,1.459119497,1D
TUQDIS,1.111,0.567918,1321.28,0.459,4.47,6.05,1.353467562,1D
TUQSII,0.646,0.671544,2313.19,0.9,5.71,7.04,1.232924694,1D
TURFAP,1.054,0.437606,616.53,0.322,3.96,5.69,1.436868687,1D
TURXAH01,1.605,0.077947,0.73,0.035,1.25,4.09,3.272,1D
TURXAH,1.726,0.079989,0.26,0.033,1.26,4.11,3.261904762,1D
TUSPON,1.3,0.277306,28.28,0.161,1.54,4.36,2.831168831,1D
TUTGOF,1.19,0.376375,155.15,0.236,0.91,5.14,5.648351648,NON-POROUS
TUTGUL,1.321,0.254032,26.67,0.133,1.09,4.38,4.018348624,1D
TUTGUM,1.329,0.179217,55.35,0.087,1.19,4.78,4.016806723,3D
TUTHEW,1.302,0.248453,55.27,0.132,0.81,4.56,5.62962963,NON-POROUS
TUTHOG,1.267,0.270883,94.43,0.144,1.43,4.66,3.258741259,1D
TUTHUM,1.326,0.255865,26.03,0.137,0.77,4.38,5.688311688,NON-POROUS
TUTJAU,1.109,0.47123,660.65,0.353,3.56,6.36,1.786516854,1D
TUTZOY,1.894,0.294609,30.58,0.102,2.74,4.48,1.635036496,1D
TUVDOD,1.632,0.216804,157.67,0.111,2.86,6.89,2.409090909,1D
TUVDUJ,1.654,0.21951,157.01,0.111,2.68,6.78,2.529850746,1D
TUVGAS,0.965,0.483605,1005.12,0.478,5.04,7.13,1.41468254,1D
TUVGIC,0.73,0.562018,1627.2,0.68,4.32,8.92,2.064814815,1D
TUWPOR,1.491,0.185094,157.59,0.097,3.76,4.88,1.29787234,1D
TUWWIT,1.329,0.339251,405,0.257,3.62,6.04,1.668508287,1D
TUXBUL,0.937,0.415981,194.48,0.408,3.44,4.86,1.412790698,1D
TUXRAF,1.188,0.408102,103.45,0.268,3.19,4.51,1.413793103,1D
TUXZIW,0.8,0.539724,1867.69,0.611,7.49,9.92,1.324432577,1D
TUYJAZ,1.243,0.422636,653.71,0.327,2.59,8.83,3.409266409,3D
TUYJED,1.258,0.428853,651.4,0.322,2.96,8.65,2.922297297,1D
TUYKII,2.38,0.098382,22.66,0.033,0.81,4.59,5.666666667,NON-POROUS
TUYKOO,2.316,0.100533,24.32,0.034,0.81,4.58,5.654320988,NON-POROUS
TUYLAB,2.34,0.099801,24.33,0.033,0.81,4.61,5.691358025,NON-POROUS
TUYQAH,2.682,0.3566,310.49,0.125,4.2,5.94,1.414285714,1D
TUZBAS,0.922,0.557814,1308.09,0.573,9.94,11.36,1.142857143,1D
TUZXIW,3.766,0.125608,21.93,0.035,3.31,5.4,1.63141994,1D
