,Density of the material (g/cm3),Helium Void Fraction,Gravimetric Void Fraction,Surface Area volumetric (m2/cm3),Surface Area gravimetric (m2/g),PLD (_),LCD (_),Pore Volume (cm3/g),ch4_100bar_cccc,ch4_100bar_density_kgm3,ch4_100bar_gg,ch4_100bar_heatcap_JmolK,ch4_100bar_qst_kJmol,ch4_100_7_delcap_gg,ch4_50bar_cccc,ch4_50bar_density_kgm3,ch4_50bar_gg,ch4_50bar_heatcap_JmolK,ch4_50bar_qst_kJmol,ch4_50_7_delcap_gg,ch4_7bar_cccc,ch4_7bar_density_kgm3,ch4_7bar_gg,ch4_7bar_heatcap_JmolK,ch4_7bar_qst_kJmol
AJIHOQ,1.323,0.33226,0.452111,454.88,343.81,4.76,6.54,0.251141345,104.9765471,75.13542,0.056790351,4241.70592,18.03953,0.020065575,97.72912518,69.94819,0.052869631,4167.84868,17.75817,0.016144855,67.88547917,48.58804,0.036724776,6190.74752,18.96657
AJIJIN,0.841,0.396337,0.609351,754.34,896.75,3.9,5.2,0.471268728,171.509915,122.7557,0.145931499,5178.37404,17.93388,0.088234317,152.1719243,108.91482,0.129477511,5961.83903,17.69934,0.07178033,67.81016314,48.53413,0.057697182,6384.13937,16.49066
AJODOT,1.442,0.180098,0.339867,362.96,251.72,4.78,5.52,0.124894591,71.09817738,50.88748,0.035292467,3122.84716,18.74885,0.013133206,63.18971691,45.22711,0.031366781,4415.18231,20.99257,0.00920752,44.64077513,31.95098,0.022159261,6321.8252,21.05619
AJOHUE,0.878,0.826202,0.678303,1721.37,1959.72,7.42,7.79,0.941004556,301.0732681,215.48877,0.245327491,24927.06205,19.47945,0.075253848,282.4928848,202.19014,0.230187393,34316.34387,20.69976,0.06011375,208.7194842,149.38791,0.170073642,58912.46697,20.8035
AJOKUF,0.701,0.581406,0.642456,1366.09,1947.72,9.23,10.24,0.82939515,156.2894639,111.86189,0.159489747,12280.03243,11.57075,0.12792614,114.0064902,81.59847,0.11634096,11143.21624,11.00506,0.084777353,30.93025921,22.13788,0.031563607,5528.95695,12.29502
AJOLAM,1.327,0.120782,0.318565,181.77,137.02,4.18,5.04,0.091018839,40.03644243,28.6555,0.021600312,1862.59831,18.49376,0.009503026,37.70102769,26.98396,0.020340318,2391.73878,19.92062,0.008243032,22.42246829,16.04855,0.012097287,2605.07371,19.03088
AJOLAM01,1.327,0.120834,0.318584,184.9,139.38,4.18,5.05,0.091058026,40.9197168,29.28769,0.022076853,2466.19106,19.17476,0.010038505,37.12239195,26.56981,0.020028135,2006.2282,20.23816,0.007989787,22.3132247,15.97036,0.012038348,2662.9744,19.40873
AJOLAM02,1.346,0.114797,0.313425,145.85,108.37,4.05,5.11,0.085287519,39.63000263,28.36459,0.021076812,1579.64202,19.29916,0.009456785,36.36936039,26.03084,0.019342673,2104.11365,19.32754,0.007722646,21.84873569,15.63791,0.011620027,4946.53456,20.18726
AJOTOK,1.375,0.414391,0.598673,610.45,443.98,4.01,4.95,0.301375273,178.1204992,127.48713,0.092720539,6436.17012,18.37162,0.040532142,156.833224,112.25108,0.081639458,6946.29162,19.11674,0.029451061,100.2563555,71.75702,0.052188397,11364.92141,19.95773
AJOVEB,2.007,0.115347,0.351015,42.15,21.01,4.1,4.94,0.057472347,38.14676493,27.30299,0.013605126,1904.14902,15.51799,0.008320794,28.66643699,20.51758,0.010223947,2415.94306,16.90625,0.004939614,14.8164876,10.60468,0.005284332,2141.89209,19.76687
AKAXIU,1.342,0.42206,0.532829,921.12,686.35,8.91,9.32,0.314500745,150.0558386,107.40026,0.080028123,9024.33865,17.57504,0.052477513,132.061484,94.52107,0.070431333,8835.73143,16.86669,0.042880722,51.65846431,36.97379,0.02755061,7673.35953,14.72529
AKAXOA,1.321,0.431798,0.539538,992.96,751.84,9.47,9.9,0.326872067,150.3145889,107.58546,0.081461453,6525.92195,16.57841,0.054266889,130.1634837,93.1626,0.070540768,8550.63138,15.95038,0.043346204,50.18004875,35.91563,0.027194564,6632.75513,14.54936
AKAXUG,1.357,0.415621,0.52671,933.83,688.25,8.77,9.21,0.306279293,150.139122,107.45987,0.079201108,6566.93029,16.82584,0.051235618,131.3989636,94.04688,0.069315335,8651.7878,17.218,0.041349845,53.01332497,37.94351,0.02796549,7386.10782,14.86344
AKAYAN,1.421,0.383906,0.509256,986.96,694.53,7.41,7.78,0.27016608,138.7046952,99.27585,0.069861902,6163.40934,17.89355,0.041857394,124.4305428,89.05934,0.062672388,8191.85773,17.94617,0.034667879,55.60050151,39.79524,0.028004508,6557.57614,15.77482
AKAYER,1.313,0.423659,0.542342,970.37,739,8.84,9.21,0.32266489,147.0315195,105.23565,0.080144265,7425.83549,17.34227,0.05375172,130.0797015,93.10264,0.07090413,10200.62098,16.8554,0.044511585,48.41938511,34.65546,0.026392545,6180.85893,14.23547
AKAYIV,1.143,0.398228,0.491032,908.58,794.86,8.89,9.22,0.348405949,142.0951432,101.70251,0.088973424,5157.79349,18.08377,0.048823497,128.6482256,92.07808,0.080553585,9603.58989,18.84529,0.040403658,64.12150206,45.89402,0.040149927,8264.94452,16.43618
AKICUT01,0.927,0.457781,0.592236,1294.25,1395.83,6.41,7.04,0.493830636,140.2738198,100.39893,0.108278964,7482.57843,14.25859,0.089739484,105.7636395,75.69877,0.081640162,6549.1744,13.36883,0.063100681,24.01762668,17.19026,0.01853948,1665.26357,11.07891
AKIMIS,0.804,0.515501,0.62431,1380.23,1716.43,6.18,6.73,0.641170398,196.9514922,140.96514,0.175303536,7179.318,15.95675,0.125551736,168.0840109,120.30366,0.149609029,10284.33058,16.07864,0.099857229,55.89557094,40.00643,0.0497518,6958.275,14.64831
AKIQUG,0.816,0.492516,0.609942,1194.73,1463.92,9.23,9.53,0.603573529,131.640877,94.22003,0.11544939,9479.8231,11.39999,0.101561269,88.04261503,63.01521,0.077213601,6567.29003,10.00388,0.06332548,15.83589538,11.33431,0.013888121,1565.42012,9.31581
AKIYOI,0.957,0.474689,0.665218,1497.46,1564.91,4.6,5.31,0.496017764,128.7444112,92.14692,0.095592921,14644.50239,12.95937,0.082876183,90.11747006,64.50026,0.066912358,9974.43164,11.73715,0.05419562,17.1268851,12.25832,0.012716738,2131.85331,10.00932
AKIZEZ,0.836,0.432705,0.67703,700.57,837.71,4.01,5.08,0.517589713,144.2055446,103.213,0.12258384,6745.41534,13.84956,0.10517103,105.228577,75.31581,0.089450951,5029.01739,13.03616,0.072038141,20.48413338,14.66122,0.01741281,1474.1612,11.74136
AKUMIE,0.791,0.534912,0.582524,446.76,565.05,3.88,4.58,0.676247788,201.0789329,143.9193,0.181395468,14241.70125,18.10997,0.105033997,175.9764243,125.95254,0.158750225,13104.50689,17.8326,0.082388754,84.64755625,60.58525,0.076361471,13811.29298,17.36704
