Refcode,Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),LCD/PLD,Porosity,Density [binned] (g/cm3),HVF [binned],Surface area [binned] (m2/g),Free volume [binned] (cm3/g),PLD [binned] (A),LCD [binned] (A),LCD/PLD [binned]
BAQRES,1.39,0.240,28.41,0.131,3.53,4.36,1.235,1D,1.3,0.2,0,0.1,3.3,4.3,1.2
BAQSIV,1.78,0.137,45.2,0.064,1.12,4.49,4.009,1D,1.6,0.1,0,0,1,4.4,4
BARBEE,1.286,0.231,111.89,0.13,2.51,5.02,2.000,1D,1.2,0.2,100,0.1,2.2,5,2
BARBII,1.239,0.181,22.54,0.083,1.99,4.26,2.141,1D,1.2,0.1,0,0,1.8,4.2,2
BARVOH,1.174,0.263,139.79,0.184,3.46,4.89,1.413,1D,1.1,0.2,100,0.1,3.3,4.8,1.4
BARWAU,0.713,0.605,1766.75,0.784,9.36,11.23,1.200,2D,0.6,0.6,1500,0.6,8,10,1.1
BARXIC01,1.366,0.224,5.72,0.129,3.62,4.19,1.157,1D,1.3,0.2,0,0.1,3.6,4,1.1
BARXIC,1.35,0.226,4.23,0.133,3.64,4.12,1.132,1D,1.3,0.2,0,0.1,3.6,4,1.1
BARZIF,1.442,0.259,219.88,0.142,3.68,5.67,1.541,1D,1.4,0.2,200,0.1,3.6,5.6,1.5
BASHAF,0.6,0.662,3411.54,1.162,4.07,7.11,1.747,3D,0.6,0.6,3000,1,4,7,1.6
BASHEJ,0.63,0.661,3109.3,1.103,4.05,7.07,1.746,3D,0.6,0.6,3000,1,4,7,1.6
BASHIN,0.748,0.553,915.13,0.819,3.16,5.65,1.788,3D,0.6,0.5,800,0.8,3,5.6,1.6
BASHOT,0.768,0.554,847.09,0.794,3.15,5.63,1.787,3D,0.6,0.5,800,0.6,3,5.6,1.6
BASJIP,1.605,0.326,244.36,0.179,4.34,5.01,1.154,1D,1.6,0.3,200,0.1,4,5,1.1
BASVIB,1.124,0.221,182.44,0.148,1.25,5.01,4.008,2D,1.1,0.2,150,0.1,1,5,4
BASVOH,1.232,0.212,127.34,0.133,1.46,4.77,3.267,1D,1.2,0.2,100,0.1,1.4,4.6,3
BATNER,0.6,0.565,2811.3,0.881,6.54,7.72,1.180,1D,0.6,0.5,2000,0.8,6,7,1.1
BAVKOA,1.273,0.493,179.04,0.28,3.79,4.91,1.296,1D,1.2,0.4,150,0.2,3.6,4.8,1.2
BAVREW01,1.807,0.276,86.4,0.116,1.75,4.96,2.834,1D,1.8,0.2,50,0.1,1.4,4.8,2.5
BAVWED,1.436,0.241,164.47,0.13,2.48,4.96,2.000,1D,1.4,0.2,150,0.1,2.2,4.8,2
BAWQIB01,1.238,0.223,0.5,0.127,1.61,4.07,2.528,1D,1.2,0.2,0,0.1,1.4,4,2.5
BAWZEH,0.662,0.611,1637.58,0.956,3.81,5.39,1.415,1D,0.6,0.6,1500,0.8,3.8,5.3,1.4
BAXFEN,1.446,0.263,293.86,0.14,4.68,5.65,1.207,1D,1.4,0.2,200,0.1,4.5,5.6,1.2
BAXHAL,1.564,0.246,36.93,0.136,2.76,4.34,1.572,2D,1.5,0.2,0,0.1,2.6,4.3,1.5
BAXHEP,1.685,0.237,11.76,0.121,2.68,4.2,1.567,2D,1.6,0.2,0,0.1,2.6,4.2,1.5
BAXHIT,1.716,0.235,11.01,0.118,2.69,4.22,1.569,2D,1.6,0.2,0,0.1,2.6,4.2,1.5
BAXHOZ,1.593,0.240,29.98,0.132,2.75,4.32,1.571,2D,1.5,0.2,0,0.1,2.6,4.3,1.5
BAXHUF,1.58,0.239,29.62,0.131,2.76,4.32,1.565,1D,1.5,0.2,0,0.1,2.6,4.3,1.5
BAXJAN01,1.627,0.238,23.25,0.127,2.75,4.32,1.571,1D,1.6,0.2,0,0.1,2.6,4.3,1.5
BAXJAN,1.668,0.232,4.49,0.119,2.64,4.14,1.568,2D,1.6,0.2,0,0.1,2.6,4,1.5
BAXJIV,1.735,0.239,8.84,0.115,2.68,4.21,1.571,2D,1.6,0.2,0,0.1,2.6,4.2,1.5
BAXLEU,1.588,0.395,479.41,0.248,3.92,6.27,1.599,2D,1.5,0.3,400,0.2,3.8,6,1.5
BAXREY,1.529,0.230,132.1,0.118,3.06,6.31,2.062,1D,1.5,0.2,100,0.1,3,6,2
BAXTEA,1.385,0.157,0.56,0.078,3.14,4.08,1.299,1D,1.3,0.1,0,0,3,4,1.2
BAYVOO,1.218,0.481,1429.75,0.421,6.53,7.47,1.144,1D,1.2,0.4,1250,0.4,6,7,1.1
BAZBIO01,1.008,0.555,846.81,0.443,4.51,5.86,1.299,1D,1,0.5,800,0.4,4.5,5.6,1.2
BAZBIO,1.008,0.556,857.55,0.443,4.51,5.85,1.297,1D,1,0.5,800,0.4,4.5,5.6,1.2
BAZBOU02,0.989,0.552,850.54,0.456,4.43,5.99,1.352,1D,0.8,0.5,800,0.4,4,5.6,1.3
BAZBOU,0.988,0.559,920.79,0.462,4.65,5.96,1.282,1D,0.8,0.5,800,0.4,4.5,5.6,1.2
BAZCOW,0.735,0.715,2962.65,0.986,6.91,8.53,1.234,3D,0.6,0.7,2000,0.8,6,8,1.2
BAZDAJ,0.719,0.719,3093.37,1.015,6.81,8.67,1.273,1D,0.6,0.7,3000,1,6,8,1.2
BAZTEB,0.73,0.603,1330.94,0.702,4.16,4.9,1.178,3D,0.6,0.6,1250,0.6,4,4.8,1.1
BAZVED,0.721,0.621,1533.36,0.731,4,5.34,1.335,3D,0.6,0.6,1500,0.6,4,5.3,1.3
BCETPN,0.931,0.477,1188.05,0.498,6.64,7.16,1.078,1D,0.8,0.4,1000,0.4,6,7,1
BEBBAM,0.486,0.697,4505.99,1.364,6.18,7.21,1.167,1D,0,0.6,3000,1,6,7,1.1
BEBSAE,0.422,0.825,5575.01,1.839,7.25,8.95,1.234,2D,0,0.8,3000,1.5,6,8,1.2
BECKAY,1.627,0.293,37.04,0.14,2.98,4.51,1.513,2D,1.6,0.2,0,0.1,2.6,4.5,1.5
BECQEF,0.432,0.762,4192.3,1.741,11.01,11.4,1.035,1D,0,0.7,3000,1.5,10,10,1
BECSEI,1.224,0.246,49.28,0.175,3.03,4.58,1.512,1D,1.2,0.2,0,0.1,3,4.5,1.5
BECSUY,1.158,0.341,303.77,0.242,3.54,5,1.412,1D,1.1,0.3,300,0.2,3.3,5,1.4
BECTUA,0.858,0.604,1583.29,0.656,4.47,5.95,1.331,1D,0.8,0.6,1500,0.6,4,5.6,1.3
BEDCOF,1.236,0.203,0.54,0.129,1.78,4.12,2.315,3D,1.2,0.2,0,0.1,1.4,4,2
BEFJAA,2.297,0.238,136.21,0.099,4.2,4.66,1.110,1D,2,0.2,100,0,4,4.6,1.1
BEGJAZ,1.155,0.382,79.62,0.266,3.37,4.49,1.332,2D,1.1,0.3,50,0.2,3.3,4.4,1.3
BEGZEU,1.255,0.304,37.38,0.166,3.59,4.24,1.181,1D,1.2,0.3,0,0.1,3.3,4.2,1.1
BEGZIY,0.549,0.718,3102.49,1.244,7.38,7.96,1.079,1D,0,0.7,3000,1,6,7,1
BEHFAY01,1.067,0.260,338.05,0.208,3.96,5.43,1.371,1D,1,0.2,300,0.2,3.8,5.3,1.3
BEHKAC,1.175,0.385,262.91,0.254,3.49,5.28,1.513,1D,1.1,0.3,200,0.2,3.3,5,1.5
BEHMAD01,1.248,0.557,1152.17,0.41,7.47,8.9,1.191,1D,1.2,0.5,1000,0.4,6,8,1.1
BEHMAE,1.749,0.167,20.86,0.082,1.77,4.47,2.525,1D,1.6,0.1,0,0,1.4,4.4,2.5
BEHPIO,1.162,0.228,46.12,0.109,2.56,4.59,1.793,1D,1.1,0.2,0,0.1,2.2,4.5,1.6
BEHPOU,1.027,0.380,266.4,0.29,3.26,4.92,1.509,1D,1,0.3,200,0.2,3,4.8,1.5
BEJCIF,1.247,0.315,46.75,0.205,2.94,4.62,1.571,1D,1.2,0.3,0,0.2,2.6,4.6,1.5
BEJHOQ,0.619,0.731,4133.04,1.256,6.51,8.09,1.243,1D,0.6,0.7,3000,1,6,8,1.2
BEJYUN,1.408,0.115,1.67,0.051,1.31,4.27,3.260,1D,1.4,0.1,0,0,1,4.2,3
BEKDUR01,1.449,0.299,8.26,0.154,2.85,4.17,1.463,1D,1.4,0.2,0,0.1,2.6,4,1.4
BEKNIR,1.204,0.572,1086.85,0.445,4.21,6.36,1.511,1D,1.2,0.5,1000,0.4,4,6,1.5
BEKNOX,1.182,0.588,1069.3,0.472,3.85,6.29,1.634,3D,1.1,0.5,1000,0.4,3.8,6,1.6
BEKPAL,1.07,0.614,1326.52,0.537,8.2,9.28,1.132,1D,1,0.6,1250,0.5,8,8,1.1
BEKROZ,2.794,0.209,55.69,0.075,3.32,5.01,1.509,1D,2,0.2,50,0,3.3,5,1.5
BELBEA,1.447,0.114,9.18,0.053,1.5,4.25,2.833,1D,1.4,0.1,0,0,1.4,4.2,2.5
BELJIL,1.287,0.297,445.78,0.188,4.81,7.03,1.462,1D,1.2,0.2,400,0.1,4.5,7,1.4
BEMCUU,1.766,0.103,4.85,0.04,2.81,4.26,1.516,1D,1.6,0.1,0,0,2.6,4.2,1.5
BEMFOQ,0.746,0.579,1614.21,0.713,4.2,7,1.667,1D,0.6,0.5,1500,0.6,4,7,1.6
BEMHUX,1.151,0.458,716.07,0.359,3.71,7.2,1.941,2D,1.1,0.4,600,0.3,3.6,7,1.8
BEMRES,1.672,0.216,129.45,0.094,2.46,5.69,2.313,1D,1.6,0.2,100,0,2.2,5.6,2
BENHOT,1.044,0.436,263.68,0.328,3.25,5.1,1.569,1D,1,0.4,200,0.3,3,5,1.5
BENNEO,1.945,0.117,18.6,0.048,1.4,4.57,3.264,1D,1.8,0.1,0,0,1.4,4.5,3
BENNIR,1.466,0.293,50.66,0.139,2.4,4.79,1.996,1D,1.4,0.2,50,0.1,2.2,4.6,1.8
BENVOI,1.426,0.202,25.5,0.089,3.69,4.35,1.179,1D,1.4,0.2,0,0,3.6,4.3,1.1
BENZOL,1.25,0.292,86.37,0.182,3.53,4.71,1.334,1D,1.2,0.2,50,0.1,3.3,4.6,1.3
BENZUR,1.343,0.283,54.12,0.166,3.54,4.6,1.299,1D,1.3,0.2,50,0.1,3.3,4.6,1.2
