Refcode,Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),LCD/PLD,Porosity,Density [binned] (g/cm3),HVF [binned],Surface area [binned] (m2/g),Free volume [binned] (cm3/g),PLD [binned] (A),LCD [binned] (A),LCD/PLD [binned]
AYUYEY,0.911,0.559,1653.21,0.565,7.89,8.67,1.099,1D,0.8,0.5,1500,0.5,6,8,1
AZAFEO,1.78,0.280,102.32,0.13,1.19,4.74,3.983,2D,1.6,0.2,100,0.1,1,4.6,3
AZAFIS,1.673,0.316,79.36,0.163,2.5,4.47,1.788,1D,1.6,0.3,50,0.1,2.2,4.4,1.6
AZEXIM,0.924,0.584,1745.25,0.581,6.48,8.64,1.333,1D,0.8,0.5,1500,0.5,6,8,1.3
AZEXUY,1.536,0.215,5.85,0.094,1.66,4.2,2.530,1D,1.5,0.2,0,0,1.4,4.2,2.5
AZEZAG,0.406,0.826,4128.87,1.97,12.18,20.05,1.646,1D,0,0.8,3000,1.5,10,10,1.6
AZIMIH,1.527,0.406,22.89,0.211,3.03,4.28,1.413,2D,1.5,0.4,0,0.2,3,4.2,1.4
AZINUU,0.458,0.788,2707.03,1.705,12.65,14.8,1.170,1D,0,0.7,2000,1.5,10,10,1.1
AZIPAA,1.239,0.120,1.75,0.056,1.44,4.09,2.840,1D,1.2,0.1,0,0,1.4,4,2.5
AZIPAC,0.459,0.789,2699.06,1.696,12.62,14.8,1.173,1D,0,0.7,2000,1.5,10,10,1.1
AZOBEX,1.315,0.246,92.01,0.138,1.49,4.87,3.268,1D,1.3,0.2,50,0.1,1.4,4.8,3
AZUFEG,2.138,0.189,50.17,0.08,3.11,5.08,1.633,1D,2,0.1,50,0,3,5,1.6
BABBUC,0.91,0.465,313.76,0.399,3.72,4.7,1.263,2D,0.8,0.4,300,0.3,3.6,4.6,1.2
BACFAN,1.197,0.274,89.72,0.171,2.02,4.65,2.302,1D,1.1,0.2,50,0.1,1.8,4.6,2
BACGAQ,1.165,0.324,179.51,0.212,3.16,4.77,1.509,1D,1.1,0.3,150,0.2,3,4.6,1.5
BACMEZ,0.961,0.542,1573.57,0.522,6.81,7.71,1.132,1D,0.8,0.5,1500,0.5,6,7,1.1
BACNAV,0.907,0.577,856.74,0.589,3.66,5.74,1.568,1D,0.8,0.5,800,0.5,3.6,5.6,1.5
BACYEK,1.751,0.351,55.1,0.196,2.94,4.61,1.568,1D,1.6,0.3,50,0.1,2.6,4.6,1.5
BACZIR,1.587,0.079,2.44,0.033,2.02,4.33,2.144,1D,1.5,0.0,0,0,1.8,4.3,2
BADFUI,1.099,0.581,1737.34,0.459,5.36,6.32,1.179,1D,1,0.5,1500,0.4,5,6,1.1
BADLOH,1.653,0.256,83.57,0.119,1.58,5.17,3.272,1D,1.6,0.2,50,0.1,1.4,5,3
BADXUC,0.885,0.662,1819.76,0.653,8.8,10.33,1.174,1D,0.8,0.6,1500,0.6,8,10,1.1
BADYAJ,0.984,0.630,1623.44,0.547,6.69,8.31,1.242,1D,0.8,0.6,1500,0.5,6,8,1.2
BAEDTA01,2.264,0.076,5.49,0.019,1.65,4.66,2.824,1D,2,0.0,0,0,1.4,4.6,2.5
BAFCOB,1.215,0.205,0.22,0.141,1.61,4.07,2.528,1D,1.2,0.2,0,0.1,1.4,4,2.5
BAGFUM,1.088,0.492,816.26,0.391,4.27,6.14,1.438,1D,1,0.4,800,0.3,4,6,1.4
BAGGEX,1.166,0.227,6.93,0.136,1.48,4.18,2.824,2D,1.1,0.2,0,0.1,1.4,4,2.5
BAGNEF,1.63,0.177,12.36,0.08,1.06,4.23,3.991,2D,1.6,0.1,0,0,1,4.2,3
BAHCOF,1.597,0.261,317.14,0.148,4.87,5.68,1.166,1D,1.5,0.2,300,0.1,4.5,5.6,1.1
BAHFAU,0.773,0.657,1649.17,0.761,4.66,5.97,1.281,2D,0.6,0.6,1500,0.6,4.5,5.6,1.2
BAHGUN03,1.502,0.263,0.1,0.129,3,4.12,1.373,1D,1.5,0.2,0,0.1,3,4,1.3
BAHGUN04,1.485,0.262,0.49,0.13,3,4.11,1.370,1D,1.4,0.2,0,0.1,3,4,1.3
BAHGUN,1.493,0.267,0.44,0.133,3.02,4.14,1.371,1D,1.4,0.2,0,0.1,3,4,1.3
BAHHUQ,1.457,0.208,49.27,0.1,1.14,4.57,4.009,3D,1.4,0.2,0,0.1,1,4.5,4
BAHJUR,1.772,0.256,74.76,0.109,1.15,4.62,4.017,2D,1.6,0.2,50,0.1,1,4.6,4
BAHMEF,0.86,0.615,2042.87,0.618,6.38,6.82,1.069,1D,0.8,0.6,2000,0.6,6,6.5,1
BAHMUV,1.088,0.449,745.28,0.337,4.55,6.54,1.437,1D,1,0.4,600,0.3,4.5,6.5,1.4
BAHPEH,1.369,0.218,37.88,0.113,1.55,4.38,2.826,1D,1.3,0.2,0,0.1,1.4,4.3,2.5
BAHPEI,0.9,0.468,1155.77,0.474,5.23,7.28,1.392,1D,0.8,0.4,1000,0.4,5,7,1.3
BAJQAF,1.329,0.238,91.5,0.151,2.57,5.49,2.136,1D,1.3,0.2,50,0.1,2.2,5.3,2
BAJYIW,0.928,0.531,843.94,0.451,4.3,5.66,1.316,1D,0.8,0.5,800,0.4,4,5.6,1.3
BAKCAS,1.525,0.225,15.24,0.111,3.04,4.3,1.414,1D,1.5,0.2,0,0.1,3,4.3,1.4
BAKJII,0.959,0.638,1124.09,0.542,4.76,6.02,1.265,1D,0.8,0.6,1000,0.5,4.5,6,1.2
BAKJOM,1.89,0.334,121.55,0.135,2.77,5.22,1.884,2D,1.8,0.3,100,0.1,2.6,5,1.8
BAKMUW,0.964,0.236,173.11,0.18,3.63,4.84,1.333,1D,0.8,0.2,150,0.1,3.6,4.8,1.3
BAKNIN,1.261,0.111,6.29,0.064,1.49,4.22,2.832,1D,1.2,0.1,0,0,1.4,4.2,2.5
BAKPOS,1.162,0.649,1054.09,0.482,4.09,6.18,1.511,2D,1.1,0.6,1000,0.4,4,6,1.5
BALJOQ,1.179,0.535,903.04,0.388,4,6.52,1.630,1D,1.1,0.5,800,0.3,4,6.5,1.6
BAMLUY,0.908,0.467,1223.17,0.465,4.64,7.74,1.668,1D,0.8,0.4,1000,0.4,4.5,7,1.6
BAMRAK,1.318,0.182,15.06,0.09,1.31,4.28,3.267,3D,1.3,0.1,0,0,1,4.2,3
BAMYAS,2.152,0.199,5.59,0.073,1.84,4.24,2.304,1D,2,0.1,0,0,1.8,4.2,2
BANGED,0.746,0.589,1956.31,0.83,4.2,5.94,1.414,1D,0.6,0.5,1500,0.8,4,5.6,1.4
BANGIH,1.177,0.439,589.58,0.321,4.02,5.52,1.373,1D,1.1,0.4,500,0.3,4,5.3,1.3
BANHAA,1.247,0.274,219.14,0.157,1.99,5.04,2.533,1D,1.2,0.2,200,0.1,1.8,5,2.5
BANMAG,1.492,0.336,522.27,0.203,6.87,8.11,1.180,1D,1.4,0.3,500,0.2,6,8,1.1
BANTIV01,0.758,0.566,1350.3,0.69,4.09,5.7,1.394,2D,0.6,0.5,1250,0.6,4,5.6,1.3
BANTIV02,0.775,0.559,1122.8,0.668,4.1,5.62,1.371,2D,0.6,0.5,1000,0.6,4,5.6,1.3
BAPMAJ,1.049,0.498,799.8,0.43,4.03,5.99,1.486,1D,1,0.4,600,0.4,4,5.6,1.4
BAPMOX,2.008,0.336,75.14,0.164,2.43,4.86,2.000,2D,2,0.3,50,0.1,2.2,4.8,2
BAPSUH01,0.798,0.604,1528.11,0.626,4.04,7.62,1.886,1D,0.6,0.6,1500,0.6,4,7,1.8
BAPTUK,1.232,0.328,533.56,0.233,4.98,5.81,1.167,1D,1.2,0.3,500,0.2,4.5,5.6,1.1
BAQCEB,1.205,0.395,22.99,0.281,2.73,4.28,1.568,1D,1.2,0.3,0,0.2,2.6,4.2,1.5
BAQCIF,0.975,0.386,58.9,0.355,3.02,4.41,1.460,2D,0.8,0.3,50,0.3,3,4.4,1.4
