,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
3002,SIZGEO,2008,1.806,0.359166,40.88,0,0.202,0,2.8,4.57,1.632142857,1D,[1.8 - 2.0),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIZGEO
3003,SIZGIS,2008,1.287,0.499981,119.22,0,0.35,0,3.06,4.62,1.509803922,1D,[1.2 - 1.3),[0.4 - 0.5),[100 - 150),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[3.0-3.3),[4.6-4.8),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIZGIS
3004,SIZJUH,2008,1.483,0.465592,868.55,853.43,0.357,0.348,5.86,6.7,1.14334471,1D,[1.4 - 1.5),[0.4 - 0.5),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[5.0-6.0),[6.5-7.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIZJUH
3005,SIZKAO,2008,1.92,0.285818,129.48,58.21,0.154,0.06,3.41,4.68,1.372434018,1D,[1.8 - 2.0),[0.2 - 0.3),[100 - 150),[50-100),[0.1 - 0.2),[0.01-0.1),[3.3-3.6),[4.6-4.8),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIZKAO
3006,SOBYUE,2008,1.337,0.154635,62.22,0,0.095,0,1.33,5.32,4,3D,[1.3 - 1.4),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[5.3-5.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOBYUE
3007,SOBZAL,2008,1.428,0.148413,49.88,0,0.087,0,1.32,5.29,4.007575758,3D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOBZAL
3008,SOBZEP,2008,1.176,0.172842,101.57,0,0.116,0,1.39,5.55,3.992805755,2D,[1.1 - 1.2),[0.1 - 0.2),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[5.3-5.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOBZEP
3009,SOBZIT,2008,1.181,0.167217,55.2,0,0.107,0,1.27,5.09,4.007874016,1D,[1.1 - 1.2),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOBZIT
3010,SOCFUM,2008,1.219,0.190931,10.53,0,0.123,0,3.1,4.26,1.374193548,1D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.2-4.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOCFUM
3011,SOCGAT,2008,1.281,0.125331,14.7,0,0.079,0,2.54,4.33,1.704724409,1D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.3-4.4),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOCGAT
