,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
10891,TEBMAR,2017,2.003,0.129508,90.27,87.51,0.05,0.05,4.22,5.79,1.372037915,1D,[2.0 - 7.0],[0.1 - 0.2),[50 - 100),[50-100),[0.0 - 0.1),[0.01-0.1),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEBMAR
10892,TEBMEV,2017,2.012,0.128149,90.79,89.93,0.049,0.047,4.22,5.79,1.372037915,1D,[2.0 - 7.0],[0.1 - 0.2),[50 - 100),[50-100),[0.0 - 0.1),[0.01-0.1),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEBMEV
10893,TEGRAB,2017,1.166,0.510762,829.17,817.23,0.371,0.369,4.59,5.96,1.298474946,1D,[1.1 - 1.2),[0.5 - 0.6),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEGRAB
10894,TEHTEI,2017,1.371,0.228336,14.08,0,0.136,0,2.88,4.21,1.461805556,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEHTEI
10895,TEJTAG,2017,1.407,0.180823,25.32,0,0.09,0,1.12,4.49,4.008928571,3D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.4-4.5),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEJTAG
10896,TEKTAH,2017,0.87,0.433131,223.94,0,0.47,0,3.21,4.69,1.46105919,1D,[0.8 - 1.0),[0.4 - 0.5),[200 - 300),[0.0-0.05),[0.4 - 0.5),[0.0-0.01),[3.0-3.3),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEKTAH
10897,TEKWUE,2017,1.063,0.783508,2360.28,2375.84,0.787,0.774,11.03,11.41,1.034451496,1D,[1.0 - 1.1),[0.7 - 0.8),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEKWUE
10898,TEKXAL,2017,1.244,0.263923,62.78,65.32,0.156,0.157,3.76,4.54,1.207446809,1D,[1.2 - 1.3),[0.2 - 0.3),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.6-3.8),[4.5-4.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEKXAL
10899,TEKXEP,2017,1.328,0.268114,74.4,77.25,0.152,0.151,3.84,4.74,1.234375,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.8-4.0),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEKXEP
10900,TEKXIT,2017,1.442,0.259775,52.27,52.93,0.135,0.138,3.73,4.61,1.235924933,1D,[1.4 - 1.5),[0.2 - 0.3),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEKXIT
10901,TELTOW,2017,1.453,0.225327,32.65,0,0.113,0,2.64,4.31,1.632575758,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.3-4.4),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TELTOW
10902,TELTUC,2017,1.338,0.310633,82.92,85.96,0.163,0.161,3.5,4.43,1.265714286,2D,[1.3 - 1.4),[0.3 - 0.4),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.4-4.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TELTUC
10903,TELXUG,2017,1.227,0.272331,173.01,167.21,0.171,0.168,3.47,5.07,1.461095101,1D,[1.2 - 1.3),[0.2 - 0.3),[150 - 200),[100-200),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[5.0-5.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TELXUG
10904,TEMSEM,2017,1.523,0.148803,0.18,0.35,0.067,0.031,3.39,4.09,1.206489676,1D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[3.3-3.6),[4.0-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEMSEM
10905,TENLAC,2017,1.164,0.350532,190.69,148.71,0.263,0.221,3.15,4.76,1.511111111,1D,[1.1 - 1.2),[0.3 - 0.4),[150 - 200),[100-200),[0.2 - 0.3),[0.2-0.3),[3.0-3.3),[4.6-4.8),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TENLAC
10906,TEPREO,2017,1.067,0.346979,548.53,539.4,0.252,0.257,3.79,6.46,1.704485488,1D,[1.0 - 1.1),[0.3 - 0.4),[500 - 600),[500-600),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[6.0-6.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEPREO
10907,TERSUH,2017,1.284,0.278332,132.3,0,0.168,0,3.03,4.75,1.567656766,1D,[1.2 - 1.3),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.6-4.8),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TERSUH
10908,TERTAO,2017,1.299,0.273586,120.18,0,0.159,0,2.87,4.68,1.630662021,1D,[1.2 - 1.3),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TERTAO
10909,TETPOA,2017,1.265,0.209357,19.29,0,0.097,0,1.55,4.39,2.832258065,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TETPOA
10910,TETPUG,2017,1.137,0.247366,29.32,0,0.151,0,3.01,4.4,1.46179402,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.4-4.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TETPUG
10911,TETZUQ,2017,1.242,0.341231,259.14,259.2,0.214,0.214,3.66,5.97,1.631147541,1D,[1.2 - 1.3),[0.3 - 0.4),[200 - 300),[200-300),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TETZUQ
10912,UCUJIO,2017,1.725,0.325596,395.73,378.91,0.153,0.15,6.63,7.91,1.19306184,1D,[1.6 - 1.8),[0.3 - 0.4),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UCUJIO
10913,UDAFOX,2017,0.951,0.513365,605.03,585.75,0.398,0.399,4.24,5.73,1.351415094,2D,[0.8 - 1.0),[0.5 - 0.6),[600 - 800),[500-600),[0.3 - 0.4),[0.3-0.4),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UDAFOX
10914,UDEGIW,2017,1.26,0.442329,179.11,0,0.239,0,2.08,4.8,2.307692308,2D,[1.2 - 1.3),[0.4 - 0.5),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[4.8-5.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UDEGIW
10915,VAMPOR,2017,1.172,0.705221,1202.05,1214.37,0.524,0.521,10.77,11.6,1.077065924,1D,[1.1 - 1.2),[0.7 - 0.8),[1000 - 1250),[1000-1500),[0.5 - 0.6),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAMPOR
10916,VAMQAE,2017,1.591,0.1362,190.39,191.57,0.096,0.099,5.17,5.85,1.131528046,1D,[1.5 - 1.6),[0.1 - 0.2),[150 - 200),[100-200),[0.0 - 0.1),[0.01-0.1),[5.0-6.0),[5.6-6.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAMQAE
10917,VAMQOS,2017,1.265,0.386768,744.44,691.26,0.317,0.305,6.29,8.27,1.314785374,1D,[1.2 - 1.3),[0.3 - 0.4),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAMQOS
10918,VAMQUY,2017,1.387,0.410595,672.56,609.13,0.287,0.272,5.86,7.92,1.351535836,1D,[1.3 - 1.4),[0.4 - 0.5),[600 - 800),[600-800),[0.2 - 0.3),[0.2-0.3),[5.0-6.0),[7.0-8.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAMQUY
10919,VANGOJ,2017,1.067,0.469495,673.13,638.85,0.345,0.325,5.16,6.61,1.281007752,2D,[1.0 - 1.1),[0.4 - 0.5),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VANGOJ
10920,VANGUP,2017,1.175,0.378891,322.08,329.41,0.235,0.215,3.03,6.06,2,1D,[1.1 - 1.2),[0.3 - 0.4),[300 - 400),[300-400),[0.2 - 0.3),[0.2-0.3),[3.0-3.3),[6.0-6.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VANGUP
10921,VANHAW,2017,1.335,0.224631,222.1,0,0.125,0,1.65,5.91,3.581818182,1D,[1.3 - 1.4),[0.2 - 0.3),[200 - 300),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[5.6-6.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VANHAW
10922,VAPROW,2017,1.14,0.417276,760.35,736.57,0.31,0.303,4.08,5.68,1.392156863,3D,[1.1 - 1.2),[0.4 - 0.5),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAPROW
10923,VAPYAP,2017,1.519,0.143947,40.93,0,0.063,0,1.2,4.81,4.008333333,2D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAPYAP
10924,VAQSEO,2017,1.466,0.19043,193.61,184.99,0.099,0.097,4.25,5.38,1.265882353,2D,[1.4 - 1.5),[0.1 - 0.2),[150 - 200),[100-200),[0.0 - 0.1),[0.01-0.1),[4.0-4.5),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAQSEO
10925,VAQSOY,2017,1.122,0.430837,382.11,225.62,0.297,0.152,3.28,8.1,2.469512195,2D,[1.1 - 1.2),[0.4 - 0.5),[300 - 400),[200-300),[0.2 - 0.3),[0.1-0.2),[3.0-3.3),[8.0-10.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAQSOY
10926,VAQTUF,2017,0.858,0.591111,1138.3,1146.4,0.563,0.543,6.44,9.92,1.540372671,1D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.5 - 0.6),[0.5-0.6),[6.0-8.0),[8.0-10.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAQTUF
10927,VAQXUJ,2017,1.323,0.265084,98.07,0,0.142,0,0.81,4.56,5.62962963,NON-POROUS,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),0.81,[4.5-4.6),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAQXUJ
10928,VARFEC,2017,1.259,0.186082,25.47,0,0.087,0,1.89,4.37,2.312169312,1D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VARFEC
10929,VARLAE,2017,0.788,0.62139,1602.57,1625.01,0.714,0.666,12.13,12.48,1.028854081,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VARLAE
10930,VARVIW,2017,1.134,0.224437,124.62,0,0.134,0,1.8,5.1,2.833333333,1D,[1.1 - 1.2),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VARVIW
10931,VARVOC,2017,1.155,0.2756,47.68,0,0.157,0,1.92,4.43,2.307291667,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.4-4.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VARVOC
10932,VASFAZ,2017,1.672,0.323633,302.97,274.34,0.176,0.168,3.9,5.36,1.374358974,1D,[1.6 - 1.8),[0.3 - 0.4),[300 - 400),[200-300),[0.1 - 0.2),[0.1-0.2),[3.8-4.0),[5.3-5.6),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASFAZ
10933,VASFED,2017,1.688,0.324758,307.34,283.17,0.173,0.166,4.04,5.39,1.334158416,1D,[1.6 - 1.8),[0.3 - 0.4),[300 - 400),[200-300),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[5.3-5.6),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASFED
10934,VASFON,2017,1.715,0.325773,297.09,276.46,0.171,0.164,3.95,5.42,1.372151899,1D,[1.6 - 1.8),[0.3 - 0.4),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[3.8-4.0),[5.3-5.6),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASFON
10935,VASGII,2017,1.08,0.575529,1182.07,1174.7,0.432,0.427,5.72,8.28,1.447552448,2D,[1.0 - 1.1),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[5.0-6.0),[8.0-10.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASGII
10936,VASNIP,2017,1.068,0.408111,870.01,881.15,0.313,0.314,6.94,7.7,1.109510086,1D,[1.0 - 1.1),[0.4 - 0.5),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASNIP
10937,VASYAS,2017,1.34,0.399848,380.15,0,0.224,0,1.93,5.47,2.834196891,2D,[1.3 - 1.4),[0.3 - 0.4),[300 - 400),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[5.3-5.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASYAS
10938,VASYEW,2017,1.227,0.388097,343.01,0,0.234,0,1.62,5.29,3.265432099,3D,[1.2 - 1.3),[0.3 - 0.4),[300 - 400),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASYEW
10939,VATVUK,2017,1.355,0.24509,23.78,0,0.141,0,3.05,4.46,1.462295082,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.4-4.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VATVUK
10940,VATXIA,2017,1.424,0.523767,694.94,685.77,0.338,0.336,4.02,5.68,1.412935323,1D,[1.4 - 1.5),[0.5 - 0.6),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[4.0-4.5),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VATXIA
10941,VAVCED,2017,0.979,0.485805,727.42,566.76,0.378,0.245,4.15,5.87,1.414457831,1D,[0.8 - 1.0),[0.4 - 0.5),[600 - 800),[500-600),[0.3 - 0.4),[0.2-0.3),[4.0-4.5),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAVCED
10942,VAXMUF,2017,1.955,0.093132,19.7,0,0.035,0,1.14,4.57,4.00877193,1D,[1.8 - 2.0),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.5-4.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAXMUF
10943,VAZHIQ,2017,1.357,0.170757,52.83,0,0.072,0,1.15,4.6,4,2D,[1.3 - 1.4),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.6-4.8),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAZHIQ
10944,VAZHOW,2017,1.023,0.496953,918.22,943.94,0.363,0.355,4.85,6.38,1.315463918,2D,[1.0 - 1.1),[0.4 - 0.5),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[4.5-5.0),[6.0-6.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAZHOW
10945,VECRON,2017,1.295,0.233711,78.44,40.52,0.116,0.06,3.02,4.74,1.569536424,1D,[1.2 - 1.3),[0.2 - 0.3),[50 - 100),[0.05-50),[0.1 - 0.2),[0.01-0.1),[3.0-3.3),[4.6-4.8),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VECRON
10946,VEHKAX,2017,1.447,0.176275,28.64,0,0.083,0,1.12,4.47,3.991071429,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VEHKAX
10947,VEJKED,2017,1.171,0.248923,31.3,24.62,0.147,0.128,3.43,4.33,1.262390671,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.05-50),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.3-4.4),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VEJKED
10948,VEKMUW,2017,1.437,0.228511,0.23,0,0.114,0,1.02,4.07,3.990196078,3D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VEKMUW
10949,WAPPAH,2017,1.385,0.19423,8.99,0,0.095,0,1.07,4.28,4,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.2-4.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAPPAH
10950,WAPXOD,2017,1.306,0.250026,36.99,0,0.132,0,2.73,4.45,1.63003663,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.4-4.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAPXOD
10951,WAQMEJ,2017,1.131,0.498766,306.88,286.04,0.421,0.374,3.47,4.91,1.414985591,2D,[1.1 - 1.2),[0.4 - 0.5),[300 - 400),[200-300),[0.4 - 0.5),[0.3-0.4),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAQMEJ
10952,WARFED,2017,1.486,0.130117,5.06,0,0.051,0,1.5,4.25,2.833333333,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WARFED
10953,WARFIH,2017,1.481,0.177644,0.58,0,0.08,0,2.82,4.12,1.460992908,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WARFIH
10954,WATNUD,2017,1.166,0.38948,89.6,0,0.254,0,3,4.53,1.51,2D,[1.1 - 1.2),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WATNUD
10955,WAVCII,2017,0.982,0.336479,528.98,0,0.277,0,2.12,5.99,2.825471698,1D,[0.8 - 1.0),[0.3 - 0.4),[500 - 600),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[5.6-6.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAVCII
10956,WAVCUU,2017,1.106,0.521608,808.86,796.59,0.427,0.421,3.67,6.93,1.888283379,1D,[1.1 - 1.2),[0.5 - 0.6),[800 - 1000),[600-800),[0.4 - 0.5),[0.4-0.5),[3.6-3.8),[6.5-7.0),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAVCUU
10957,WAWWAV,2017,1.467,0.300914,317.27,314.48,0.185,0.184,4.29,5.3,1.235431235,1D,[1.4 - 1.5),[0.3 - 0.4),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAWWAV
10958,WAXWUQ,2017,1.519,0.367272,46.8,5,0.233,0.031,3.27,4.63,1.415902141,2D,[1.5 - 1.6),[0.3 - 0.4),[0 - 50),[0.05-50),[0.2 - 0.3),[0.01-0.1),[3.0-3.3),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAXWUQ
10959,WAXXAX,2017,1.517,0.359103,17.75,8.71,0.229,0.136,3.22,4.18,1.298136646,2D,[1.5 - 1.6),[0.3 - 0.4),[0 - 50),[0.05-50),[0.2 - 0.3),[0.1-0.2),[3.0-3.3),[4.0-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAXXAX
10960,WAYTIC,2017,0.626,0.716658,2977.02,2893.95,0.999,0.98,4.91,6.55,1.33401222,2D,[0.6 - 0.8),[0.7 - 0.8),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[4.5-5.0),[6.5-7.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAYTIC
10961,WAYWUR,2017,1.328,0.27423,70.41,0,0.158,0,2.19,4.37,1.99543379,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAYWUR
10962,WAZXED,2017,1.199,0.436996,989.01,984.79,0.407,0.402,4.47,5.28,1.181208054,2D,[1.1 - 1.2),[0.4 - 0.5),[800 - 1000),[800-1000),[0.4 - 0.5),[0.4-0.5),[4.0-4.5),[5.0-5.3),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAZXED
10963,WECDAM,2017,4.271,0.140907,8.29,0,0.036,0,1.09,4.36,4,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WECDAM
10964,WECNEA,2017,0.544,0.748201,3685.65,3710.67,1.303,1.309,8.45,10.37,1.227218935,1D,[0.0 - 0.6),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WECNEA
10965,WECPEC,2017,1.318,0.258307,3.75,0,0.123,0,2.29,4.09,1.786026201,2D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WECPEC
10966,WECQAZ,2017,1.476,0.253091,52.1,0,0.143,0,2.74,4.68,1.708029197,1D,[1.4 - 1.5),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WECQAZ
10967,WECYEL,2017,1.212,0.347698,267.47,0,0.217,0,1.87,5.28,2.823529412,1D,[1.2 - 1.3),[0.3 - 0.4),[200 - 300),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WECYEL
10968,WEDKOI,2017,0.816,0.55975,1783.81,1768.85,0.629,0.612,7.58,8.94,1.179419525,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEDKOI
