DDEC Code,Ref. code,Code,Uptake @ 1bar (mol/kg),Uptake @ 1bar (cm³(STP)/cm³),Uptake @ 5bar (mol/kg),Uptake @ 5bar (cm³(STP)/cm³),Uptake @ 10bar (mol/kg),Uptake @ 10bar (cm³(STP)/cm³),Uptake @ 20bar (mol/kg),Uptake @ 20bar (cm³(STP)/cm³),Uptake @ 30bar (mol/kg),Uptake @ 30bar (cm³(STP)/cm³),Uptake @ 50bar (mol/kg),Uptake @ 50bar (cm³(STP)/cm³),Uptake @ 80bar (mol/kg),Uptake @ 80bar (cm³(STP)/cm³),Uptake @ 100bar (mol/kg),Uptake @ 100bar (cm³(STP)/cm³),Uptake @ 140bar (mol/kg),Uptake @ 140bar (cm³(STP)/cm³),Uptake @ 200bar (mol/kg),Uptake @ 200bar (cm³(STP)/cm³),QST @ 5bar (kJ/mol),QST @ 140bar (kJ/mol),Deliverable @ 30bar (mol/kg),Deliverable @ 30bar (cm³(STP)/cm³),Deliverable @ 80bar (mol/kg),Deliverable @ 80bar (cm³(STP)/cm³),Deliverable @140bar (mol/kg),Deliverable @ 140bar (cm³(STP)/cm³),Deliverable @ 200bar (mol/kg),Deliverable @ 200bar (cm³(STP)/cm³),Density (g/cm³),PLD (Å),LCD (Å),VSA (m²/cm³),GSA (m²/g),VF
TIQGEG,TIQGEG,core-mof-ddec-2328,0.102128973,4.971854351,0.423011401,20.5930895,0.710307754,34.57928348,1.083711433,52.75736423,1.30045039,63.30867498,1.522511397,74.11907437,1.68595771,82.07598652,1.769079362,86.12252428,1.877101991,91.38129432,1.963037281,95.56480595,18.7751,17.7943,0.877438989,42.71558548,1.262946309,61.48289702,1.45409059,70.78820482,1.540025881,74.97171646,2.17194,3.1,4.0,0,0,0.2
TIQGIK,TIQGIK,core-mof-ddec-2329,0.00045649,0.025030548,0.002630004,0.144210087,0.005597189,0.306908646,0.010188024,0.558636312,0.016324701,0.895126514,0.02666316,1.462011529,0.040243734,2.206670319,0.049051914,2.689646112,0.063576592,3.486072626,0.086126155,4.722524788,14.11515,14.15914,0.013694697,0.750916427,0.03761373,2.062460232,0.060946588,3.341862539,0.083496151,4.578314702,2.44635,2.6,3.1,0,0,0.05
CAVSUP,CAVSUP,core-mof-ddec-233,0.13667784,4.222541593,0.610460072,18.85962679,1.029980845,31.82035197,1.681151524,51.93769714,2.126505164,65.69650599,2.746253457,84.84308422,3.255737291,100.583139,3.547155244,109.5862402,3.883513261,119.9777252,4.25461918,131.4427161,13.60616,15.76735,1.516045092,46.8368792,2.645277219,81.72351221,3.273053189,101.1180984,3.644159108,112.5830893,1.37834,5.5,6.0,872.261,632.834,0.29
TIQHIL,TIQHIL,core-mof-ddec-2330,0.165671226,5.97767606,0.643235425,23.20893669,0.999185391,36.05216625,1.440967029,51.99233629,1.736294539,62.64821315,2.095643081,75.61406862,2.40770619,86.87379197,2.580726473,93.11663345,2.772922358,100.0513605,3.010681565,108.6300833,19.02831,19.98286,1.093059114,39.43927646,1.764470765,63.66485528,2.129686933,76.84242381,2.36744614,85.42114661,1.6098,3.4,5.0,0,0,0.18
TIRLIQ,TIRLIQ,core-mof-ddec-2331,0.372345336,11.22580185,1.295128973,39.04671236,1.860014293,56.07738272,2.416204831,72.84591496,2.725472396,82.1699915,3.064421303,92.38892779,3.326106215,100.2784397,3.444186973,103.8384446,3.601805129,108.5904584,3.756421689,113.2519774,18.58609,18.64243,1.430343423,43.12327914,2.030977242,61.23172734,2.306676156,69.54374604,2.461292716,74.20526506,1.34501,4.0,5.2,562.875,418.49,0.28
TIRRIW,TIRRIW,core-mof-ddec-2332,0.826394171,19.83695476,2.747916336,65.96161244,3.96705981,95.22621131,5.104768073,122.5360208,5.773689991,138.5929755,6.437545936,154.5283255,7.104545869,170.5391445,7.412810886,177.9388085,7.760286767,186.279699,8.159786744,195.8693879,17.87596,18.94409,3.025773655,72.63136306,4.356629533,104.5775321,5.012370431,120.3180866,5.411870408,129.9077755,1.07096,5.0,6.1,1182.9,1104.52,0.46
TISGUY,TISGUY,core-mof-ddec-2333,0.106180526,2.983422084,0.490961248,13.79485194,0.855293038,24.0317151,1.399828287,39.33186998,1.800121612,50.57916735,2.282408555,64.13029181,2.736715643,76.8952484,2.95617885,83.06164637,3.316486819,93.18544964,3.571746649,100.3576482,15.55842,17.16271,1.309160364,36.78431541,2.245754395,63.10039646,2.825525571,79.3905977,3.080785402,86.56279629,1.25359,3.5,5.9,0,0,0.2
TISKOW,TISKOW,core-mof-ddec-2334,0.238396768,8.32689049,0.870630397,30.40999266,1.335613056,46.65123498,1.891094276,66.0534749,2.217818519,77.46552973,2.607642527,91.08157767,2.980833729,104.1166633,3.127654524,109.2449235,3.371495273,117.7619652,3.570576659,124.7156203,16.8144,18.53267,1.347188122,47.05553707,2.110203332,73.70667064,2.500864876,87.35197254,2.699946262,94.30562765,1.5582,3.0,6.2,0,0,0.28
TISLIR,TISLIR,core-mof-ddec-2335,0.06613351,3.055701719,0.287099062,13.2654247,0.475080805,21.95112936,0.752320066,34.76098156,0.922479156,42.62318977,1.154476577,53.34264072,1.322590858,61.11036846,1.387783107,64.12257917,1.478039588,68.29288383,1.56800756,72.44985792,18.50043,18.73503,0.635380094,29.35776507,1.035491796,47.84494376,1.190940526,55.02745913,1.280908499,59.18443322,2.06145,3.4,3.9,0,0,0.12
TIVFAG,TIVFAG,core-mof-ddec-2336,0.000953581,0.051559143,0.00493893,0.267042735,0.009364791,0.506344408,0.017755271,0.960008823,0.026586264,1.43749132,0.038412747,2.076936776,0.062749803,3.39281577,0.076866953,4.156115255,0.104562274,5.653572099,0.138492152,7.488124862,15.00329,14.77132,0.021647334,1.170448586,0.057810873,3.125773036,0.099623344,5.386529365,0.133553222,7.221082127,2.41228,2.7,3.2,0,0,0.05
