Refcode,Year,Density (g/cm3),Helium void fraction (-),Surface area (m2/g,Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD,Porosity
AGENPC11,2004,1.584,0.330794,2.05,0.176,2.17,4.1,1.88940092165899,3D
AGEQEK,2013,0.771,0.646152,2193.74,0.754,5.33,6.92,1.29831144465291,1D
AGETUE,2018,1.101,0.582348,954.38,0.548,4.44,5.76,1.2972972972973,1D
AGILEH,2003,0.372,0.772403,6228.73,1.911,8.57,9.16,1.06884480746791,1D
AGIMIN,2009,1.054,0.238297,56.04,0.168,1.53,4.32,2.82352941176471,2D
AGIMIO,2013,1.629,0.232684,18.72,0.112,1.09,4.38,4.01834862385321,2D
AGOHOV,2013,1.355,0.314914,119.02,0.176,3.2,4.52,1.4125,1D
AGONAM,2009,1.437,0.455787,597.99,0.266,4.68,5.52,1.17948717948718,1D
AGONEQ,2009,1.082,0.651371,1562.22,0.537,5.59,6.09,1.08944543828265,1D
AGOPER,2003,0.884,0.454517,278.32,0.351,2.88,5.43,1.88541666666667,1D
AGOPUI,2009,1.942,0.165371,76.6,0.078,4.11,4.96,1.20681265206813,1D
AGOVID,2013,0.642,0.817292,2868.49,1.098,8.2,12.34,1.50487804878049,3D
AGOWAW,2013,0.746,0.769381,2111.6,0.876,7.99,13.05,1.63329161451815,2D
AGOWEA,2013,1.19,0.64876,825.05,0.418,4.3,8.22,1.91162790697674,3D
AGOWIE,2013,1.257,0.270198,9.16,0.134,2.23,4.21,1.88789237668161,1D
AGOWIF,2018,0.725,0.542414,2050.61,0.706,7.15,8.35,1.16783216783217,2D
AGOXAV,2003,1.08,0.201003,106.65,0.129,1.23,4.91,3.99186991869919,3D
AGOXOK,2009,2.032,0.181726,15.93,0.08,1.33,4.34,3.26315789473684,2D
AGOZED,2013,1.643,0.206258,69.17,0.087,2.05,4.74,2.31219512195122,1D
AGUDUB,2003,1.208,0.077268,27.44,0.046,1.16,4.62,3.98275862068966,2D
AGUPIC,2010,1.468,0.100787,5.58,0.05,1.08,4.32,4,3D
AGUTEC,2010,1.008,0.41775,306.07,0.38,3.33,5.44,1.63363363363363,1D
AGUVII,2010,1.032,0.388804,189.63,0.333,2.61,4.92,1.88505747126437,1D
AHAFEV,2010,1.235,0.272691,266.66,0.163,1.91,5.77,3.02094240837696,1D
AHAMAY,2010,2.336,0.200616,12.87,0.066,3.38,4.28,1.26627218934911,1D
AHAYUF,2015,1.224,0.359736,605.18,0.249,4.4,6.03,1.37045454545455,3D
AHEHAY,2015,1.625,0.408887,161.71,0.232,3.43,4.7,1.37026239067055,2D
AHEHEC,2015,1.641,0.408007,160.24,0.226,3.45,4.74,1.37391304347826,1D
AHEKED,2003,1.708,0.424047,36.72,0.209,3.34,4.22,1.26347305389222,1D
AHENOS,2015,1.353,0.15059,56.12,0.073,1.74,4.93,2.83333333333333,1D
AHINIP,2010,1.255,0.192738,49.01,0.092,2.1,4.85,2.30952380952381,1D
AHIPEN,2010,1.431,0.351187,569.64,0.231,5.92,9.11,1.53885135135135,1D
AHOBEG,2015,1.421,0.232919,25.36,0.117,1.88,4.33,2.3031914893617,1D
AHOLAK01,2016,0.834,0.583174,1362.39,0.64,3.58,6.24,1.74301675977654,2D
AHOMOB01,2019,1.268,0.386454,171.92,0.244,3.52,4.83,1.37215909090909,1D
AHORUL,2010,1.596,0.116197,112.69,0.054,6.53,6.74,1.03215926493109,1D
AHOSEV,2003,0.94,0.58808,1793.47,0.589,6.36,7.05,1.10849056603774,1D
AHOSUL,2003,0.962,0.58027,1698.85,0.573,6.01,7.17,1.19301164725458,2D
AHOZIG,2003,1.317,0.234516,95.59,0.134,1.49,4.88,3.2751677852349,1D
AHOZII,2015,0.951,0.530862,943.13,0.483,5.85,6.89,1.17777777777778,1D
AHUNEW,2003,1.347,0.206281,10.77,0.097,2.08,4.44,2.13461538461538,1D
AHUPEA,2015,1.266,0.173767,8.6,0.082,1.84,4.24,2.30434782608696,3D
AHUPIE,2015,1.2,0.229512,3.18,0.129,2.59,4.07,1.57142857142857,3D
AHUWIK,2010,1.577,0.08319,7.58,0.038,0.75,4.27,5.69333333333333,NON-POROUS
AJABIX01,2010,1.171,0.332491,460.63,0.244,1.5,6.93,4.62,1D
AJABIX,2010,1.188,0.320254,420.43,0.233,1.18,6.65,5.63559322033898,1D
AJABOD,2010,1.183,0.322551,432.49,0.235,1.46,6.72,4.6027397260274,1D
AJABUJ01,2010,1.142,0.189402,12.34,0.11,2.1,4.21,2.0047619047619,1D
AJABUJ,2010,1.097,0.234969,85.12,0.155,1.9,4.8,2.52631578947368,1D
AJAGOI,2010,2.126,0.320219,326.16,0.133,6.25,6.93,1.1088,1D
AJAHEZ,2010,2.47,0.250642,26.71,0.082,1.75,4.42,2.52571428571429,1D
AJAXAM,2015,0.86,0.44962,459.76,0.452,2.75,4.92,1.78909090909091,1D
AJECUO,2010,1.613,0.21523,51.29,0.106,2.6,4.43,1.70384615384615,1D
AJEKIL,2015,1.37,0.156914,34.94,0.07,0.82,4.64,5.65853658536585,NON-POROUS
AJESUD,2003,1.243,0.377964,253.65,0.235,2.12,4.89,2.30660377358491,1D
AJIHOQ,2003,1.301,0.463176,595.35,0.294,6.39,7.09,1.10954616588419,1D
AJIJIN,2010,0.826,0.515227,1592.05,0.674,4.48,5.18,1.15625,2D
AJIMEN,2015,1.427,0.417451,159.13,0.245,3.16,4.77,1.50949367088608,2D
AJIROB,2010,1.364,0.226644,15.48,0.114,1.99,4.25,2.1356783919598,1D
AJODOT,2010,1.441,0.240269,285.85,0.128,4.98,5.75,1.15461847389558,1D
AJOHOY,2015,1.235,0.250472,302.48,0.156,2.77,6.67,2.40794223826715,1D
AJOTOK,2016,1.375,0.509017,386.15,0.339,3.59,4.79,1.33426183844011,1D
AJOVEB,2011,2.006,0.146809,24.19,0.061,4.04,4.99,1.23514851485149,1D
AJUFUI,2016,1.363,0.268626,136.42,0.156,1.67,4.73,2.83233532934132,1D
AJUNOK,2016,1.437,0.280048,90.08,0.142,2.68,4.8,1.7910447761194,1D
AKAXIU,2011,1.341,0.476471,739.35,0.304,8.94,9.43,1.05480984340045,1D
AKAXOA,2011,1.32,0.485735,757.42,0.318,9.43,9.99,1.0593849416755,1D
AKAXUG,2011,1.356,0.471226,730.41,0.299,8.68,9.32,1.07373271889401,1D
AKAYAN,2011,1.42,0.438526,687.72,0.265,7.31,7.88,1.07797537619699,1D
AKAYER,2011,1.312,0.478837,766.97,0.315,8.88,9.37,1.05518018018018,1D
AKEBAV,2016,1.264,0.25591,61.21,0.159,1.15,4.59,3.99130434782609,3D
AKECEA,2016,1.322,0.348879,77.7,0.215,3.31,4.41,1.33232628398792,1D
AKECIE,2016,1.23,0.400607,353.28,0.258,3.21,5.25,1.63551401869159,2D
AKEDAX,2016,1.007,0.380572,23.06,0.289,3,4.39,1.46333333333333,2D
AKICUT01,2011,0.927,0.510926,1710.11,0.535,6.45,7.37,1.14263565891473,1D
AKIMIS,2016,0.804,0.604676,1806.46,0.671,7.12,7.97,1.11938202247191,1D
AKINAK,2011,2.367,0.166755,11.16,0.059,1.77,4.48,2.53107344632768,1D
AKIQUG,2003,0.816,0.558306,1554.1,0.667,9.8,10.08,1.02857142857143,1D
AKITUL,2016,1.056,0.466235,205.14,0.354,3.61,4.56,1.26315789473684,1D
AKIYOI,2003,0.963,0.620615,2077.39,0.626,4.95,5.84,1.17979797979798,2D
AKIYOK,2016,1.216,0.220178,33.36,0.111,2.73,4.45,1.63003663003663,1D
AKIYUQ,2016,1.303,0.214015,39.05,0.111,2.92,4.41,1.51027397260274,1D
AKIZEZ,2003,0.841,0.645834,1574.57,0.746,4.47,5.65,1.26398210290828,1D
