Refcode,Year,Density (g/cm3),Helium void fraction (-),Surface area (m2/g,Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD,Porosity
TABQAR,2016,0.909,0.564864,1167.61,0.459,5.03,6.29,1.25049701789264,1D
TACHUD,2016,1.176,0.472214,617.57,0.368,3.28,5.36,1.63414634146341,3D
TACJAL,2016,1.166,0.478719,720.27,0.377,3.33,5.44,1.63363363363363,3D
TACJEO,2011,0.81,0.605349,1579.26,0.654,4.25,6.55,1.54117647058824,1D
TACJEP,2016,1.18,0.471968,625.05,0.367,3.27,5.35,1.63608562691131,3D
TACJIT,2016,1.062,0.513741,1008.75,0.459,3.61,6.16,1.70637119113573,3D
TACJOZ,2016,1.403,0.462969,394.4,0.309,3.32,5.43,1.6355421686747,3D
TACJUF,2016,1.392,0.46957,436.97,0.31,3.54,5.56,1.57062146892655,2D
TACKAM,2016,1.351,0.483871,546.77,0.329,3.71,5.61,1.51212938005391,2D
TACKEQ,2016,1.347,0.489052,557.82,0.336,3.68,5.56,1.51086956521739,2D
TACWIG,2016,1.321,0.252745,72.41,0.138,3.08,4.5,1.46103896103896,1D
TACWOM,2016,1.064,0.384202,200.69,0.277,3.38,5.1,1.50887573964497,2D
TACWUS,2016,1.027,0.363579,198.31,0.276,3.22,5.06,1.57142857142857,2D
TACYIH,2011,1.476,0.251265,8.99,0.109,1.95,4.16,2.13333333333333,1D
TACYON,2011,1.428,0.283198,49.76,0.137,2.36,4.45,1.88559322033898,1D
TADGIQ,2011,1.175,0.384022,2.8,0.266,2.85,4.16,1.45964912280702,2D
TADJEQ,2016,0.985,0.450965,62.33,0.385,3.64,4.29,1.17857142857143,1D
TAFBIN,2011,1.667,0.200133,15.16,0.087,2.9,4.39,1.51379310344828,1D
TAFCIO,2011,1.584,0.135235,27.55,0.053,2.82,4.81,1.70567375886525,1D
TAFMOD,2003,0.954,0.318332,94.43,0.217,2.52,4.51,1.78968253968254,3D
TAFPOG,2003,1.622,0.402074,22.26,0.143,2.56,4.36,1.703125,1D
TAFQOH,2003,1.335,0.189983,14.85,0.095,1.89,4.36,2.30687830687831,1D
TAFSIE,2011,3.217,0.153222,28.63,0.045,2.06,4.75,2.30582524271845,2D
TAFWOP,2016,1.663,0.148244,6.89,0.076,1.87,4.32,2.31016042780749,1D
TAFWUV,2016,1.67,0.145604,4.65,0.072,1.71,4.33,2.53216374269006,1D
TAFYAC,2011,1.437,0.469682,978.52,0.301,6.29,7.76,1.23370429252782,2D
TAFYEG,2011,1.499,0.433142,829.22,0.269,5.22,7.76,1.48659003831418,2D
TAGNEW,2011,3.068,0.363393,254.35,0.129,3.36,7.19,2.13988095238095,1D
TAGNUM,2011,1.062,0.385403,416.41,0.283,3.12,6.68,2.14102564102564,1D
TAGPIA,1991,0.871,0.488997,937.32,0.45,4.1,5.79,1.41219512195122,1D
TAGQUQ,2016,1.371,0.413622,454.91,0.252,6.58,7.16,1.08814589665653,1D
TAGSOL01,2012,1.465,0.356191,265.14,0.204,3.55,4.87,1.37183098591549,2D
TAGSOL,2011,1.468,0.3555,256.93,0.205,3.56,4.88,1.37078651685393,1D
TAGVAB,2016,1.105,0.271621,36.81,0.181,2.15,4.97,2.31162790697674,1D
TAHHAM,2003,2.438,0.19309,39.43,0.093,2.99,4.69,1.5685618729097,1D
TAHJES,2003,1.122,0.361071,40.97,0.248,3.15,4.32,1.37142857142857,2D
TAHJIW,2003,1.138,0.364231,45.58,0.24,3.12,4.28,1.37179487179487,1D
TAHQAW,2011,1.411,0.08679,14.87,0.043,1.13,4.52,4,3D
TAJLIB,2011,0.94,0.439209,1180.69,0.474,5.39,6.73,1.24860853432282,1D
TAJNUQ,2016,1.605,0.305102,80.04,0.15,3.04,4.97,1.63486842105263,2D
TAJPIF,2011,1.527,0.302228,6.18,0.18,2.76,4.17,1.51086956521739,1D
TAJPUR,2011,1.706,0.160177,0.65,0.087,2.29,4.1,1.79039301310044,1D
TAJQEC,2011,1.614,0.255979,82.4,0.147,2.27,4.85,2.13656387665198,1D
TAKNIE,2011,1.297,0.365811,251.2,0.204,3.29,4.81,1.46200607902736,1D
TAKTEH,2016,1.235,0.684658,955.05,0.391,6.74,6.96,1.0326409495549,1D
TAKTIL,2016,1.233,0.677471,953.55,0.385,6.74,6.97,1.03412462908012,1D
TAKYIQ,2016,0.604,0.765848,2092.99,1.197,11.88,13,1.09427609427609,1D
TALJAS,2005,0.849,0.651411,1940.39,0.683,7.12,8.4,1.17977528089888,1D
TALQOP,2016,0.545,0.72689,2611.46,1.273,11.47,11.99,1.04533565823888,1D
TALVEJ,2012,1.406,0.195336,17.56,0.09,1.32,4.31,3.26515151515151,2D
TALXIQ,2017,1.253,0.174889,5,0.088,1.97,4.22,2.14213197969543,1D
TALXUB,2012,1.375,0.172788,1,0.091,1.44,4.07,2.82638888888889,1D
TAMVUB,2017,0.56,0.76358,4485.79,1.411,8.57,9.08,1.05950991831972,1D
TAMYUE,2017,1.212,0.399301,167.03,0.338,3.3,4.52,1.36969696969697,1D
TAMZOY,2012,1.456,0.196073,38.93,0.095,1.17,4.67,3.99145299145299,3D
TAMZUE,2012,1.389,0.426597,56.33,0.245,3.41,4.54,1.33137829912023,1D
TANBAN,2012,1.323,0.430195,67.01,0.262,3.29,4.65,1.41337386018237,1D
TANBER,2012,1.347,0.429557,68.24,0.259,3.36,4.61,1.37202380952381,1D
TANBIV,2012,1.365,0.427656,58.74,0.251,3.43,4.58,1.33527696793003,1D
TANCIV,2005,1.574,0.109868,27.11,0.039,0.8,4.52,5.65,NON-POROUS
TANKOK,2012,1.28,0.415256,439.99,0.311,3.77,5.17,1.37135278514589,1D
TANMIH,2017,1.449,0.280274,156.1,0.16,3.34,5.05,1.51197604790419,1D
TANPEF,2012,1.258,0.232196,49.8,0.133,2.45,4.38,1.78775510204082,1D
TANVIO,2005,1.19,0.34424,89.53,0.256,2.21,4.42,2,2D
TANVOW,2017,1.003,0.602904,1138.03,0.522,4.18,5.43,1.29904306220096,2D
TAPGAT,2005,1.322,0.139405,0.2,0.066,1.62,4.09,2.52469135802469,1D
TAPHAV,2012,1.068,0.399603,583.03,0.293,3.86,6.73,1.74352331606218,1D
TAPSUB,2017,0.627,0.722711,2541.83,1,6.2,7.16,1.15483870967742,2D
TAPWIR,2005,0.932,0.356464,81.37,0.371,3.5,4.32,1.23428571428571,1D
TAPXIT,2012,1.577,0.223041,219.59,0.105,5.44,5.92,1.08823529411765,1D
TAPXOZ,2012,1.558,0.19429,178.09,0.095,4.89,5.42,1.10838445807771,1D
TAQJEB,2005,1.357,0.166609,23.45,0.088,1.09,4.36,4,2D
TAQXUF,2005,1.514,0.153906,8.71,0.102,1.8,4.15,2.30555555555556,2D
TARLII,2005,0.703,0.601475,2007.97,0.789,7.64,8.77,1.1479057591623,1D
TARXUG,2005,1.649,0.213995,46.4,0.098,2.44,4.37,1.79098360655738,1D
TASCIB,2012,3.15,0.230718,57.59,0.085,3.21,5.04,1.57009345794393,1D
TASVUG,2012,1.332,0.392199,702.5,0.271,5.13,6.66,1.29824561403509,1D
TASWOB,2012,1.415,0.39329,604.52,0.254,5.04,6.54,1.29761904761905,1D
TASXIW,2012,1.106,0.623885,1199.94,0.472,4.65,7.03,1.51182795698925,1D
TATGUR,2005,1.038,0.547905,1795.63,0.515,4.99,5.95,1.19238476953908,1D
TATHOM,2005,1.346,0.229741,96.02,0.137,2.85,4.65,1.63157894736842,1D
TATNEJ,2012,1.155,0.462457,542.04,0.329,3.7,6.97,1.88378378378378,1D
TATPUC,2017,0.828,0.601173,1220.33,0.598,3.82,7.21,1.88743455497382,3D
TATSIS01,2014,1.499,0.264078,17.17,0.114,1.99,4.26,2.14070351758794,1D
TATSIS,2012,1.485,0.27064,37.13,0.121,1.87,4.32,2.31016042780749,1D
TATSIT,2017,0.645,0.790155,3329.35,1.149,11.01,11.51,1.04541326067212,1D
TATSOZ,2017,0.645,0.790588,3366.19,1.154,10.96,11.49,1.04835766423358,1D
TATXEU,2017,1.167,0.350425,15.19,0.262,3,4.24,1.41333333333333,1D
TATXIY,2017,1.535,0.180227,11.96,0.076,0.75,4.27,5.69333333333333,NON-POROUS
TATYUL,2017,1.351,0.346129,489.31,0.225,4.6,5.31,1.15434782608696,1D
TATZIA,2017,1.174,0.353608,467.92,0.237,3.87,6.07,1.56847545219638,1D
TAXBIE,2006,1.298,0.302196,71.73,0.159,2.5,4.47,1.788,2D
TAXBOK,2006,1.188,0.327522,104.86,0.249,2.83,4.44,1.56890459363958,2D
TAXYAT,2006,1.149,0.288617,178.32,0.188,1.25,5.01,4.008,3D
TAYJAH,2017,1.072,0.404362,255.48,0.3,3.43,4.71,1.3731778425656,1D
TAYJEL,2017,0.85,0.578833,1437.87,0.594,4.21,6.36,1.51068883610451,3D
TAYNEN,2006,1.301,0.271529,135.63,0.171,2.99,4.88,1.63210702341137,2D
TAZSIZ,2017,0.622,0.673709,3015.52,1.035,7.53,8.32,1.10491367861886,1D
TAZVEY,2017,1.376,0.321331,138.19,0.179,4.03,4.47,1.10918114143921,1D
TAZVUO,2017,1.238,0.152556,15.39,0.082,1.09,4.36,4,3D
TAZWEZ,2017,1.562,0.189036,2.16,0.072,2.19,4.13,1.88584474885845,1D
TAZXAW,2017,1.282,0.315417,63.34,0.186,2.44,4.6,1.88524590163934,2D
TAZXUP,2012,0.53,0.674684,3148.3,1.191,7.14,9.52,1.33333333333333,1D
TCPPHG01,1980,0.908,0.601482,1695.89,0.635,7.86,9.71,1.235368956743,1D
TEBCOU,2012,0.753,0.648402,1861.36,0.751,4.94,6.98,1.41295546558704,1D
TEBDOW,2017,0.713,0.714885,3324.57,1.011,6.36,8.09,1.27201257861635,1D
TEBFAK,2017,1.646,0.149505,5.54,0.067,2.92,4.26,1.45890410958904,1D
TEBFEN,2012,1.522,0.259455,1.85,0.089,2.42,4.12,1.70247933884298,1D
TEBFOX,2012,0.35,0.870232,4868.38,2.424,10.85,12.25,1.12903225806452,1D
TEBKAP,2017,2.024,0.128472,89.8,0.049,4.01,5.67,1.4139650872818,1D
TEBKET,2017,2.032,0.129722,90.96,0.048,4.21,5.7,1.35391923990499,1D
TEBKIX,2017,1.945,0.135616,103.25,0.054,4.2,5.76,1.37142857142857,1D
TEBKOD,2017,1.899,0.133802,108.22,0.055,4.05,5.83,1.43950617283951,1D
TEBLAQ,2017,1.931,0.13496,107.19,0.054,4.24,5.82,1.37264150943396,1D
TEBLEU,2017,1.966,0.133546,100.43,0.052,3.98,5.72,1.43718592964824,1D
TEBLIY,2017,1.986,0.134548,98.15,0.053,4,5.75,1.4375,1D
TEBLOE,2017,1.986,0.128078,92.23,0.049,4.29,5.8,1.35198135198135,1D
TEBLUK,2017,1.984,0.130853,92.35,0.05,4.12,5.74,1.39320388349515,1D
TEBMAR,2017,2.003,0.129508,90.27,0.05,4.22,5.79,1.37203791469194,1D
TEBMEV,2017,2.012,0.128149,90.79,0.049,4.22,5.79,1.37203791469194,1D
TEBYIK,2012,1.262,0.37447,589.1,0.218,4.72,5.34,1.13135593220339,1D
TECSOJ,1997,0.901,0.428227,852.94,0.489,4.11,4.85,1.18004866180049,1D
TEDFUF,2012,0.789,0.586696,1879.23,0.692,7.99,8.99,1.12515644555695,1D
TEDLEU,2006,1.396,0.158713,8.51,0.089,2.62,4.27,1.62977099236641,1D
TEDLUK,2006,1.325,0.281031,228.01,0.157,4.37,5.27,1.20594965675057,1D
TEDSIG,2012,1.152,0.395102,310.54,0.267,2.91,5.21,1.79037800687285,1D
TEGRAB,2017,1.166,0.510762,829.17,0.371,4.59,5.96,1.29847494553377,1D
TEHKOH,2006,0.583,0.701746,2473.91,1.181,10.4,11.74,1.12884615384615,1D
TEHRUV,2012,1.269,0.151421,18.85,0.084,1.76,4.46,2.53409090909091,1D
TEHTEI,2017,1.371,0.228336,14.08,0.136,2.88,4.21,1.46180555555556,1D
TEHWEK,2012,1.228,0.469997,113.71,0.375,3.28,4.95,1.50914634146341,2D
TEJBIV,2012,1.03,0.355391,297.28,0.269,3.22,5.06,1.57142857142857,2D
TEJBOB,2012,0.436,0.870724,5372.21,1.843,7.41,9.32,1.25775978407557,2D
TEJGIA01,2013,2.023,0.175366,0.03,0.077,2.36,4.03,1.70762711864407,1D
TEJLIF,2012,1.13,0.286741,557.71,0.216,7.73,8.41,1.08796895213454,1D
TEJPAB,2012,1.119,0.542777,1002.51,0.453,3.63,7.26,2,2D
TEJTAG,2017,1.407,0.180823,25.32,0.09,1.12,4.49,4.00892857142857,3D
TEJWAI,2013,1.234,0.175293,0.78,0.096,1.24,4.06,3.2741935483871,3D
TEJYUC,1997,1.053,0.472952,645.73,0.371,3.33,6.27,1.88288288288288,1D
TEKLUS,2013,1.516,0.516462,528.53,0.32,3.93,5.23,1.33078880407125,2D
TEKMAZ,2013,1.864,0.305003,8.69,0.148,3.15,4.33,1.37460317460317,1D
TEKTAH,2017,0.87,0.433131,223.94,0.47,3.21,4.69,1.46105919003115,1D
TEKWUE,2017,1.063,0.783508,2360.28,0.787,11.03,11.41,1.03445149592022,1D
TEKXAL,2017,1.244,0.263923,62.78,0.156,3.76,4.54,1.20744680851064,1D
TEKXEP,2017,1.328,0.268114,74.4,0.152,3.84,4.74,1.234375,1D
TEKXIT,2017,1.442,0.259775,52.27,0.135,3.73,4.61,1.23592493297587,1D
TELDOF,2013,1.573,0.133511,64.3,0.059,1.41,5.62,3.98581560283688,1D
TELFAT,2013,1.661,0.055053,8.17,0.019,1.18,4.7,3.98305084745763,1D
TELFEX,2013,1.482,0.070811,9.14,0.022,1.22,4.87,3.99180327868852,3D
TELTOW,2017,1.453,0.225327,32.65,0.113,2.64,4.31,1.63257575757576,1D
TELTUC,2017,1.338,0.310633,82.92,0.163,3.5,4.43,1.26571428571429,2D
TELXUG,2017,1.227,0.272331,173.01,0.171,3.47,5.07,1.46109510086455,1D
TEMPIM01,2016,0.9,0.570258,973.66,0.693,4.16,5.26,1.26442307692308,1D
TEMPIM,2013,0.895,0.571461,1024.29,0.704,4.21,5.32,1.26365795724466,1D
TEMSEM,2017,1.523,0.148803,0.18,0.067,3.39,4.09,1.20648967551622,1D
TENLAC,2017,1.164,0.350532,190.69,0.263,3.15,4.76,1.51111111111111,1D
TENLIJ,2013,1.144,0.455796,476.78,0.317,3.83,5.25,1.37075718015666,1D
TEPFUP,1997,1.03,0.248459,8.72,0.221,1.63,4.12,2.52760736196319,2D
TEPPOV,2013,1.563,0.254831,106.55,0.115,0.88,4.97,5.64772727272727,NON-POROUS
TEPREO,2017,1.067,0.346979,548.53,0.252,3.79,6.46,1.70448548812665,1D
TEQJEF,2007,1.162,0.364948,225.8,0.228,1.54,5.03,3.26623376623377,2D
TEQJIJ,2007,1.07,0.456804,679.5,0.372,3.36,5.73,1.70535714285714,1D
TEQJUV,2007,1.219,0.347222,170.8,0.205,1.52,4.95,3.25657894736842,3D
TEQMUY,2007,1.156,0.217944,131.35,0.146,1.42,4.64,3.26760563380282,1D
TEQROX,2007,1.218,0.223144,94.83,0.15,2.58,4.87,1.88759689922481,1D
TERQAI,1997,1.254,0.296467,219.38,0.18,2.95,5.03,1.70508474576271,1D
TERSUH,2017,1.284,0.278332,132.3,0.168,3.03,4.75,1.56765676567657,1D
TERTAO,2017,1.299,0.273586,120.18,0.159,2.87,4.68,1.63066202090592,1D
TESGOO,2007,1.921,0.259804,56.78,0.133,2.78,4.55,1.63669064748201,1D
TESGUU,2007,1.921,0.259232,58.64,0.134,2.83,4.61,1.62897526501767,1D
TESHAB,2007,1.814,0.301468,143.81,0.162,3.2,5.01,1.565625,1D
TESHEG,2013,0.544,0.839358,4891.16,1.452,6.57,7.29,1.10958904109589,2D
TESZIB,2007,0.692,0.597355,2225.75,0.764,7.16,9.48,1.32402234636872,1D
TETNOX,2013,1.037,0.340538,724.96,0.298,4.17,5.89,1.41247002398082,1D
TETPOA,2017,1.265,0.209357,19.29,0.097,1.55,4.39,2.83225806451613,1D
TETPUG,2017,1.137,0.247366,29.32,0.151,3.01,4.4,1.46179401993356,1D
TETWUM,2013,1.789,0.130595,15.41,0.056,2.47,4.65,1.88259109311741,1D
TETZUQ,2017,1.242,0.341231,259.14,0.214,3.66,5.97,1.63114754098361,1D
TEVNUG,2018,1.475,0.136735,39.55,0.069,3.26,4.62,1.41717791411043,1D
TEVVIC,2018,1.083,0.464143,605.55,0.294,4.84,5.37,1.1095041322314,1D
TEVZIE,2007,1.888,0.27365,92.94,0.141,3.03,4.75,1.56765676567657,1D
TEVZIF,2013,2.324,0.388915,177.72,0.107,2.86,8.37,2.92657342657343,1D
TEVZOK,2007,1.979,0.239706,22.84,0.117,2.7,4.4,1.62962962962963,1D
TEVZUQ,2007,1.894,0.271576,81.7,0.141,3.09,4.67,1.51132686084142,1D
TEWFUY,2013,1.263,0.298413,58.51,0.173,1.94,4.47,2.30412371134021,1D
TEWGUY,2007,0.706,0.638838,2750.34,0.922,6.59,8.09,1.22761760242792,1D
TEWKOW,2007,1.345,0.295826,5.14,0.15,3.28,4.14,1.26219512195122,1D
TEWMIS,2007,0.357,0.804933,6215.56,2.187,7.54,9.92,1.31564986737401,2D
TEWMIU,2018,1.519,0.51215,508.38,0.246,1.77,8.94,5.05084745762712,3D
TEWMUG,2018,1.191,0.581674,1040.18,0.45,6.69,10.93,1.63378176382661,1D
TEWPUI,2013,0.524,0.758153,2588.55,1.379,10.99,11.57,1.05277525022748,2D
TEXHOU,2007,1.348,0.251738,13.86,0.146,3.2,4.39,1.371875,1D
TEXHOV,2013,1.435,0.20521,203.86,0.117,1.28,5.89,4.6015625,3D
TEXKEO,2013,1.266,0.354262,14.36,0.174,2.71,4.25,1.56826568265683,1D
TEXQAQ,2013,1.273,0.308069,98.65,0.166,2,4.63,2.315,1D
TEXRAQ,2007,2.341,0.171001,0.77,0.047,3.26,4.12,1.2638036809816,1D
TEXVID,2013,1.958,0.462455,688.35,0.235,4.11,5.47,1.330900243309,1D
TEXVOJ,2013,2.332,0.235848,108.93,0.092,1.77,5.77,3.25988700564972,1D
TEYBUW,2013,1.305,0.464203,761.77,0.287,5.14,7.64,1.4863813229572,1D
TEYDOR,2007,1.464,0.414911,298.26,0.215,3.24,5.94,1.83333333333333,3D
TEYHIR,2018,1.164,0.612448,1017.08,0.423,6.75,6.97,1.03259259259259,1D
TEYLEQ,2013,1.178,0.408514,399.45,0.251,2.42,5.18,2.14049586776859,1D
TEYQAR,2013,1.238,0.240232,33.04,0.139,1.93,4.46,2.31088082901554,1D
TEYQEV,2013,1.237,0.274888,35.75,0.158,1.81,4.58,2.53038674033149,1D
TEYRIY,1997,1.106,0.276956,46.99,0.177,2.05,4.39,2.14146341463415,1D
TEYZOP,2018,1.443,0.149481,50.82,0.079,1.45,4.72,3.2551724137931,1D
TEZLIU,2007,1.258,0.241158,4.46,0.144,1.83,4.22,2.30601092896175,1D
TEZLOA,2007,1.025,0.458965,58.84,0.383,3.43,4.57,1.33236151603499,1D
TEZZIK,2018,1.581,0.261001,49.79,0.123,2.62,4.69,1.79007633587786,1D
TIBXOT,2013,1.445,0.462096,450.55,0.329,3.84,5.81,1.51302083333333,1D
TIBXUZ,2013,1.456,0.461036,593.18,0.327,3.55,5.67,1.59718309859155,1D
TIBYAG,2013,1.425,0.5087,839.15,0.351,4.17,7.12,1.70743405275779,1D
TICMUO,2007,0.627,0.781276,2848.02,1.118,8.16,8.89,1.08946078431373,1D
TIFDOB,2002,1.268,0.256696,226.68,0.171,1.68,5.49,3.26785714285714,3D
TIFHAT,2013,0.617,0.735062,3208.91,1.093,6.38,10.32,1.61755485893417,1D
TIFHEX,2013,0.631,0.735886,3163.7,1.069,6.39,10.33,1.61658841940532,1D
TIFHIB,2013,1.576,0.206742,32.56,0.106,2.11,4.86,2.30331753554502,1D
TIFLEB,2013,1.421,0.155089,127.84,0.108,3.96,4.57,1.1540404040404,1D
TIFRIM,2018,1.085,0.365094,337.23,0.255,3.34,5.98,1.79041916167665,1D
TIGKEB,2013,1.259,0.421474,17.33,0.257,3.37,4.38,1.29970326409496,1D
TIGZAN,2018,1.316,0.393442,195.15,0.215,1.28,5.11,3.9921875,2D
TIHWEM,2002,0.926,0.515843,499.78,0.514,3.67,5.04,1.3732970027248,2D
TIJLOP,2013,1.55,0.148785,0.36,0.068,1.77,4.09,2.31073446327684,1D
TIJNAE,2018,1.673,0.171283,10.94,0.088,2.62,4.27,1.62977099236641,1D
TIJSIR,2018,0.803,0.552812,1421.23,0.643,9.66,10.06,1.04140786749482,1D
TIKXAN,2008,0.921,0.802762,2295.68,0.712,5.34,6.1,1.14232209737828,3D
TILKUV,2008,1.46,0.181172,1.11,0.093,1.24,4.06,3.2741935483871,1D
TILLUW,2008,1.434,0.200612,1.85,0.097,1.79,4.13,2.3072625698324,3D
TIMBIB,2008,2.439,0.454795,308.78,0.215,3.61,5.28,1.46260387811634,1D
TIMBOH,2008,1.229,0.371196,330.61,0.234,2.66,6.14,2.30827067669173,3D
TIMMOU,2018,1.279,0.283374,232.14,0.162,2.19,5.55,2.53424657534247,1D
TIMMUA,2018,1.196,0.22134,120.36,0.139,3.37,4.49,1.33234421364985,1D
TINCOJ,2008,1.338,0.202274,191.94,0.126,4.36,5.81,1.33256880733945,1D
TINFAZ,2013,1.911,0.435462,84.14,0.224,3.35,4.6,1.37313432835821,1D
TINFIH,2013,2.815,0.20388,70.22,0.077,2.04,4.72,2.31372549019608,2D
TINPOV,1997,1.154,0.50912,1724.65,0.428,4.5,5.56,1.23555555555556,1D
TINROY,2008,1.022,0.55677,467.97,0.451,3.78,4.78,1.26455026455026,1D
TINTEQ,2008,0.997,0.599031,107.03,0.556,3.38,4.28,1.26627218934911,1D
TIPBID,1997,1.033,0.263382,269.05,0.184,3.15,4.94,1.56825396825397,1D
TIPKAF,2008,1.338,0.177781,137.38,0.104,3.17,5.41,1.70662460567823,1D
TIPRIT,1997,1.853,0.205744,34.52,0.088,0.86,4.85,5.63953488372093,NON-POROUS
TIPWAT,2018,3.14,0.19845,16.08,0.059,2.01,4.29,2.13432835820896,2D
TIQBEB,2008,1.088,0.285875,114.06,0.204,2.68,4.58,1.7089552238806,1D
TIRHIL,1997,0.758,0.733375,2986.63,0.983,7.05,9.2,1.30496453900709,3D
TIRLIQ,2008,1.344,0.30534,132.33,0.182,3.74,4.99,1.33422459893048,1D
TIRWOI,2013,1.17,0.180594,60.67,0.109,1.43,4.67,3.26573426573427,2D
TISHAF,2008,0.905,0.577186,941.35,0.52,3.49,10.55,3.02292263610315,1D
TISJOW,2014,1.402,0.112554,62.91,0.058,2.32,4.96,2.13793103448276,1D
TISKOW,2008,1.667,0.221712,95.59,0.115,2.38,5.73,2.40756302521008,1D
TISNAM,2014,0.746,0.652356,2014.39,0.759,5.83,8.52,1.46140651801029,1D
TISPIV,2008,1.25,0.180861,56.46,0.098,1.88,4.77,2.53723404255319,1D
TISVEY,2014,1.265,0.122539,67.83,0.067,3.08,4.66,1.51298701298701,1D
TISWEZ,2014,2.359,0.102218,0.06,0.031,2.27,4.07,1.79295154185022,3D
TISZUT,2019,1.183,0.496431,646.45,0.336,3.73,5.45,1.46112600536193,3D
TITBIJ,2014,1.246,0.432737,713.29,0.282,4.39,5.42,1.23462414578588,1D
TITJAJ,2014,1.293,0.27112,95.77,0.167,2.71,4.63,1.70848708487085,1D
TITTEY,2019,0.964,0.593855,673,0.496,3.71,5.42,1.46091644204852,3D
TIVLEQ,2008,2.732,0.089968,2.11,0.036,0.74,4.18,5.64864864864865,NON-POROUS
TIVLIU,2008,2.885,0.269858,8.89,0.081,2.9,4.23,1.45862068965517,1D
TIVTAU,2008,0.898,0.502239,521.1,0.545,3.97,5.03,1.26700251889169,1D
TIVXAY,2008,1.257,0.132953,42.89,0.066,1.25,4.98,3.984,2D
TIVZEE,2008,1.176,0.515451,1056.26,0.405,4.4,7.51,1.70681818181818,1D
TIXJAM,2008,0.596,0.56741,2074.76,0.889,9.12,9.62,1.05482456140351,1D
TIXNEW,2019,0.692,0.732376,3211.73,1.012,5.84,7.9,1.3527397260274,1D
TIXVON,2014,1.167,0.276057,151.24,0.181,3.44,4.73,1.375,1D
TIYBOV,2019,1.394,0.42167,895.45,0.3,5.45,6.81,1.24954128440367,1D
TIYMEU,2008,1.803,0.124399,8.94,0.036,1.27,4.16,3.2755905511811,2D
TIYPOJ,2019,1.061,0.314803,170.38,0.204,3.69,4.78,1.29539295392954,1D
TIYXUX01,2019,1.616,0.373984,380.17,0.199,4.14,5.11,1.23429951690821,1D
TIYXUX,2019,1.562,0.38651,421.71,0.217,4.19,5.17,1.23389021479714,1D
TIYYEI01,2019,1.621,0.43589,361.96,0.214,4.13,5.1,1.23486682808717,1D
TIYYEI,2019,1.55,0.456663,654.29,0.242,4.5,5.3,1.17777777777778,1D
TIZBIQ,2019,1.452,0.414245,523.5,0.233,4.12,4.97,1.20631067961165,1D
TIZBOW01,2019,1.447,0.436771,614.94,0.243,4.5,4.9,1.08888888888889,1D
TIZBOW,2019,1.383,0.456455,740,0.272,4.6,5.2,1.1304347826087,1D
TIZCIR,2019,1.56,0.469686,574.71,0.237,4.95,6.35,1.28282828282828,1D
TIZDOW,2008,1.475,0.261826,45.86,0.138,3.57,4.52,1.26610644257703,1D
TIZGUG,2014,3.128,0.305604,104.35,0.114,3.64,5.15,1.41483516483516,1D
TIZSIF,2008,0.81,0.611647,1807.4,0.678,7.56,8.47,1.12037037037037,1D
TOBJUR,2014,1.254,0.511349,930.45,0.335,4.96,5.98,1.20564516129032,1D
TOBKAY,2014,1.274,0.505484,880.28,0.324,4.84,5.84,1.20661157024793,1D
TOBKEC,2014,1.331,0.497003,706.9,0.305,4.86,5.73,1.17901234567901,1D
TOBPEG,2008,1.585,0.195502,39.72,0.063,1.77,5,2.82485875706215,1D
TOBPOS,2019,1.26,0.229734,3.45,0.105,1.67,4.22,2.52694610778443,1D
TOBRIO,2019,1.258,0.237955,20.44,0.12,1.54,4.35,2.82467532467532,2D
TOBVOY,2019,1.01,0.377705,150,0.31,3.23,4.72,1.46130030959752,1D
TOCJAY,2014,0.396,0.849881,2769.74,2.042,18.85,24.01,1.2737400530504,3D
TOCJEC,2014,0.253,0.900716,3187.14,3.457,25.57,30.94,1.21001173249902,3D
TOCNOR,2019,2.036,0.118775,3.99,0.051,1.05,4.19,3.99047619047619,1D
TOCNUX,2019,2.032,0.213465,7.34,0.103,2.24,4.22,1.88392857142857,1D
TOCVIQ,1997,1.778,0.195414,0.04,0.08,1.02,4.08,4,3D
TOCXUH,2019,1.366,0.442978,176.09,0.26,2.58,4.87,1.88759689922481,3D
TODLAC,2019,1.209,0.449635,183.11,0.303,3.02,4.73,1.56622516556291,1D
TODRAH,2014,1.648,0.21671,28.09,0.092,2.98,4.67,1.56711409395973,1D
TODXIV,2014,1.42,0.326237,136.68,0.222,2.83,4.62,1.63250883392226,1D
TODYIW,2014,2.136,0.070993,5.75,0.032,1.3,4.26,3.27692307692308,1D
TOFQEM,2014,1.318,0.462641,303.16,0.274,3.53,4.58,1.29745042492918,1D
TOFWAO,2014,1.414,0.141128,32.86,0.069,1.93,4.45,2.30569948186529,1D
TOGCUN,1997,1.065,0.179091,10.56,0.112,1.3,4.26,3.27692307692308,3D
TOHJIL,2014,2.69,0.24902,67.39,0.089,2.26,4.84,2.14159292035398,1D
TOHJOR,2014,1.261,0.273824,246.41,0.168,2.23,5.94,2.66367713004484,1D
TOHKAE,2014,1.379,0.156859,1.01,0.068,1.62,4.09,2.52469135802469,1D
TOHNOV,2014,0.789,0.687446,1881.53,0.833,3.63,10.6,2.92011019283747,3D
TOHYUM,2014,1.402,0.296045,7.74,0.176,3.37,4.15,1.23145400593472,1D
