Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
XOJMAL02,29476.296,13820.382,0.779,0.591121,1914.99,0.773,4.44,6.09,1D
XOJMAL,24393.213,22313.97,1.519,0.155309,33.12,0.123,2.79,4.21,1D
XOJMEP,32473.228,15867.712,0.811,0.553515,2053.15,0.733,4.54,5.81,1D
XOJVIC,44053.135,37834.128,1.426,0.248044,100.4,0.123,1.32,5.27,2D
XOJWID,40165.175,28551.312,1.18,0.549854,807.65,0.395,4.23,6.51,1D
XOJXAW,33375.129,30905.352,1.538,0.393512,484.17,0.206,4.23,5.49,1D
XOJZOL,32245.797,32946.56,1.697,0.289758,3.13,0.162,2.32,4.15,1D
XOKDUX,35300.634,29082.4,1.368,0.22388,72.56,0.124,1.52,4.98,2D
XOKFUZ,30679.434,18454.624,0.999,0.331208,475.38,0.253,1.73,6.9,2D
XOKHIP,30280.588,40272.48,2.208,0.142647,2.57,0.065,2.61,4.26,1D
XOKHOV,47946.481,38880.432,1.347,0.280549,442.1,0.167,5.22,6.03,1D
XOKHUB,29807.319,25016.016,1.394,0.195875,6.49,0.1,1.29,4.23,1D
XOKJIR,57995.211,45493.363,1.303,0.247248,7.47,0.132,1.05,4.2,3D
XOKQUL,38626.878,22915.056,0.985,0.571595,842.33,0.438,4.19,7.14,2D
XOKSOG,29873.031,9532.678,0.53,0.774355,3117.15,1.391,9.29,10.02,1D
XOKSUM,29099.369,18212.263,1.039,0.450791,771.69,0.355,4.02,5.08,2D
XOKYOM,38844.452,13437.552,0.574,0.614292,2984.48,0.987,8.31,10.25,1D
XOLNUH,45329.238,35429.843,1.298,0.121359,7.45,0.059,1.06,4.22,3D
XOLSUO,85833.124,49204.928,0.952,0.633793,1794.52,0.582,4.48,6.89,3D
XOMDOU,37913.101,26968.526,1.181,0.429208,313.27,0.282,4.25,5.67,1D
XOMGAI,51987.212,29274.49,0.935,0.515756,465.32,0.499,3.43,5.73,1D
XOMGEM,41165.147,14360.9,0.579,0.734745,4037.93,1.25,5.36,7.46,1D
XOMGOW,71552.119,61177.741,1.42,0.130555,1.62,0.061,1.45,4.1,3D
XOMNES,37970.695,27650.889,1.209,0.244958,88.36,0.14,2.3,4.61,1D
XOMSUN01,24355.888,12784.632,0.872,0.579232,1796.08,0.61,7.69,9.02,1D
XOMSUN,25139.725,12784.632,0.844,0.577359,1825.63,0.633,7.73,9.17,1D
XONLOC,37705.35,44782.248,1.972,0.189333,16.05,0.073,1.13,4.54,3D
XONTOK,23402.005,16730.88,1.187,0.203914,6.17,0.128,1.04,4.16,3D
XOPHUG,27227.393,12113.304,0.739,0.632106,2088.6,0.735,4.4,6.32,2D
XOPLUL,25120.66,25737.291,1.701,0.373652,32.5,0.182,2.94,4.29,1D
XOPMIA,21932.887,13882.536,1.051,0.495681,596.01,0.384,3.43,5.19,1D
XOPPOJ,60714.995,55259.136,1.511,0.080305,0.03,0.036,1.03,4.11,3D
XOPWAB,43241.891,41830.848,1.606,0.3976,316.39,0.21,3.49,5.69,1D
XOPXEG,55254.907,77413.056,2.326,0.177574,19.3,0.074,3.27,4.49,1D
XOQKOE,27203.006,11178.912,0.682,0.736273,3303.94,1.073,7.45,8.31,1D
XORMIB,62180.91,19447.466,0.519,0.852601,4736.27,1.393,5.4,8.39,1D
XORRON,21859.548,26815.059,2.037,0.256486,172.94,0.104,1.24,5.71,1D
XORSAZ,32147.399,15138.752,0.782,0.610208,1706.03,0.688,5.21,9.21,1D
XOSFAO,34748.656,28890.72,1.381,0.17166,28.89,0.093,1.55,4.39,1D
XOSHEU,33484.708,24808.824,1.23,0.302022,40.49,0.178,2.91,4.4,1D
XOSHIY,45993.91,16627.728,0.6,0.719397,2419.77,1.091,9.21,10.12,1D
XOSNID,31542.432,25952.56,1.366,0.203349,5.25,0.104,1.66,4.19,2D
XOTBUF,62009.931,26778.576,0.717,0.656781,1330.51,0.772,3.68,5.66,2D
XOTHET,35818.483,17917.936,0.831,0.60778,1510.97,0.642,3.82,7,2D
XOTHIX,35298.796,17917.936,0.843,0.600417,1374.1,0.626,3.81,7,2D
XOTHOD,35197.735,17917.936,0.845,0.602368,1403.04,0.62,3.84,7.05,1D
XOTWUZ,28479.702,34281.495,1.999,0.187823,35.82,0.092,2.42,4.33,1D
XOTXAG,37250.436,36729.312,1.637,0.175828,18.14,0.097,2.33,4.39,1D
XOVBIV01,63595.505,30482.832,0.796,0.536894,1612.14,0.58,4.15,9.03,3D
XOVBIV,62406.615,30482.832,0.811,0.529284,1494.26,0.563,4.1,8.92,3D
XOVPON,33008.585,28232.352,1.42,0.397452,376.07,0.232,3.6,5.26,1D
XOVQOO,43885.368,36331.52,1.375,0.079745,2.4,0.031,1.3,4.24,3D
XOVVEK,28481.299,27969.408,1.631,0.243164,13.06,0.123,2.84,4.3,1D
XOVVIO,28708.495,29121.408,1.684,0.198691,2.11,0.084,2.65,4.16,1D
XOWBAO,27887.946,25826.928,1.538,0.330155,237.24,0.17,2.48,7.01,2D
XOXGEX,33193.64,20222.4,1.012,0.410161,759.14,0.311,4.42,5.82,1D
XOYRUZ,32309.194,25954.464,1.334,0.438089,697.8,0.275,4.15,7.62,2D
XOYSEK,35477.623,17942.976,0.84,0.681413,2395.25,0.744,5.86,8.71,2D
XOYSIO,48364.099,54015.984,1.855,0.169138,37.14,0.072,3.44,4.72,1D
