Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
NEHCAG,41098.999,31781.088,1.284,0.358678,307.56,0.195,3.5,6.12,1D
NEHGOZ,53589.26,31964.688,0.99,0.481472,954.48,0.385,4.69,6.26,1D
NEHGUF,71126.965,42619.584,0.995,0.481284,909.24,0.379,4.65,6.57,1D
NEHHAM,53327.697,31964.688,0.995,0.481197,951.13,0.382,4.67,6.22,1D
NEHKUI,27115.31,23008.59,1.409,0.3574,19.54,0.194,2.76,4.33,3D
NEHMET,38182.932,30663.456,1.334,0.533646,136.85,0.339,3.5,4.54,2D
NEHNEV01,29435.612,24483.564,1.381,0.205113,59.19,0.099,3.15,4.76,1D
NEHNEV,27833.74,16322.376,0.974,0.538437,1152.31,0.443,4.14,5.52,1D
NEHYEE,22384.529,8223.872,0.61,0.68117,3535.21,1.15,5.69,8.38,1D
NEHYII,22204.816,8216.192,0.614,0.686374,3554.13,1.148,5.69,8.45,1D
NEHZEF,30420.594,25837.344,1.41,0.332667,126.77,0.211,3.01,4.92,1D
NEHZIK,60081.06,43445.504,1.201,0.38621,733.67,0.265,4.56,7.02,3D
NEJYIM,43839.604,34522.752,1.308,0.220689,146.6,0.119,3.56,5.2,1D
NEJZEJ,29045.17,24725.628,1.414,0.252254,108.17,0.147,1.72,4.85,2D
NEKBEL,37198.358,37907.808,1.692,0.192041,48.71,0.111,2.86,4.67,1D
NEKCIS,64178.55,37306.496,0.965,0.636541,1472.64,0.559,5.25,7.54,1D
NEKTEE,46784.213,34629.552,1.229,0.259815,21.44,0.144,1.33,4.35,1D
NEKWAC,36170.377,37195.092,1.708,0.126789,6.55,0.056,1.32,4.3,2D
NELMAT,34278.145,19576.909,0.948,0.560195,1554.4,0.558,7.37,7.95,1D
NEMYUA,27172.086,20766.105,1.269,0.347744,149.57,0.24,2.67,4.78,1D
NENBUF,49958.38,25435.584,0.845,0.604185,1716.17,0.629,7.59,8.91,1D
NENYAJ,41559.266,36101.592,1.442,0.318592,38.36,0.151,1.36,4.45,3D
NEPDAP01,33386.354,28171.2,1.401,0.211296,25.15,0.135,3.01,4.39,1D
NEPDAP,33386.354,28091.2,1.397,0.213393,25.09,0.137,3.01,4.4,1D
NEPGAT,26650.606,28674,1.787,0.270966,112.99,0.138,2.55,5.09,1D
NEPHEV02,52139.518,44047.037,1.403,0.218131,3.41,0.102,1.6,4.06,1D
NEPHEV,34972.896,14682.346,0.697,0.687987,2623.8,0.905,6.8,8.72,1D
NEPHIZ,39339.299,29364.691,1.24,0.288985,61.76,0.159,2.1,4.49,3D
NEPHOG,47954.191,18088.224,0.626,0.463111,2687.08,0.751,4.76,7.08,1D
NEPNIG,28754.283,24929.414,1.44,0.300123,172.52,0.167,2.74,5.17,2D
NEPSAD,36092.341,20028.16,0.921,0.454893,0.31,0.447,2.87,4.06,1D
NEPWEK,30406.891,20653.344,1.128,0.352965,356.2,0.221,2.52,5.38,1D
NEQDES,32132.072,32200.56,1.664,0.370477,192.59,0.176,3.74,4.86,1D
NEQDET,49346.388,36497.534,1.228,0.21731,37.04,0.117,2.62,4.47,1D
NEQFAR,40702.323,31492.288,1.285,0.192109,4.52,0.102,1.33,4.34,3D
NEQVOX,36526.186,32582.784,1.481,0.262095,29.47,0.124,3.33,4.33,1D
NERCEU,27341.444,23572.288,1.432,0.228797,76.08,0.117,1.81,4.58,3D
NERLOL,39569.394,19563.552,0.821,0.577845,1239.95,0.546,4.37,5.53,1D
NERMON,35641.02,44280.864,2.063,0.129496,70.56,0.061,4.07,4.8,1D
NERNIH,44078.913,27975.288,1.054,0.487002,830.33,0.401,4.85,6.38,1D
NERVEL,39633.133,33690.276,1.412,0.256227,87.93,0.132,2.08,4.81,1D
NERVIP,39406.09,33690.276,1.42,0.248808,76.22,0.126,2.05,4.74,1D
NESDOG,52871.507,26652.928,0.837,0.557753,1040.77,0.61,3.81,6.22,1D
NESHEA,50021.619,51350.08,1.705,0.071905,7.82,0.037,1.08,4.34,3D
NESHOK,51921.996,27551.916,0.881,0.565963,1539.91,0.625,9.79,10.97,1D
NESVIT,40270.486,29146.752,1.202,0.330734,125.68,0.203,1.47,4.8,2D
NETGEZ,27926.657,23760.984,1.413,0.365268,79.58,0.219,3.21,4.69,1D
NETGID,27026.666,20343.72,1.25,0.363301,101.61,0.245,3.17,4.48,1D
NETGOJ,27461.023,23743.488,1.436,0.372724,101.38,0.216,3.17,4.63,1D
NETGUP,46449.519,51754.56,1.85,0.138696,3.07,0.058,1.07,4.3,3D
NETHAW,45555.587,47486.976,1.731,0.140904,5.4,0.062,1.08,4.31,3D
NETHIE,27390.254,22632.48,1.372,0.361995,88.16,0.221,3.12,4.56,1D
NETSIQ,38138.284,39224.232,1.708,0.180237,2.55,0.08,2.68,4.21,1D
NETSUD,28269.091,20928.76,1.229,0.416768,690.75,0.277,7.06,7.61,1D
NETVEO,59140.985,45880.723,1.288,0.221664,9.95,0.129,1.86,4.29,3D
NETVOY,42003.692,32538.542,1.286,0.271455,82.39,0.157,1.91,4.84,1D
NETXEQ,26957.73,24593.344,1.515,0.373534,882.93,0.255,6.02,6.75,1D
NETYIV01,57743.443,27204.608,0.782,0.645054,2058.69,0.71,6.19,7.83,1D
NETYIV,57613.55,27076.608,0.78,0.644399,2069.6,0.725,6.48,7.81,1D
NEVJEF,39302.032,40181.504,1.698,0.269191,98.39,0.133,3.29,4.81,1D
NEVLAC,34471.127,31914.72,1.537,0.518225,831.59,0.297,5.46,6.44,1D
NEVLAD,34203.498,31914.72,1.549,0.525597,902.73,0.294,5.24,6.18,1D
NEVPOU,34612.452,26934.592,1.292,0.395086,416.56,0.27,4.75,6.17,1D
NEVVAM01,30295.069,25959.024,1.423,0.491807,696.55,0.286,5.34,6.84,1D
NEVVAM02,30282.929,25959.024,1.423,0.486737,691.76,0.284,5.47,6.75,1D
NEVVER,70437.401,54002.714,1.273,0.256585,88.59,0.123,2.53,5.4,2D
NEVVIU01,44186.397,38938.536,1.463,0.458995,602.76,0.262,5.23,6.17,1D
NEVVIU02,44378.858,38938.536,1.457,0.465243,621.42,0.268,5.29,6.24,1D
NEVVIU,44401.019,38938.536,1.456,0.461906,618.31,0.265,5.06,6.24,1D
NEVVIV,46701.397,38494.062,1.369,0.145641,2.7,0.083,2.23,4.21,1D
NEWROY,26058.947,30856.248,1.966,0.336375,82.64,0.136,3.31,4.54,1D
NEWRUE,33708.399,34740.288,1.711,0.336585,101.46,0.159,3.31,4.54,2D
NEXKEI,31944.502,27170.352,1.412,0.168488,16.09,0.097,2.08,4.44,1D
NEXLUZ,33890.215,28939.68,1.418,0.16847,2.3,0.093,1.03,4.12,1D
NEXQOX,41985.833,29051.149,1.149,0.385619,697.58,0.286,4.67,6.71,1D
NEXQUD,117488.11,97315.45,1.375,0.32324,152.89,0.189,3.43,5.01,1D
NEXRUG,52938.152,11400.192,0.358,0.834106,6761.67,2.234,7.47,11.2,1D
NEXXIZ,21098.502,11244.672,0.885,0.456095,814.59,0.427,9.11,9.65,1D
NEYBEZ,32990.328,30528,1.537,0.35194,78.82,0.18,3.65,4.62,1D
NEYREO,34693.932,27067.018,1.295,0.169602,34.99,0.087,1.13,4.53,1D
NEYRIS,35135.977,27067.018,1.279,0.177372,42.63,0.093,1.41,4.59,1D
NEYXIA,59156.245,26448.576,0.742,0.672319,1436.79,0.933,14.67,14.99,1D
NEYYOG,68385.921,94639.68,2.298,0.259346,223.51,0.1,10.6,11.96,1D
NEZKOU,56194.587,53285.796,1.575,0.108915,9.55,0.046,1.09,4.35,3D
NEZRUG,31640.692,27761.328,1.457,0.184143,0.94,0.07,2.08,4.16,1D
NIBLES,28920.614,23479.29,1.348,0.452901,639.6,0.296,4.32,5.33,1D
NIBLIW,34587.836,26772.576,1.285,0.464551,160.23,0.342,3.12,4.72,2D
NIBNAO,30985.293,14538.682,0.779,0.771386,1683.47,0.872,4.23,5.98,1D
NIBROH,41184.012,40450.176,1.631,0.123033,2.3,0.057,1.63,4.13,2D
NIBWUS,32742.376,25744.32,1.306,0.274158,166.92,0.162,2.42,5.18,1D
NICHOC10,22328.252,13222.831,0.983,0.509843,997.71,0.536,4.54,6.05,1D
NICLIU,49624.031,32767.648,1.096,0.241703,260.82,0.162,2.15,5.43,1D
NICZAA01,56826.715,36206.73,1.058,0.478296,181.57,0.354,3.2,5.02,2D
NIDCIP,35374.66,19163.472,0.9,0.614722,1950.28,0.612,6.04,7.74,1D
NIDFAI,28526.608,20036.064,1.166,0.364978,488.21,0.265,3.87,5.3,1D
NIDFIR,45090.975,28311.072,1.043,0.43393,245.8,0.323,3.21,5.03,1D
NIDFOW,28427.35,39840,2.327,0.236145,57.56,0.093,2.19,4.68,2D
NIDGAJ,31491.289,44064,2.323,0.236204,8.99,0.098,3.12,4.28,1D
NIDZIL,47945.021,32989.44,1.143,0.220282,0.95,0.133,1.01,4.05,3D
NIFNEX,31822.653,27850.248,1.453,0.132218,49.06,0.068,1.4,4.58,1D
NIFNUN,25464.242,24634.256,1.606,0.404761,420.98,0.226,3.93,5.39,1D
NIFSIF,36776.98,32280.816,1.458,0.166069,94.55,0.083,1.17,4.67,3D
NIFSUT,39961.7,21832.128,0.907,0.530782,1088.27,0.532,3.71,11.2,3D
NIFXIM,32128.444,13484.704,0.697,0.73519,2306.34,0.899,5.95,8.69,1D
NIGBOW,49097.776,19132.288,0.647,0.708335,2312.41,1.022,11.36,11.73,1D
NIGLOH,40304.468,30155.706,1.242,0.296852,257.92,0.17,1.97,5.56,1D
NIGNUP,42399.701,44109.36,1.727,0.261638,135.88,0.145,2.78,5.55,2D
NIGPAW,16843.954,8470.392,0.835,0.642636,1068.12,0.64,3.35,14.85,3D
NIGPEZ,24120.238,23468.846,1.616,0.242862,9.4,0.104,1.06,4.23,1D
NIGPID,24827.871,23468.846,1.57,0.253311,19.52,0.119,1.1,4.4,1D
NIGPOJ,25259.274,23468.846,1.543,0.257945,21.09,0.121,1.09,4.37,3D
NIHBEM01,30062.481,31502.52,1.74,0.25986,82.27,0.155,3.01,4.72,1D
NIHBEM02,30726.667,31502.52,1.702,0.277352,136.67,0.166,3.1,4.86,1D
NIHBEM,29662.822,31502.52,1.764,0.253704,67.95,0.149,2.86,4.67,1D
NIHBIQ01,31616.033,31502.52,1.655,0.293649,163.84,0.182,3.34,5.04,1D
NIHBIQ02,32129.686,31502.52,1.628,0.305645,202.32,0.192,3.28,5.14,1D
NIHBIQ,31339.796,31502.52,1.669,0.291192,155.63,0.177,3.17,4.97,1D
NIHWIN,77581.31,9009.36,0.193,0.928846,6358.61,4.671,12.98,32.34,3D
NIJJAR,40011.01,19728.891,0.819,0.523332,1561.69,0.575,6.3,9.71,1D
NIJKEZ,36256.904,26222.352,1.201,0.269693,42.05,0.134,2.44,4.61,1D
NIJNEC,28762.365,17903.52,1.034,0.311947,162.77,0.236,2.72,4.87,1D
NIJTOP01,25573.914,7921.908,0.514,0.727702,3731.98,1.347,8.02,8.81,1D
NIJTOP,26000.285,7921.908,0.506,0.733713,3738.76,1.368,8.28,8.85,1D
NIJVEJ,47175.888,32322.24,1.138,0.468536,373.34,0.309,2.43,5.61,1D
NIJZIP,23209.689,21489.888,1.537,0.330607,547.94,0.219,7.38,8.84,1D
NIKQEF,61697.457,17251.04,0.464,0.790909,5869.29,1.592,5.98,8.04,1D
NIKVAH,60062.201,50797.696,1.404,0.539301,623.79,0.348,3.25,6.95,2D
NIKYUC01,30569.13,31502.52,1.711,0.270541,117.64,0.162,3.06,4.8,1D
NIKYUC02,31274.655,31502.52,1.673,0.285722,152.35,0.176,3.12,4.9,1D
NIKYUC,30214.973,31502.52,1.731,0.26345,101.23,0.156,3.04,4.77,1D
NIKZAJ01,29127.182,31502.52,1.796,0.238491,36.21,0.136,2.84,4.46,1D
NIKZAJ02,29622.517,31502.52,1.766,0.250806,60.81,0.147,3.01,4.54,1D
NIKZAJ,28852.866,31502.52,1.813,0.232854,29.27,0.131,2.82,4.42,1D
NIKZEN01,30314.261,31502.52,1.726,0.265817,108.14,0.158,3.09,4.67,1D
NIKZEN02,30771.591,31502.52,1.7,0.277683,133.97,0.168,3.18,4.81,1D
NIKZEN,30044.767,31502.52,1.741,0.26438,97.74,0.155,3.1,4.69,1D
NILDUJ,29744.317,16368.816,0.914,0.537183,823.37,0.511,4.04,5.12,1D
NILHOF,60023.353,41047.104,1.136,0.298898,105.94,0.198,3.08,4.35,1D
NILLEA,26114.986,20211.888,1.285,0.302554,145.97,0.194,3.36,4.75,1D
NILMAY,25319.612,20061.888,1.316,0.373647,38.66,0.209,2.83,4.44,2D
NILNON,27975.164,20795.292,1.234,0.270905,76.51,0.177,3.33,4.44,1D
NIMDIY,36665.579,52198.906,2.364,0.196507,6.91,0.077,1.63,4.11,2D
NIMGOH,30837.51,25270.608,1.361,0.194281,80.4,0.099,4.07,4.6,1D
NIMJUP,64707.987,29988.512,0.77,0.701581,2782.69,0.809,5.69,7.7,1D
NIMKAW,40160.182,32255.654,1.334,0.303833,302.29,0.173,4.38,5.17,1D
NIMLAZ,58908.911,41319.963,1.165,0.506423,697.8,0.365,3.54,6.67,1D
NIMPII,36150.803,49970.328,2.295,0.220204,123.53,0.079,1.39,5.55,3D
NIMTEI,36394.227,23176.526,1.057,0.470439,263.74,0.382,3.39,4.65,1D
NIMZEP,39734.93,28113.984,1.175,0.189485,2.64,0.106,1.78,4.1,1D
NIMZIT,64336.977,45666.624,1.179,0.278112,60.16,0.173,1.71,4.31,1D
NINBAO,54459.603,12688.824,0.387,0.808482,3444.15,1.971,12.89,14.2,1D
NINBOD,33636.865,21812.32,1.077,0.317633,105.02,0.22,3.04,4.96,1D
NINBUJ,48996.164,29214.144,0.99,0.419107,298.49,0.353,3.72,4.95,1D
NINDEV,22209.13,17650.848,1.32,0.227307,57.91,0.123,1.21,4.86,3D
NINDEW,57132.251,42712.96,1.241,0.154097,77.25,0.084,1.42,4.65,1D
NINDIA,68207.584,45404.256,1.105,0.260625,114.9,0.183,2.12,4.9,1D
NINHIE,29236.129,24468.744,1.39,0.259393,161.24,0.124,1.26,5.8,3D
NINHOK,28939.784,23089.392,1.325,0.227044,124.12,0.111,1.41,5.63,3D
NINHUQ,44314.001,24468.744,0.917,0.594051,1338.46,0.553,4.09,6.82,2D
NINJAY,43818.438,23089.392,0.875,0.593248,1385.08,0.578,4.03,6.88,2D
NINVIQ,29387.163,21549.24,1.218,0.35131,157.17,0.264,2.51,4.49,2D
NIPFUQ,43603.999,31709.088,1.208,0.370037,281.88,0.222,3.77,5.17,1D
NIPJUU,32705.855,34182.432,1.736,0.216326,21.16,0.094,2.92,4.42,1D
NIPREL,20365.891,21817.104,1.779,0.141652,1.97,0.06,1.44,4.07,3D
NIPRIP,44665.37,32725.656,1.217,0.465589,556.53,0.356,3.67,5.36,1D
NIPVOX01,33307.365,25059.84,1.249,0.288162,273.21,0.199,3.38,4.78,1D
NIPVOX,32445.7,25059.84,1.283,0.289881,236.51,0.196,3.61,4.81,1D
NIQDEZ,43181.02,34480.89,1.326,0.346092,233.79,0.207,2.62,5.23,2D
NIQGIF,35437.502,36816.363,1.725,0.183091,27.06,0.078,2.39,4.27,1D
NIQSEO,56919.706,36089.64,1.053,0.569877,1218.42,0.448,4.37,6.09,1D
NIRBOG,51527.264,33953.958,1.094,0.19409,16.67,0.114,1.48,4.18,3D
NIRPIQ,31132.145,19870.272,1.06,0.70002,1110.21,0.447,6.66,6.82,1D
NIRXUH,32211.139,27556.488,1.421,0.342924,107.6,0.185,3.17,4.63,1D
NISPEL,17257.624,12689.472,1.221,0.484494,607.55,0.339,3.79,6.78,1D
NISPEN,32581.457,21660.955,1.104,0.576667,1588.71,0.536,5.41,8.25,2D
NISPIP,45838.331,42298.24,1.532,0.320765,22.06,0.176,2.79,4.23,1D
NISPUD,45749.506,30588.955,1.11,0.546122,762.28,0.431,3.56,6.37,1D
NISQAK,55207.497,37329.274,1.123,0.44624,796.99,0.385,3.9,6.51,1D
NISZAQ,32962.708,25127.04,1.266,0.525364,1126.01,0.408,8.55,9.06,1D
NITJOQ,38935.43,34996.824,1.493,0.449675,296.63,0.24,3.7,5.08,1D
NIVNIQ,21556.635,20711.68,1.595,0.216727,77.44,0.106,1.23,4.92,2D
NIVXIC,41935.707,31424.976,1.244,0.227977,89.68,0.125,2.15,4.6,2D
NIWYAV,61064.617,43146.88,1.173,0.578401,895.42,0.435,7.06,8.19,1D
NIWYEZ,104487.111,61136.32,0.972,0.628276,951.96,0.609,3.4,14.03,3D
NIWYID,33394.528,25071.2,1.247,0.487845,302.09,0.33,3.22,5.06,1D
NIXBUS,28453.425,18171.072,1.06,0.595726,1320.58,0.491,4.5,6.93,1D
NIXQIV,19647.786,17245.44,1.458,0.238102,18.6,0.153,3.02,4.28,1D
NIXSIZ,33854.224,32637.056,1.601,0.131293,11.67,0.05,1.67,4.22,2D
NIXYOK,26904.648,20126.056,1.242,0.118263,39.6,0.061,2.23,5.14,1D
NIYCUV,39274.603,58032,2.454,0.316016,1.5,0.131,3.34,4.13,1D
NIYDUV,36533.048,23806.368,1.082,0.243754,23.29,0.155,1.32,4.32,2D
NIYNOA,34278.173,22925.088,1.111,0.420675,73.25,0.303,2.29,4.32,2D
NIYPAO,35476.738,32575.608,1.525,0.139839,1.95,0.07,1.04,4.15,3D
NIZCEG,34403.792,28725.192,1.386,0.14329,0.88,0.075,1.03,4.11,3D
NIZCIK,32139.069,22222.128,1.148,0.283896,27.96,0.196,3.12,4.41,1D
NIZDAE,33967.249,14381.55,0.703,0.60951,2208.18,0.768,5.59,8.86,1D
NIZDEI,39733.029,34003.536,1.421,0.228461,148.68,0.124,1.33,5.32,2D
NIZNAN,28004.041,20286.954,1.203,0.463008,227.65,0.285,3.19,5.2,1D
NIZNIV,52875.418,61511.04,1.932,0.124091,18.71,0.052,3.14,4.59,1D
NIZPOB,23450.414,16011.216,1.134,0.365973,73.92,0.211,2.84,4.65,3D
NIZQEU,66323.677,49077.696,1.229,0.245751,105.75,0.16,2.8,5.01,1D
NIZQOD,34098.257,18355.536,0.894,0.571675,1983.04,0.585,5.31,7.09,1D
NOBQEB,44662.787,32302.908,1.201,0.199671,95.59,0.126,1.09,4.37,2D
NOCBUC,26721.733,23984.64,1.49,0.333174,266.04,0.179,1.4,5.59,3D
NOCHET,28987.957,38463.85,2.203,0.330171,187.24,0.157,2.98,5.34,1D
NOCHUJ,43436.003,22756.288,0.87,0.557699,588.34,0.516,3.73,5.27,1D
NOCJIZ,20929.362,18027.216,1.43,0.134936,0.73,0.075,3.08,4.11,1D
NOCJUL,38372.815,24745.464,1.071,0.437119,411.68,0.333,2.96,5.05,3D
NOCLOG,68418.469,47325.492,1.149,0.34889,631.15,0.254,4.99,6.48,1D
NOCYIN,30307.184,15590.16,0.854,0.540662,919.07,0.636,3.91,5.72,2D
NODHUM,31606.273,24036.736,1.263,0.187216,3.03,0.094,2.64,4.15,1D
NODKAT,33933.068,24519.264,1.2,0.374882,76.43,0.213,2.56,4.58,1D
NODKUN,43582.134,20058.176,0.764,0.723889,2430.32,0.806,6.55,7.81,1D
NOFDUI,25146.661,18331.712,1.211,0.342395,143.18,0.224,3.63,4.59,1D
NOFMIG01,52572.622,51111.456,1.614,0.179118,132.35,0.078,4.16,4.61,1D
NOFMIG,52513.326,51111.456,1.616,0.181089,132.38,0.077,4.08,4.61,1D
NOFQEG,38731.46,36525.936,1.566,0.227159,55.49,0.117,3.73,4.5,1D
NOGCES,28057.774,17438.592,1.032,0.35729,97.8,0.271,3.1,4.68,1D
NOGSIL,32079.096,24178.176,1.252,0.241353,13.88,0.141,2.1,4.21,2D
NOGYAK,47590.838,35363.664,1.234,0.225123,3.78,0.114,2.09,4.18,1D
NOGYIS,52815.913,37860.79,1.19,0.405292,97.67,0.297,3.1,4.53,1D
NOHBUJ,38493.34,29973.072,1.293,0.257834,155.7,0.136,3.95,4.77,1D
NOHDIY,43477.79,26364,1.007,0.527454,1340.74,0.497,7.14,8.08,1D
NOHFOG,28153.299,31122.648,1.836,0.32924,139.31,0.16,3.36,4.74,1D
NOHFUM,35842.107,31275,1.449,0.429027,696.5,0.256,5.46,6.44,1D
NOHHEZ,30376.984,27843.408,1.522,0.206814,74.33,0.119,2.47,5.27,1D
NOHSUZ,33249.277,14628.222,0.731,0.652191,1600.49,0.762,4.18,6,1D
NOHWAK,35072.216,31195.512,1.477,0.42352,211.26,0.237,2.95,5.04,1D
NOHYOZ,25840.413,20414.022,1.312,0.149214,4.44,0.06,2.18,4.11,3D
NOJCAR01,35975.976,21921.786,1.012,0.25548,59.83,0.194,1.81,4.57,1D
NOJCAR,36917.557,21921.786,0.986,0.271276,119.35,0.216,1.91,4.83,1D
NOJCAS,27316.739,26423.616,1.606,0.162534,1.05,0.063,1.02,4.06,3D
NOJFEY,49282.182,27546.912,0.928,0.494182,393.44,0.458,3.56,4.89,2D
NOJVEO,50063.909,38343.456,1.272,0.207429,6.41,0.108,1.48,4.19,2D
NOJXUG,25550.15,19695.042,1.28,0.099646,68.3,0.061,4,5.33,1D
NOJYIV,26152.968,22016.34,1.398,0.115126,56.95,0.059,2.5,5.34,1D
NOJYOB,32676.329,26093.44,1.326,0.21917,50.23,0.096,2.35,4.69,1D
NOKLIJ,62154.728,57511.584,1.536,0.336803,408.17,0.22,5.29,6.53,1D
NOLPAH,34857.423,22410.682,1.068,0.37271,224.88,0.277,3.5,4.67,1D
NOLTUD,40015.531,34845.715,1.446,0.187029,5.85,0.092,1.98,4.23,1D
NOLVER,27742.251,32487.408,1.945,0.380906,259.44,0.149,3.8,4.93,1D
NOMPUC01,27563.832,21057.03,1.269,0.324219,91.85,0.178,2.3,4.59,1D
NOMPUC,27521.654,20949.03,1.264,0.33044,111.17,0.191,2.29,4.59,1D
NOMQAJ01,30891.033,24473.408,1.316,0.339629,109.61,0.178,3.14,4.74,1D
NOMQUB,54955.722,32539.459,0.983,0.537699,1404.39,0.503,7.03,7.95,1D
NOMVER,35352.193,21542.064,1.012,0.464014,481.32,0.369,3.81,5.57,1D
NOMVIV,46496.101,35151.552,1.255,0.374152,112.89,0.224,2.93,4.79,1D
NONKOQ,38922.357,31061.088,1.325,0.219127,6.51,0.126,3.11,4.27,1D
NOPKAG,88513.796,94229.76,1.768,0.217823,70.16,0.093,1.5,4.91,3D
NOPQUG,30417.815,20473.452,1.118,0.361916,184.69,0.259,3.93,4.74,1D
NOPXIB,88812.05,91750.272,1.715,0.218869,80.41,0.1,1.52,4.97,3D
NOPXOH,93329.543,90216.192,1.605,0.225074,132.54,0.108,1.82,5.14,3D
NOPXUN,97205.29,112285.824,1.918,0.222243,118.64,0.089,1.81,5.13,3D
NOQJEK,32856.9,18263.968,0.923,0.433246,524.96,0.366,3.35,5.07,1D
NOQKOV,33121.845,21219.642,1.064,0.47789,451.91,0.352,3.66,5.18,1D
NOQNOY,42163.684,38556.192,1.518,0.187867,57.8,0.097,1.92,4.43,2D
NOQZAW,51546.327,25188.736,0.811,0.575832,1614.37,0.651,9.9,10.31,1D
NORJEL,25465.477,22349.6,1.457,0.124925,5.95,0.058,1.35,4.4,1D
NORNUF,26769.666,16802.88,1.042,0.695997,1828.82,0.65,6.57,8.53,2D
NORPAN,41166.749,30979.84,1.25,0.65911,1412.24,0.518,6.85,8.4,1D
NORPER,28898.47,16512,0.949,0.720572,1915.42,0.723,5.92,11.01,1D
NORRIW,25824.802,19695.042,1.266,0.104745,73.16,0.06,3.93,5.39,1D
NOSBOO,24753.393,15534.816,1.042,0.594762,1625.39,0.492,6.24,7.71,2D
NOSHAG,37946.114,39259.008,1.718,0.384747,117.8,0.186,3.04,4.96,2D
NOSHEK,32968.139,35516.544,1.789,0.484098,303.13,0.248,3.4,5.33,1D
NOSHIO,30921.297,35516.544,1.907,0.436685,145.48,0.208,3.03,4.94,3D
NOSJIQ,58131.921,73594.048,2.102,0.185681,115.56,0.08,3.96,5.99,1D
NOTFOT,42394.663,50408.64,1.974,0.277764,67.66,0.133,3.05,4.98,2D
NOTJIR,52610.405,66080.512,2.086,0.171834,14.62,0.088,2.72,4.45,1D
NOTJOX,52141.344,66157.984,2.107,0.1688,12.47,0.086,2.72,4.43,1D
NOTRUL,48065.328,22354.128,0.772,0.631371,2243.31,0.864,5.11,6.91,1D
NOTWAW,32696.104,24603.2,1.25,0.287838,152.44,0.185,2.87,5.13,2D
NOWHIQ,48531.606,36947.328,1.264,0.332764,250.36,0.231,3.08,5.03,1D
NOXXUV,42882.363,32636.362,1.264,0.200057,100.55,0.118,2.58,4.86,1D
NOZQEY,27819.674,9737.04,0.581,0.686862,3547.41,1.07,5.04,6.63,1D
NOZZOT,59145.799,36541.881,1.026,0.592559,1256.86,0.478,4.57,6.79,2D
NUCBIY,44400.929,15853.376,0.593,0.725245,3252.52,1.084,5.86,7.51,1D
NUCBOE,35065.096,15646.752,0.741,0.620425,1964.09,0.703,6.39,9.03,3D
NUCCUK,38735.23,26647.488,1.142,0.292874,210.66,0.207,3.14,4.59,1D
NUCDEV,21898.865,9992.808,0.758,0.553262,1342.68,0.675,4.41,5.8,1D
NUCPEI,29442.52,19000.96,1.072,0.633258,865.26,0.464,3.86,6.58,2D
NUCROT,36104.593,32156.568,1.479,0.292193,162.83,0.169,2.99,4.88,2D
NUCSUA01,40021.279,38625.39,1.603,0.163867,37.79,0.081,1.16,4.62,2D
NUCSUA,40021.279,38733.39,1.607,0.165359,34.08,0.078,1.17,4.68,2D
NUCTAH01,39755.758,38339.946,1.601,0.164601,35.89,0.08,1.15,4.59,2D
NUCWAL,30529.884,12281.208,0.668,0.590957,2796.04,0.809,6.48,7.4,1D
NUDDUM,31079.899,33216,1.775,0.376846,170.78,0.18,2.61,5.22,2D
NUDFAU,27358.911,36864,2.237,0.246285,189.76,0.099,3.5,5.49,1D
NUDFIC,68641.65,78534.272,1.9,0.271794,69.36,0.087,2.48,6.27,1D
NUDHAX,37549.443,32099.616,1.42,0.264075,19.21,0.136,2.1,4.2,3D
NUDHEB,23292.708,19491.552,1.39,0.143721,30.02,0.065,1.33,4.35,1D
NUDLIJ,30519.437,20972.592,1.141,0.509596,878.89,0.362,5.33,6.83,1D
NUDLOP01,43710.969,31458.888,1.195,0.464581,699.28,0.317,4.99,6.08,1D
NUDLOP,43774.668,31458.888,1.193,0.473487,737.62,0.324,5.11,6.1,1D
NUDLUU,43609.288,36637.584,1.395,0.133124,15.44,0.073,2.24,4.48,1D
NUFBOH,44462.676,30565.44,1.142,0.559437,556.41,0.399,3.18,5.84,1D
NUFRAI,51268.157,54335.808,1.76,0.12288,1.93,0.053,1.05,4.21,3D
NUFVIV,32159.015,33989.836,1.755,0.12751,89.69,0.077,2.07,5.85,1D
NUFYES,37139.031,14883.048,0.665,0.699584,2249.84,0.89,6.52,8.51,1D
NUGBUO,33695.525,19538.46,0.963,0.340493,233.88,0.275,2.99,6.9,3D
NUGHON,34019.05,11068.678,0.54,0.738369,2197.02,1.303,12.58,13.66,1D
NUGKAC,33101.668,24260.736,1.217,0.276124,187.47,0.165,2.01,4.64,2D
NUGNEK,28760.2,22028.184,1.272,0.222896,2.04,0.164,1.79,4.14,1D
NUHGOM,27536.861,18907.92,1.14,0.249961,6.88,0.212,3.07,4.21,1D
NUHLIM,66335.177,17438.464,0.437,0.787812,5346.8,1.678,7.39,8.72,2D
NUHLOS,51856.948,38077.056,1.219,0.172385,61.7,0.078,1.12,4.5,3D
NUHLUY,51798.845,38061.696,1.22,0.193307,74.68,0.104,1.17,4.69,1D
NUHNIO,30441.073,10771.947,0.588,0.65099,3690.42,1.017,5.33,6.28,2D
NUHNOU,30187.787,10946.286,0.602,0.639335,3560,0.973,5.3,6.19,1D
