Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
QAGKIU,2011,1.323,0.26966,149.57,0,0.162,0,2.67,4.77,1.786516854,1D,[1.3 - 1.4),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAGKIU
QAGWEC,2011,0.958,0.477816,158.83,149.56,0.423,0.423,3.2,4.67,1.459375,2D,[0.8 - 1.0),[0.4 - 0.5),[150 - 200),[100-200),[0.4 - 0.5),[0.4-0.5),[3.0-3.3),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAGWEC
QAGWIG,2011,0.968,0.465904,484.82,474,0.412,0.405,3.87,5.02,1.297157623,1D,[0.8 - 1.0),[0.4 - 0.5),[400 - 500),[400-500),[0.4 - 0.5),[0.4-0.5),[3.8-4.0),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAGWIG
QAGWOM,2011,0.857,0.512686,1080.23,1057.6,0.519,0.502,4.51,5.31,1.177383592,1D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.5 - 0.6),[0.5-0.6),[4.5-5.0),[5.3-5.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAGWOM
QAGXED,2011,1.014,0.418513,58.9,64.35,0.357,0.262,3.41,4.42,1.296187683,1D,[1.0 - 1.1),[0.4 - 0.5),[50 - 100),[50-100),[0.3 - 0.4),[0.2-0.3),[3.3-3.6),[4.4-4.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAGXED
QAHBEI,2011,1.08,0.427538,619.93,0,0.307,0,2.44,6.49,2.659836066,1D,[1.0 - 1.1),[0.4 - 0.5),[600 - 800),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.2-2.6),[6.0-6.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAHBEI
QAHVIG,2011,0.994,0.540559,792.46,774.99,0.422,0.407,3.98,5.03,1.263819095,1D,[0.8 - 1.0),[0.5 - 0.6),[600 - 800),[600-800),[0.4 - 0.5),[0.4-0.5),[3.8-4.0),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAHVIG
QAJHOA,2011,1.191,0.302449,133.2,0,0.175,0,1.82,5.14,2.824175824,2D,[1.1 - 1.2),[0.3 - 0.4),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAJHOA
QALGUH,2011,0.994,0.639326,1394,1369.01,0.54,0.545,7.16,7.59,1.060055866,1D,[0.8 - 1.0),[0.6 - 0.7),[1250 - 1500),[1000-1500),[0.5 - 0.6),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QALGUH
QQQFUY01,2011,1.733,0.122804,29.64,33.74,0.064,0.065,3.93,4.28,1.089058524,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[3.8-4.0),[4.2-4.3),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QQQFUY01
QURZUZ,2011,1.949,0.183811,80.65,0,0.067,0,1.45,5.78,3.986206897,1D,[1.8 - 2.0),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[5.6-6.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QURZUZ
QUSBUC,2011,1.193,0.520537,17.5,11.53,0.365,0.3,3.5,4.22,1.205714286,2D,[1.1 - 1.2),[0.5 - 0.6),[0 - 50),[0.05-50),[0.3 - 0.4),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QUSBUC
RABNIT,2011,0.738,0.733104,2806.96,2779.6,1.004,1,6.8,8.83,1.298529412,1D,[0.6 - 0.8),[0.7 - 0.8),[2000 - 3000),[2000-3000),[1.0 - 1.5),[1.0-1.25),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RABNIT
RACZEC,2011,1.515,0.318696,335.05,337.87,0.172,0.168,4.87,5.51,1.131416838,1D,[1.5 - 1.6),[0.3 - 0.4),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[5.3-5.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RACZEC
RACZIG,2011,1.54,0.322141,336.23,320.37,0.169,0.166,4.87,5.51,1.131416838,1D,[1.5 - 1.6),[0.3 - 0.4),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[5.3-5.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RACZIG
RADBEF,2011,1.364,0.180369,138.65,0,0.099,0,3.2,6.4,2,1D,[1.3 - 1.4),[0.1 - 0.2),[100 - 150),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[3.0-3.3),[6.0-6.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RADBEF
RUBTAK02,2011,1.217,0.57206,836.61,744.21,0.427,0.391,3.69,8.9,2.411924119,2D,[1.2 - 1.3),[0.5 - 0.6),[800 - 1000),[600-800),[0.4 - 0.5),[0.3-0.4),[3.6-3.8),[8.0-10.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUBTAK02
RUTPUS,2011,1.228,0.437249,406.24,379.27,0.291,0.28,3.49,5.82,1.667621777,2D,[1.2 - 1.3),[0.4 - 0.5),[400 - 500),[300-400),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUTPUS
RUVCAN,2011,1.58,0.165395,2.59,0,0.067,0,2.06,4.12,2,1D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUVCAN
RUVFAQ,2011,0.919,0.492862,539.75,512.4,0.41,0.402,3.53,5.76,1.631728045,1D,[0.8 - 1.0),[0.4 - 0.5),[500 - 600),[500-600),[0.4 - 0.5),[0.4-0.5),[3.3-3.6),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUVFAQ
RUVFEU,2011,1.026,0.458024,279.9,284.39,0.324,0.321,3.4,5.14,1.511764706,2D,[1.0 - 1.1),[0.4 - 0.5),[200 - 300),[200-300),[0.3 - 0.4),[0.3-0.4),[3.3-3.6),[5.0-5.3),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUVFEU
RUVFIY,2011,1.098,0.410551,112.33,96.1,0.26,0.242,3.16,4.78,1.512658228,1D,[1.0 - 1.1),[0.4 - 0.5),[100 - 150),[50-100),[0.2 - 0.3),[0.2-0.3),[3.0-3.3),[4.6-4.8),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUVFIY
RUVFOE,2011,1.136,0.352558,198.44,0,0.212,0,1.19,4.75,3.991596639,2D,[1.1 - 1.2),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.0-1.4),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUVFOE
RUVMAX,2011,1.397,0.3016,192.98,186.02,0.164,0.158,4.15,4.69,1.130120482,1D,[1.3 - 1.4),[0.3 - 0.4),[150 - 200),[100-200),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[4.6-4.8),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUVMAX
RUVMOL,2011,1.051,0.54508,813.46,813.26,0.438,0.438,3.64,6.86,1.884615385,3D,[1.0 - 1.1),[0.5 - 0.6),[800 - 1000),[800-1000),[0.4 - 0.5),[0.4-0.5),[3.6-3.8),[6.5-7.0),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUVMOL
RUVYUD,2011,0.891,0.644661,2027.68,2025.44,0.657,0.661,6.5,7.21,1.109230769,1D,[0.8 - 1.0),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUVYUD
RUWWOW01,2011,1.608,0.274864,63.15,66.67,0.137,0.134,3.48,4.64,1.333333333,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.6-4.8),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUWWOW01
RUWWOW,2011,1.607,0.270884,63.27,64.89,0.133,0.13,3.47,4.63,1.334293948,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.6-4.8),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUWWOW
RUWWUC,2011,1.61,0.295762,98.92,104.03,0.143,0.14,3.75,4.75,1.266666667,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[100-200),[0.1 - 0.2),[0.1-0.2),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUWWUC
RUWXAJ,2011,1.592,0.286364,85.56,91.03,0.139,0.137,3.75,4.86,1.296,1D,[1.5 - 1.6),[0.2 - 0.3),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.6-3.8),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUWXAJ
RUWXEN,2011,1.588,0.284557,79.01,77.33,0.139,0.143,3.56,4.62,1.297752809,1D,[1.5 - 1.6),[0.2 - 0.3),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUWXEN
RUZDAS,2011,1.599,0.299688,131.57,133.13,0.177,0.178,3.43,4.45,1.297376093,1D,[1.5 - 1.6),[0.2 - 0.3),[100 - 150),[100-200),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.4-4.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUZDAS
RUZFEY,2011,1.371,0.154886,16.28,0,0.073,0,2.51,4.29,1.709163347,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUZFEY
SADBAC,2011,1.942,0.083197,20.95,0,0.04,0,2.56,4.59,1.79296875,1D,[1.8 - 2.0),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.5-4.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SADBAC
SADCUX,2011,1.497,0.364258,900.67,903.92,0.233,0.23,5.1,5.89,1.154901961,1D,[1.4 - 1.5),[0.3 - 0.4),[800 - 1000),[800-1000),[0.2 - 0.3),[0.2-0.3),[5.0-6.0),[5.6-6.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SADCUX
SADFAG,2011,0.696,0.75899,2871.14,2847.72,1.035,1.028,8.42,9.48,1.125890736,1D,[0.6 - 0.8),[0.7 - 0.8),[2000 - 3000),[2000-3000),[1.0 - 1.5),[1.0-1.25),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SADFAG
SADMOB,2011,1.121,0.505514,860.29,856.48,0.386,0.39,5.63,5.92,1.051509769,1D,[1.1 - 1.2),[0.5 - 0.6),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[5.0-6.0),[5.6-6.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SADMOB
SADMUH,2011,0.983,0.628021,1389.01,1395.42,0.55,0.55,7.28,7.78,1.068681319,1D,[0.8 - 1.0),[0.6 - 0.7),[1250 - 1500),[1000-1500),[0.5 - 0.6),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SADMUH
SAZTIX01,2011,0.352,0.851675,2914.32,2916.21,2.33,2.332,18.68,19.08,1.021413276,1D,[0.0 - 0.6),[0.8 - 0.9),[2000 - 3000),[2000-3000),[2.0 - 7.0],[2.0-4.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAZTIX01
SUGWEX01,2011,1.368,0.284526,280.12,280.38,0.142,0.141,4.74,6.32,1.333333333,1D,[1.3 - 1.4),[0.2 - 0.3),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[6.0-6.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUGWEX01
SUPSIG03,2011,1.323,0.381174,90.66,90.92,0.247,0.243,3.64,4.99,1.370879121,1D,[1.3 - 1.4),[0.3 - 0.4),[50 - 100),[50-100),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUPSIG03
SUSQIH,2011,1.126,0.363961,23.91,0,0.26,0,2.89,4.22,1.460207612,1D,[1.1 - 1.2),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUSQIH
SUTBIT,2011,0.855,0.693256,1628.87,1409.84,0.651,0.613,7.78,8.28,1.064267352,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1000-1500),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUTBIT
SUTNOL,2011,1.301,0.266769,61.23,0,0.155,0,2.88,4.53,1.572916667,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUTNOL
SUTNUR,2011,1.278,0.286965,89.57,0,0.17,0,3.04,4.6,1.513157895,1D,[1.2 - 1.3),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.6-4.8),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUTNUR
SUTQEE,2011,0.713,0.590129,1992.07,1985.64,0.728,0.73,8.27,9.55,1.1547763,1D,[0.6 - 0.8),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUTQEE
SUTROP,2011,1.712,0.229038,30.17,0,0.087,0,1.35,4.42,3.274074074,1D,[1.6 - 1.8),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUTROP
SUTTIL,2011,1.391,0.218951,57.93,0,0.122,0,1.38,4.52,3.275362319,2D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUTTIL
SUVMAY,2011,0.708,0.594683,2675.66,2692.38,0.76,0.763,6.15,6.69,1.087804878,1D,[0.6 - 0.8),[0.5 - 0.6),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[6.5-7.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUVMAY
SUVZOZ,2011,1.086,0.630326,1524.49,1533.41,0.529,0.529,6.93,7.69,1.10966811,1D,[1.0 - 1.1),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUVZOZ
TABDUX,2011,1.488,0.342138,201.64,199.51,0.203,0.2,3.99,5.04,1.263157895,1D,[1.4 - 1.5),[0.3 - 0.4),[200 - 300),[100-200),[0.2 - 0.3),[0.2-0.3),[3.8-4.0),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TABDUX
TABLUF,2011,1.18,0.296294,80.22,0,0.178,0,3.22,4.41,1.369565217,1D,[1.1 - 1.2),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.4-4.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TABLUF
TACJEO,2011,0.81,0.605349,1579.26,1544.06,0.654,0.64,4.25,6.55,1.541176471,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[4.0-4.5),[6.5-7.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TACJEO
TACYIH,2011,1.476,0.251265,8.99,0,0.109,0,1.95,4.16,2.133333333,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TACYIH
TACYON,2011,1.428,0.283198,49.76,0,0.137,0,2.36,4.45,1.88559322,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.4-4.5),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TACYON
TADGIQ,2011,1.175,0.384022,2.8,0,0.266,0,2.85,4.16,1.459649123,2D,[1.1 - 1.2),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TADGIQ
TAFBIN,2011,1.667,0.200133,15.16,0,0.087,0,2.9,4.39,1.513793103,1D,[1.6 - 1.8),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.3-4.4),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAFBIN
TAFCIO,2011,1.584,0.135235,27.55,0,0.053,0,2.82,4.81,1.705673759,1D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.8-5.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAFCIO
TAFSIE,2011,3.217,0.153222,28.63,0,0.045,0,2.06,4.75,2.305825243,2D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAFSIE
TAFYAC,2011,1.437,0.469682,978.52,975.77,0.301,0.299,6.29,7.76,1.233704293,2D,[1.4 - 1.5),[0.4 - 0.5),[800 - 1000),[800-1000),[0.3 - 0.4),[0.2-0.3),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAFYAC
TAFYEG,2011,1.499,0.433142,829.22,777.51,0.269,0.27,5.22,7.76,1.486590038,2D,[1.4 - 1.5),[0.4 - 0.5),[800 - 1000),[600-800),[0.2 - 0.3),[0.2-0.3),[5.0-6.0),[7.0-8.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAFYEG
TAGNEW,2011,3.068,0.363393,254.35,176.67,0.129,0.105,3.36,7.19,2.139880952,1D,[2.0 - 7.0],[0.3 - 0.4),[200 - 300),[100-200),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[7.0-8.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAGNEW
TAGNUM,2011,1.062,0.385403,416.41,0,0.283,0,3.12,6.68,2.141025641,1D,[1.0 - 1.1),[0.3 - 0.4),[400 - 500),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[6.5-7.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAGNUM
TAGSOL,2011,1.468,0.3555,256.93,243.14,0.205,0.193,3.56,4.88,1.370786517,1D,[1.4 - 1.5),[0.3 - 0.4),[200 - 300),[200-300),[0.2 - 0.3),[0.1-0.2),[3.3-3.6),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAGSOL
TAHQAW,2011,1.411,0.08679,14.87,0,0.043,0,1.13,4.52,4,3D,[1.4 - 1.5),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.5-4.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAHQAW
TAJLIB,2011,0.94,0.439209,1180.69,1180.67,0.474,0.475,5.39,6.73,1.248608534,1D,[0.8 - 1.0),[0.4 - 0.5),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAJLIB
TAJPIF,2011,1.527,0.302228,6.18,0,0.18,0,2.76,4.17,1.510869565,1D,[1.5 - 1.6),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAJPIF
TAJPUR,2011,1.706,0.160177,0.65,0,0.087,0,2.29,4.1,1.790393013,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAJPUR
TAJQEC,2011,1.614,0.255979,82.4,0,0.147,0,2.27,4.85,2.136563877,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.8-5.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAJQEC
TAKNIE,2011,1.297,0.365811,251.2,0,0.204,0,3.29,4.81,1.462006079,1D,[1.2 - 1.3),[0.3 - 0.4),[200 - 300),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAKNIE
TUZXIW,2011,3.766,0.125608,21.93,0,0.035,0,3.31,5.4,1.63141994,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[3.3-3.6),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUZXIW
UBACUX,2011,1.228,0.400368,537.76,0,0.275,0,2.96,6.84,2.310810811,1D,[1.2 - 1.3),[0.4 - 0.5),[500 - 600),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[6.5-7.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UBACUX
UBALIU,2011,1.57,0.197995,56.7,0,0.082,0,2.16,4.62,2.138888889,2D,[1.5 - 1.6),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UBALIU
UBAMAN,2011,2.091,0.110129,6.9,0,0.037,0,1.08,4.31,3.990740741,3D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UBAMAN
UJAQUS,2011,1.408,0.167157,12.6,0,0.087,0,1.09,4.37,4.009174312,2D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.3-4.4),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UJAQUS
UJATAB,2011,1.686,0.212665,57.66,0,0.094,0,1.61,4.55,2.826086957,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UJATAB
UJATUV,2011,1.764,0.145158,1.13,0,0.061,0,1.6,4.05,2.53125,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UJATUV
UJAVAD,2011,1.793,0.145899,1.36,0,0.06,0,1.6,4.06,2.5375,2D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UJAVAD
UJEDIX,2011,1.535,0.299278,31.32,0,0.166,0,2.95,4.46,1.511864407,3D,[1.5 - 1.6),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.4-4.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UJEDIX
