Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
USUBUG,2011,1.137,0.533424,815.51,790.13,0.442,0.435,4.65,5.06,1.088172043,2D,[1.1 - 1.2),[0.5 - 0.6),[800 - 1000),[600-800),[0.4 - 0.5),[0.4-0.5),[4.5-5.0),[5.0-5.3),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=USUBUG
UTIZUT,2011,0.853,0.635973,1643.64,1488.17,0.655,0.647,4.52,6.83,1.511061947,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1000-1500),[0.6 - 0.8),[0.6-0.8),[4.5-5.0),[6.5-7.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UTIZUT
UTODIR,2011,1.294,0.198186,1.98,0,0.11,0,2.63,4.12,1.566539924,2D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UTODIR
UTOTIH,2011,1.798,0.066199,4.52,0,0.022,0,1.39,4.55,3.273381295,3D,[1.6 - 1.8),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UTOTIH
UTUMAY,2011,1.233,0.316631,0.95,0,0.177,0,2.47,4.03,1.631578947,1D,[1.2 - 1.3),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UTUMAY
UTUQAC,2011,1.008,0.387629,1.57,1.78,0.34,0.328,3.58,4.14,1.156424581,1D,[1.0 - 1.1),[0.3 - 0.4),[0 - 50),[0.05-50),[0.3 - 0.4),[0.3-0.4),[3.3-3.6),[4.0-4.2),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UTUQAC
UTUQEG,2011,1.193,0.409705,33.2,35.09,0.304,0.304,3.62,4.27,1.179558011,1D,[1.1 - 1.2),[0.4 - 0.5),[0 - 50),[0.05-50),[0.3 - 0.4),[0.3-0.4),[3.6-3.8),[4.2-4.3),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UTUQEG
UTUQIK,2011,1.335,0.397612,18.17,17.29,0.267,0.258,3.45,4.26,1.234782609,1D,[1.3 - 1.4),[0.3 - 0.4),[0 - 50),[0.05-50),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UTUQIK
UVAPEN,2011,1.357,0.309626,342.44,339.52,0.163,0.164,4.14,5.77,1.393719807,1D,[1.3 - 1.4),[0.3 - 0.4),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVAPEN
UVARIT,2011,1.225,0.262459,27.9,0,0.143,0,2.83,4.44,1.568904594,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.4-4.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVARIT
UVAROZ,2011,1.229,0.263447,30.31,0,0.14,0,2.99,4.52,1.511705686,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVAROZ
UVARUF,2011,1.248,0.264984,22.29,0,0.138,0,3.07,4.49,1.462540717,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.4-4.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVARUF
UVASAM,2011,1.224,0.262225,29.99,0,0.142,0,2.82,4.42,1.567375887,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.4-4.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVASAM
UVEVEX,2011,0.992,0.592283,352.66,346.15,0.514,0.513,3.48,4.92,1.413793103,1D,[0.8 - 1.0),[0.5 - 0.6),[300 - 400),[300-400),[0.5 - 0.6),[0.5-0.6),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVEVEX
UVOCUE,2011,1.312,0.234018,39.1,0,0.138,0,2.13,4.55,2.136150235,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVOCUE
UVODAL,2011,1.277,0.19566,11.52,0,0.116,0,1.99,4.26,2.140703518,2D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVODAL
UVUPOR,2011,0.683,0.747442,2651.7,2685.53,0.952,0.949,5.42,8.86,1.634686347,1D,[0.6 - 0.8),[0.7 - 0.8),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[5.0-6.0),[8.0-10.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVUPOR
UVUPUX,2011,1.191,0.382964,83.56,56.51,0.244,0.176,3.36,4.75,1.413690476,1D,[1.1 - 1.2),[0.3 - 0.4),[50 - 100),[50-100),[0.2 - 0.3),[0.1-0.2),[3.3-3.6),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVUPUX
UVUQAE,2011,1.253,0.354854,189.62,190.86,0.214,0.21,3.29,5.61,1.705167173,2D,[1.2 - 1.3),[0.3 - 0.4),[150 - 200),[100-200),[0.2 - 0.3),[0.2-0.3),[3.0-3.3),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVUQAE
UWAGAB01,2011,0.578,0.762268,2954.43,2951.88,1.183,1.174,8.61,10.63,1.234610918,1D,[0.0 - 0.6),[0.7 - 0.8),[2000 - 3000),[2000-3000),[1.0 - 1.5),[1.0-1.25),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UWAGAB01
UWAGAB02,2011,0.578,0.764065,2982.37,3000.92,1.187,1.183,8.55,10.89,1.273684211,3D,[0.0 - 0.6),[0.7 - 0.8),[2000 - 3000),[5000-10500],[1.0 - 1.5),[1.0-1.25),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UWAGAB02
UWAGAB03,2011,0.576,0.772793,3134.35,3128.92,1.204,1.198,8.14,11.34,1.393120393,3D,[0.0 - 0.6),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.0-1.25),[10.0-72.0],[8.0-72.0],[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UWAGAB03
UWAGAB04,2011,0.579,0.763737,2977.39,3006.84,1.174,1.174,8.6,10.95,1.273255814,1D,[0.0 - 0.6),[0.7 - 0.8),[2000 - 3000),[5000-10500],[1.0 - 1.5),[1.0-1.25),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UWAGAB04
UWIJOA,2011,1.001,0.604692,1088.1,1087.68,0.54,0.537,4.23,5.1,1.205673759,1D,[1.0 - 1.1),[0.6 - 0.7),[1000 - 1250),[1000-1500),[0.5 - 0.6),[0.5-0.6),[4.0-4.5),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UWIJOA
