Refcode,Density (g/cm3),"Void fraction, F(He,T) (-)","Surface area, S(AC,T) (m2/g)","Pore volume, V(PO,T) (cm3/g)",Pore limiting diameter (A),Largest cavity diameter (A),Ratio LCD/PLD (-)
ARUCUN,1.17,0.344026,216.63,0.224,2.14,4.95,2.313084112
ASABOL,1.471,0.171104,3.09,0.063,2.42,4.13,1.70661157
ASACEC,1.325,0.195618,11.01,0.094,2.1,4.21,2.004761905
ASAFEF,1.297,0.341175,543.04,0.225,5.27,5.68,1.077798861
ASAJUZ,1.633,0.267849,83.96,0.129,1.82,4.61,2.532967033
ASALOV,1.388,0.277254,20.31,0.123,2.28,4.3,1.885964912
ASAMAK,1.058,0.584887,1636.85,0.497,6.11,7.55,1.235679214
ASAYOJ,1.409,0.098534,0.27,0.047,1.23,4.02,3.268292683
ASEKUE,0.922,0.440725,641.51,0.459,3.63,5.13,1.41322314
ASELIV,1.663,0.104691,11.93,0.039,1.69,4.79,2.834319527
ASEPOD,1.031,0.403935,620.51,0.327,4.08,5.03,1.232843137
ASIQEA,0.902,0.526036,1203.29,0.485,6.1,8.76,1.436065574
ASIQIE,0.893,0.5351,1234.02,0.499,6.08,8.88,1.460526316
ASIQUQ,1.029,0.571033,1470.6,0.518,4.57,9.96,2.179431072
ASIVAZ,1.071,0.30476,589.79,0.24,5.66,7.34,1.296819788
ASUBIB,1.777,0.249574,17.27,0.096,2.24,4.48,2
ASUBIZ,1.103,0.520127,822.34,0.377,3.96,5.99,1.512626263
ASUGOK,1.231,0.296967,30.89,0.184,2.79,4.37,1.566308244
ASULAD,1.141,0.229158,32.59,0.149,2.99,4.36,1.45819398
ATADEG,1.483,0.197851,123.9,0.09,3.79,4.92,1.298153034
ATAPER,0.748,0.768799,1228.65,0.976,15.76,16.43,1.04251269
ATARAP,1.336,0.197372,0.54,0.11,3.03,4.04,1.333333333
ATEGOX,0.801,0.619095,1931.47,0.669,6.37,8.8,1.381475667
ATEHOY,1.11,0.430221,539.41,0.306,3.38,5.52,1.633136095
ATEQEX,1.523,0.216724,88.27,0.101,3.37,4.77,1.415430267
ATERAU,1.433,0.30594,79.92,0.175,3.72,4.59,1.233870968
ATESAV,1.211,0.332367,280.56,0.206,4.29,5.42,1.263403263
ATEVOK,0.674,0.642976,2298.52,0.85,7.26,8.47,1.166666667
ATEYAB,1.069,0.403351,262.44,0.286,3.22,4.87,1.51242236
ATEYEF,1.365,0.221794,0.15,0.087,2,4,2
ATIBIP,1.103,0.327997,187.99,0.236,3.01,4.91,1.631229236
ATIBOU01,1.592,0.295558,201.47,0.192,3.26,4.94,1.515337423
ATIBOU02,1.589,0.297112,208.13,0.192,3.4,4.96,1.458823529
ATIBOU,1.662,0.26846,113.69,0.169,3.34,4.59,1.374251497
ATIBUA,1.675,0.258982,98.63,0.162,3.04,4.77,1.569078947
ATICAH,1.595,0.28933,183.15,0.187,3.3,4.99,1.512121212
ATICUD,0.755,0.62007,2361.29,0.811,5.2,6.01,1.155769231
ATIDAK,1.126,0.310581,210.36,0.203,3.93,5.1,1.297709924
ATISUR,0.538,0.596512,2833.3,1.007,7.38,9.91,1.342818428
ATIZUA,1.123,0.466003,175.45,0.323,3.4,4.67,1.373529412
ATOJOI,2.238,0.049194,0.04,0.016,1.24,4.03,3.25
ATOMAX,0.645,0.724254,2955.62,1.094,6.87,8.14,1.184861718
ATUQUB,0.829,0.592898,1838.15,0.651,7.22,8.17,1.131578947
ATUYEU,1.132,0.30606,67.23,0.2,3.49,4.31,1.23495702
ATUYUK,0.72,0.60873,1490.6,0.79,11.11,11.99,1.079207921
AVAGIP,1.465,0.158977,55.28,0.07,4.05,4.4,1.086419753
AVAPIW,1.123,0.351408,668.04,0.25,4.73,6.69,1.414376321
AVAQIX01,1.394,0.349919,149.33,0.201,1.84,5.19,2.820652174
AVAQIX,1.372,0.367343,174.1,0.213,2.08,5.26,2.528846154
AVASUM,1.361,0.162421,21.46,0.077,1.64,4.64,2.829268293
AVATAT,1.953,0.185289,49.73,0.056,2.09,5.25,2.511961722
AVAXOL,1.686,0.082836,5.14,0.023,0.81,4.54,5.604938272
AVAYUS,1.156,0.250906,37.25,0.156,3.17,4.35,1.372239748
AVAZOO,1.062,0.559262,1332.06,0.469,5.27,7.34,1.392789374
AVEHAM,1.209,0.258911,7.4,0.136,3.46,4.17,1.205202312
AVEROJ,1.697,0.531651,679.5,0.281,6.55,6.88,1.050381679
AVEVAZ,1.372,0.368466,185.89,0.209,2.64,4.51,1.708333333
AVILAT,1.415,0.283811,260.01,0.158,1.35,5.4,4
AVIMOI,1.291,0.358782,225.74,0.208,3.84,4.86,1.265625
AVIMUO,1.309,0.285104,30.64,0.159,3.31,4.41,1.332326284
AVINAV,1.232,0.204775,99.64,0.126,2.58,4.87,1.887596899
AVIQEC,1.461,0.12495,0.36,0.068,1.46,4.13,2.828767123
AVOJAW,1.249,0.115317,2.46,0.061,1.03,4.1,3.980582524
AVOSUA,1.22,0.277947,354.87,0.201,4.54,5.48,1.207048458
AVOWIT,1.19,0.559561,995.15,0.414,6.87,8.86,1.289665211
AVOZAO,1.464,0.148821,23.73,0.07,1.16,4.65,4.00862069
AVUBIC,0.893,0.528154,454.08,0.481,4.06,4.9,1.206896552
AVUCEA,1.044,0.485002,532.96,0.415,3.5,6.11,1.745714286
AVUDAX,1.141,0.379678,368.95,0.27,3.33,5.44,1.633633634
AVUGAB,1.241,0.212249,18.79,0.119,2.22,4.43,1.995495495
AVUWIZ,0.655,0.640087,2307.93,0.846,5.86,9.2,1.56996587
AVUXUL,1.454,0.134635,13.29,0.08,1.87,4.32,2.310160428
AVUYAS,1.5,0.133192,10.83,0.074,1.66,4.21,2.536144578
AVUYEW,1.49,0.148354,19.85,0.092,0.77,4.33,5.623376623
AVUZAS,0.578,0.705728,2908.89,1.157,8.67,9.19,1.059976932
AWAGOV,1.183,0.282111,372.27,0.182,3.91,7.59,1.941176471
AWAKEQ,1.222,0.209481,209.86,0.128,3.41,5.35,1.568914956
AWASAU,2.476,0.17996,13.49,0.062,3.26,4.35,1.334355828
AWASIC,1.286,0.584274,1181.37,0.447,5.83,8.82,1.512864494
AWASOI,2.542,0.086278,4.78,0.027,1.39,4.54,3.26618705
AWEBIO,2.007,0.194687,16.32,0.051,2.36,4.72,2
AWEDOW,0.954,0.48953,1039.76,0.413,7.38,8.11,1.098915989
AWEGEP,2.275,0.311851,126.87,0.132,2.92,5.83,1.996575342
AWELIX,0.902,0.515613,1647.18,0.542,7.23,7.73,1.069156293
AWERIE,1.112,0.581225,1250.9,0.468,5.49,6.78,1.234972678
AWESAX,0.946,0.397437,419.52,0.36,3.33,5.04,1.513513514
AWESEB,0.962,0.40284,437.02,0.357,3.34,5.05,1.511976048
AWESUR,0.995,0.394852,768.48,0.324,5.94,6.19,1.042087542
AWEZOS01,1.534,0.120901,45.34,0.052,3.02,5.41,1.791390728
AWEZOS,1.534,0.120095,44.53,0.051,3,5.37,1.79
AWIBAK,1.534,0.121503,46.44,0.052,2.88,5.43,1.885416667
AWIBAL,1.75,0.339658,35.28,0.152,3.38,4.39,1.298816568
AWIBEO,1.567,0.119647,45.09,0.05,3.07,5.49,1.788273616
AWIBIS,1.56,0.124235,48.44,0.053,3.04,5.43,1.786184211
AWIQIG,1.394,0.177347,12.22,0.132,3.43,4.23,1.233236152
AWOVIS,0.728,0.591262,2699.27,0.766,5.43,6.78,1.248618785
AWUPAJ,1.501,0.151448,0.5,0.074,1.25,4.09,3.272
AXAFIO,0.726,0.729425,3096.36,1.021,6.9,9.4,1.362318841
AXANAO,1.422,0.536035,654.44,0.385,12.68,13.02,1.02681388
AXAWED,1.388,0.218172,158.61,0.125,4.09,4.53,1.107579462
AXAWIH,1.6,0.207685,70.51,0.1,3.85,4.44,1.153246753
AXEBUB,1.941,0.049157,36.08,0.025,0.8,6.4,8
AXENAS,1.207,0.298267,147.38,0.181,2.6,4.91,1.888461538
AXENEW,1.286,0.242251,54.81,0.155,3.26,4.48,1.374233129
AXEWAB,1.222,0.219353,291.77,0.14,4.19,5.18,1.23627685
AXILEY,0.654,0.694695,2738.69,0.911,4.63,7.27,1.570194384
AXINAW,1.405,0.246874,160.02,0.143,2.31,4.94,2.138528139
AXOCAS,1.534,0.185709,53.64,0.076,3.18,4.81,1.512578616
AXOCEW,1.607,0.133252,21.06,0.05,2.77,4.73,1.707581227
AXOFEA,0.826,0.613146,2219.44,0.752,8,8.83,1.10375
AXOFOK,0.923,0.557482,2403.82,0.623,5.38,6.35,1.180297398
AXOFUQ,0.886,0.574441,1953.71,0.674,7.41,7.78,1.049932524
AXOHIE,0.645,0.725112,2523.98,0.998,10.59,12.59,1.188857413
AXOJOM,1.333,0.31829,91.95,0.201,3.41,4.82,1.413489736
AXUDUS,1.117,0.415397,87.82,0.261,2.99,4.37,1.461538462
AXUFAB,2.498,0.438352,30.66,0.185,3.29,4.39,1.334346505
AXUGEH,1.092,0.444319,837.28,0.334,4.32,5.21,1.206018519
AXUHIL,1.375,0.112714,5.77,0.051,2.26,4.26,1.884955752
AYANOE,1.2,0.259091,91.82,0.162,1.15,4.6,4
AYANUK,1.177,0.282454,74.6,0.174,2.16,4.62,2.138888889
AYAYEG,1.316,0.320361,79.34,0.175,2.36,4.45,1.88559322
AYEDOY,1.092,0.36875,270.7,0.268,3.34,5.46,1.634730539
AYEDUE,1.125,0.339538,197.49,0.236,2.85,5.38,1.887719298
AYEFAM,1.146,0.328467,175.27,0.217,3,5.12,1.706666667
AYEQEC,0.854,0.651121,1650.83,0.641,6.48,7.81,1.205246914
AYICOA,1.258,0.10287,0.95,0.045,1.01,4.03,3.99009901
AYOKUW,1.161,0.532242,1016.46,0.44,10.21,10.73,1.05093046
AYUDUV,1.337,0.190078,18.62,0.098,1.37,4.47,3.262773723
AYUKUC,1.21,0.408965,154.28,0.284,3.59,4.43,1.233983287
AYUWUM,1.351,0.190242,4.77,0.099,2.19,4.13,1.885844749
AYUYEY,0.911,0.558939,1653.21,0.565,7.89,8.67,1.098859316
AZAFEO,1.78,0.280123,102.32,0.13,1.19,4.74,3.983193277
AZAFIS,1.673,0.315683,79.36,0.163,2.5,4.47,1.788
AZEXIM,0.924,0.583706,1745.25,0.581,6.48,8.64,1.333333333
AZEXUY,1.536,0.215247,5.85,0.094,1.66,4.2,2.530120482
AZEZAG,0.406,0.82563,4128.87,1.97,12.18,20.05,1.646141215
AZIMIH,1.527,0.405503,22.89,0.211,3.03,4.28,1.412541254
AZINUU,0.458,0.788077,2707.03,1.705,12.65,14.8,1.169960474
AZIPAA,1.239,0.119619,1.75,0.056,1.44,4.09,2.840277778
AZIPAC,0.459,0.78882,2699.06,1.696,12.65,14.8,1.169960474
AZOBEX,1.315,0.245692,92.01,0.138,1.49,4.87,3.268456376
AZUFEG,2.138,0.189412,50.17,0.08,3.11,5.08,1.633440514
AZULEM,1.388,0.107484,0.21,0.049,1,4.02,4.02
BABBUC,0.91,0.46457,313.76,0.399,3.72,4.7,1.26344086
BACFAN,1.197,0.273546,89.72,0.171,2.33,4.65,1.995708155
BACGAQ,1.165,0.323918,179.51,0.212,3.37,4.77,1.415430267
