Refcode,Density (g/cm3),"Void fraction, F(He,T) (-)","Surface area, S(AC,T) (m2/g)","Pore volume, V(PO,T) (cm3/g)",Pore limiting diameter (A),Largest cavity diameter (A),Ratio LCD/PLD (-)
XAZFOT,1.748,0.267618,1.75,0.11,1.9,4.07,2.142105263
XEBGUG,1.219,0.398462,66.82,0.271,3.25,4.34,1.335384615
XEBHER,0.995,0.496346,381.33,0.438,3.55,4.6,1.295774648
XEBHOC,0.465,0.846748,4670.98,1.685,9.27,11.66,1.257820928
XEBMEW,1.818,0.330805,54.19,0.159,3.21,4.4,1.370716511
XECBIR,1.828,0.216977,67.96,0.093,1.23,4.93,4.008130081
XECBUD,1.18,0.463006,554.49,0.31,4.43,4.91,1.108352144
XECCEO,1.318,0.220801,129.2,0.122,2.5,5.35,2.14
XEDCAL,0.677,0.640419,2527.21,0.943,7.18,7.96,1.108635097
XEDCEP01,0.717,0.63884,2546.06,0.861,8.58,9.13,1.064102564
XEDCEP,0.726,0.636082,2298.77,0.834,8.44,9.19,1.088862559
XEDCIT,0.749,0.636183,2496.04,0.779,5.26,7.21,1.370722433
XEDCOZ,0.759,0.641416,1827.51,0.771,6.42,8.34,1.299065421
XEDPED,1.035,0.514282,970.18,0.432,7.87,10.35,1.315120712
XEDPIH,1.787,0.301255,135.29,0.143,3.81,4.7,1.233595801
XEDPON,1.498,0.339728,290.26,0.176,3.35,6.5,1.940298507
XEDWIO,1.701,0.144066,47.13,0.067,1.17,4.68,4
XEDXEM,1.352,0.220952,0.19,0.117,2.99,4.1,1.371237458
XEFBAL,1.485,0.212113,2.36,0.124,1.9,4.07,2.142105263
XEFBEP,1.37,0.306302,53.39,0.183,2.1,4.5,2.142857143
XEFCUH01,1.212,0.364315,100.15,0.22,2.83,4.63,1.636042403
XEFGEU01,1.241,0.209776,14.43,0.129,1.97,4.54,2.304568528
XEFGEU,1.274,0.17274,7.95,0.09,1.55,4.39,2.832258065
XEFHAU,1.272,0.300126,49.2,0.17,2.41,4.54,1.883817427
XEFZAK,0.818,0.592591,1273.01,0.645,3.88,6.95,1.791237113
XEGHEX,0.939,0.383739,524.12,0.479,3.16,5.65,1.787974684
XEGHIB,1.023,0.375336,260.88,0.408,2.94,5.01,1.704081633
XEGJIE,1.354,0.325053,284.62,0.212,4.03,5.37,1.332506203
XEGJOK,1.263,0.3917,555.74,0.274,4.98,6.01,1.206827309
XEGJUQ,1.301,0.366604,455.43,0.248,4.31,5.83,1.352668213
XEGKAX,1.224,0.406852,579.52,0.297,4.36,5.98,1.371559633
XEGKEB,1.253,0.397887,609.71,0.279,5.08,6.59,1.297244094
XEGKIF,1.435,0.292777,113.02,0.178,3.13,5.1,1.629392971
XEGQOS,1.095,0.505944,903.36,0.383,10.41,10.84,1.041306436
XEGRAF,1.446,0.170267,108.59,0.085,4.28,4.49,1.049065421
XEGSAE,0.923,0.710777,1395.85,0.786,12.67,14.67,1.157853197
XEGVOX,1.555,0.259721,112.35,0.122,4.75,5.17,1.088421053
XEHFAT,1.531,0.172195,122.04,0.093,1.67,5.46,3.269461078
XEHLED,0.893,0.71577,1604.84,0.812,11.61,16.55,1.425495263
XEHSAF,1.391,0.283166,126.08,0.196,3.14,4.74,1.50955414
XEHSEJ,1.334,0.311483,202,0.22,3.2,5.01,1.565625
XEHSUZ,1.388,0.288059,119.2,0.198,3.22,4.55,1.413043478
XEHXEN,1.122,0.493186,772.84,0.445,4.48,5.53,1.234375
XEHXEP,1.514,0.258031,60.9,0.142,3.37,4.38,1.299703264
XEJSAH,1.196,0.261683,304.65,0.16,2.36,6.3,2.669491525
XEJVOZ,2.254,0.155116,66.37,0.051,4.46,4.85,1.087443946
XEJWUG,1.561,0.249389,0.61,0.112,2.9,4.1,1.413793103
XEKJOP,1.311,0.138859,0.14,0.059,2,4,2
XEKMIL,2.047,0.171594,0.18,0.073,2.38,4.07,1.710084034
XEKMOR,0.642,0.640584,2316.52,0.941,9.35,9.78,1.045989305
XEKMUX,1.297,0.186542,166.64,0.113,4.27,5.15,1.206088993
XELXET,1.102,0.165564,1.81,0.097,1.26,4.11,3.261904762
XEMFAW,0.897,0.648768,2590.42,0.744,5.07,6.49,1.280078895
XEMNUB,0.619,0.716659,3173.06,1.048,6.85,10,1.459854015
XEMPEK,1.706,0.189947,3.55,0.094,3.26,4.12,1.263803681
XEMPIO,1.707,0.194115,5.02,0.096,3.22,4.18,1.298136646
XENKIM,1.18,0.275945,344.31,0.18,1.18,6.69,5.669491525
XENTOB,1.422,0.208355,5.16,0.125,1.78,4.1,2.303370787
XEPBAX,0.927,0.498346,223.72,0.518,3.36,4.9,1.458333333
XEPBUP,1.223,0.279741,15.66,0.143,1.89,4.36,2.306878307
XEPCUS,0.929,0.457938,870.08,0.427,3.27,5.85,1.788990826
XEPKUA,1.404,0.195148,36.13,0.095,1.68,4.76,2.833333333
XEPRER,0.931,0.468548,1445.22,0.461,4.91,6.14,1.250509165
XEQFUW,1.25,0.253219,18.11,0.133,2.72,4.45,1.636029412
XEQLEM01,1.299,0.274886,48.17,0.141,2.05,4.38,2.136585366
XEQLEM,1.293,0.278986,57,0.143,2.06,4.41,2.140776699
XEQMOX,1.075,0.532513,1417.61,0.486,6.55,8.09,1.235114504
XESBIH,1.539,0.087933,0.76,0.036,1.45,4.11,2.834482759
XESCOO,2.399,0.198283,26.86,0.076,2.37,4.74,2
XESKAJ,1.23,0.407913,707.92,0.287,8.69,9.21,1.059838895
XESKIR,1.314,0.404625,736.64,0.303,9.51,10.12,1.064143007
XESKOX,1.566,0.394195,557.26,0.227,8.35,8.59,1.028742515
XESKUD,1.379,0.36663,654.92,0.267,8.84,9.37,1.059954751
XESLAK,1.419,0.408647,684.94,0.284,9.23,9.7,1.05092091
XESPOC,0.698,0.598611,2019.46,0.766,5.03,6.2,1.232604374
XESSUK,0.99,0.4114,442.9,0.327,2.5,6.04,2.416
XETGEK,1.275,0.328939,178.16,0.179,2.76,5.21,1.887681159
XETJEM01,1.184,0.423235,994.31,0.365,4.42,5.33,1.205882353
XETJEM,1.185,0.418227,953.04,0.363,4.53,5.34,1.178807947
XETPOE,1.103,0.460017,63.81,0.35,2.94,4.29,1.459183673
XETSIZ,2.67,0.144245,1.33,0.048,2.98,4.21,1.412751678
XETVAU,1.306,0.339495,143.88,0.206,3.11,5.56,1.78778135
XETVEY,1.379,0.230802,17.29,0.12,2.38,4.48,1.882352941
XETVIC,1.296,0.249013,30.88,0.128,2.9,4.73,1.631034483
XETWAV,1.419,0.325851,236.64,0.202,3.98,5.03,1.263819095
XEVGUC,1.971,0.215124,65.69,0.061,2.41,5.57,2.31120332
XEVJAL,0.718,0.694661,2763.96,0.847,4.29,7.68,1.79020979
XEVJEP,1.459,0.164892,15.03,0.067,1.07,4.3,4.018691589
XEVJIT,1.432,0.166056,15.37,0.075,1.1,4.4,4
XEVNER,1.028,0.485548,674.82,0.386,4.59,5.54,1.206971678
XEVSAT,1.363,0.235676,22.98,0.132,3.45,4.36,1.263768116
XEVVUQ,1.804,0.339566,33.58,0.149,2.86,4.49,1.56993007
XEVXUT,1.212,0.318766,269.48,0.181,1.89,5.73,3.031746032
XEVZAC01,1.029,0.451694,249.05,0.375,3.35,4.89,1.459701493
XEVZAC03,1.025,0.465855,273.48,0.381,3.38,4.93,1.458579882
XEVZAC04,1.015,0.464613,287.56,0.389,3.52,4.98,1.414772727
XEVZAC05,1.014,0.468197,295.35,0.391,3.52,4.97,1.411931818
XEVZAC,1.029,0.449671,239.47,0.373,3.37,4.92,1.459940653
XEWCOT,1.614,0.235171,22.47,0.096,3.3,4.4,1.333333333
XEWDAG,0.71,0.643622,2488.37,0.807,5.77,8.36,1.448873484
XEWLAN,1.186,0.142167,0.26,0.067,1.24,4.05,3.266129032
XEXLOD,1.176,0.48419,837.5,0.332,6.51,7.02,1.078341014
XEXMEU,1.054,0.549154,1080.78,0.43,8.59,9.31,1.083818393
XEXNEV,1.538,0.136454,25.13,0.051,2.64,4.73,1.791666667
XEXXEF,0.688,0.570689,1739.34,0.784,3.83,6.12,1.597911227
XEZJUJ,1.401,0.144867,9.59,0.075,2.5,4.26,1.704
XEZLIZ,1.196,0.26786,211.71,0.158,1.61,5.27,3.273291925
XEZLUL,1.154,0.457631,646.51,0.3,4.56,5.92,1.298245614
XIBCIU,1.114,0.318812,54.19,0.229,3.16,4.48,1.417721519
XIBXUB,1.35,0.114038,13.36,0.067,1.38,4.51,3.268115942
XIBYAI,0.667,0.643041,2073.53,0.9,4.32,6.31,1.460648148
XIBYEM01,0.634,0.652809,2605.15,0.924,4.87,7.36,1.511293634
XIBYEM,0.635,0.65085,2620.28,0.913,4.84,7.32,1.512396694
XICFEW,1.303,0.298025,3.19,0.146,2.22,4.19,1.887387387
XICNOO01,0.994,0.654791,1543.05,0.649,6.85,16.9,2.467153285
XICNOO,0.988,0.657163,1573.15,0.65,6.7,16.95,2.529850746
XICTAH,1.164,0.43345,433.84,0.274,3.41,5.34,1.565982405
XICZUG,2.208,0.076767,1.54,0.025,1.06,4.24,4
XIDBUJ,1.095,0.479879,712.87,0.345,5.96,7.27,1.219798658
XIDCOE,0.937,0.474105,394.98,0.421,3.55,6.19,1.743661972
XIDFEX,1.182,0.346574,233.36,0.208,2.03,5.14,2.532019704
XIFCIY,1.303,0.535893,337.88,0.407,3.74,5.13,1.371657754
XIFHOJ,1.609,0.344612,26.79,0.193,3.17,4.48,1.413249211
XIFHOL,1.756,0.368855,359.02,0.23,3.7,5.91,1.597297297
XIFJED,1.606,0.14226,0.86,0.062,2.6,4.08,1.569230769
XIFJIH,1.182,0.369952,262.78,0.228,2.04,5.15,2.524509804
XIFJON,1.146,0.355227,283.15,0.246,2.28,5.27,2.311403509
XIFJUT,1.264,0.355346,244.02,0.21,1.82,5.16,2.835164835
XIFKAA,1.19,0.374419,269.75,0.233,2.05,5.18,2.526829268
XIFWAK,1.184,0.350304,122.3,0.214,3.43,4.58,1.335276968
XIGJUV,1.3,0.139047,50.36,0.063,1.34,5.36,4
XIGNOR01,0.59,0.659619,3518.96,1.012,8.21,9.02,1.098660171
XIGWIW,1.348,0.260674,13.3,0.166,1.48,4.18,2.824324324
XIGWOC,1.899,0.091395,5.93,0.05,3,4.38,1.46
XIGYOE,2.379,0.424834,321.03,0.186,3.85,5.13,1.332467532
XIGZOE,0.293,0.829093,3882.52,2.734,17.86,18.39,1.029675252
XIGZUK,0.304,0.830562,3689.86,2.642,19.09,19.4,1.016238869
XIHBEX,0.584,0.656419,3570.91,1.029,8.2,9.01,1.098780488
XIHBIB,0.304,0.829138,3699.07,2.628,18.24,18.59,1.019188596
XIHCEX,0.869,0.563865,703.1,0.599,3.92,5.22,1.331632653
XIHCEY,0.307,0.825511,3720.28,2.59,17.77,18.39,1.034890264
XIHCIB,1.258,0.165399,43.1,0.091,1.38,4.5,3.260869565
XIHCOI,1.269,0.440761,578.05,0.299,4.76,5.62,1.180672269
XIHRIQ,1.105,0.37703,112.9,0.249,3.3,4.67,1.415151515
XIHRUC,1.024,0.446437,688.68,0.352,1.96,6.39,3.260204082
XIHWUI,1.392,0.264683,64.22,0.13,1.77,4.48,2.531073446
XIHXUJ,1.487,0.160469,56.09,0.079,1.25,5.01,4.008
XIHZAR,1.048,0.268089,59.63,0.178,2.2,4.71,2.140909091
XIHZEV,1.044,0.264679,53.48,0.179,2.17,4.63,2.133640553
XIJFAZ,1.551,0.178692,88.82,0.096,1.82,5.15,2.82967033
XIJNUA,0.764,0.724728,1924.01,0.972,15.6,16.08,1.030769231
XIJQEN,0.957,0.577589,1075.71,0.509,3.85,6.16,1.6
XIJQIR,0.95,0.586807,1123.9,0.52,3.86,6.17,1.598445596
XIJQOX,0.957,0.581521,1070.38,0.515,3.87,6.2,1.602067183
XIJQUD,0.783,0.674425,1913.98,0.746,6.28,7.48,1.191082803
XIJXEV,1.03,0.343452,727.54,0.342,4.05,5,1.234567901
XIKHOO,1.047,0.463845,293.4,0.376,3.3,4.98,1.509090909
XIKQUF,1.523,0.187339,86.51,0.094,1.66,5.41,3.259036145
XIKRAM,1.524,0.187372,86.06,0.093,1.64,5.35,3.262195122
XIKREQ,1.552,0.181591,83.63,0.088,1.87,5.28,2.823529412
XIKVIX,1.324,0.320384,72.48,0.198,1.86,4.3,2.311827957
XILCAX,1.359,0.197634,50.57,0.102,3.75,4.33,1.154666667
XILQEP,0.758,0.612167,1748.45,0.714,5.02,6.27,1.249003984
XILTOE,1.129,0.338554,42.9,0.237,3.28,4.38,1.335365854
XILTUK,1.202,0.315569,30.46,0.189,3.39,4.4,1.297935103
XILVEV,1.088,0.559557,617.67,0.377,2.99,6.18,2.066889632
XILVIZ,0.848,0.650334,1838.48,0.636,4.44,7.41,1.668918919
XIMLEL,1.325,0.099682,15.62,0.042,1.31,4.29,3.27480916
XIMSET,1.268,0.426577,587.58,0.289,4,5.33,1.3325
XINFIL,1.731,0.149429,33.67,0.071,3.68,4.54,1.233695652
XINFOR,1.863,0.151676,32.58,0.053,1.65,4.65,2.818181818
XINHIN,1.154,0.190114,7.54,0.138,3.59,4.33,1.206128134
XINMOZ,1.297,0.318451,338.94,0.182,4.51,6.28,1.392461197
XINNAM,1.311,0.30937,314.07,0.174,4.5,6.17,1.371111111
XINTAS,1.547,0.359393,74.38,0.185,3.1,4.86,1.567741935
XINWUP,1.175,0.32073,88.44,0.207,3.25,4.91,1.510769231
XINYAW,1.125,0.311123,227.83,0.21,2.46,5.93,2.410569106
XIPHIP,1.065,0.483797,780.65,0.388,3.86,5.63,1.458549223
XIPQOD,1.175,0.351584,249.31,0.236,2.39,4.78,2
XIPSOG,1.305,0.266129,136.12,0.148,2.03,5.14,2.532019704
XIPSUM,1.339,0.257048,100.85,0.136,1.73,4.9,2.832369942
XIPTEX,1.301,0.232139,52.3,0.109,1.8,4.56,2.533333333
XIPTIB,1.405,0.19299,6.94,0.108,1.81,4.19,2.314917127
XIQDAD,1.457,0.192055,29.1,0.107,2.57,4.39,1.708171206
XIQDIL,1.501,0.129941,10.48,0.065,1.09,4.36,4
XIQDOR,1.645,0.12616,9.98,0.059,1.08,4.33,4.009259259
XIQFIO,0.87,0.556268,1505.94,0.602,8.03,9.52,1.185554172
XIQQAS,1.239,0.488918,312.42,0.309,3.16,5.39,1.705696203
XIRKEP,1.445,0.290315,15.23,0.153,2.82,4.12,1.460992908
XIRMIV,0.564,0.748855,2674.7,1.243,3.83,5.26,1.373368146
XIRVOK,1.13,0.102995,41.49,0.071,1.61,4.56,2.832298137
XIRWAX,1.3,0.103744,18.6,0.067,1.33,4.35,3.270676692
XIRYON,1.301,0.314672,44.79,0.236,3.43,4.34,1.265306122
XIRZOQ,0.912,0.530853,1363.79,0.528,4.33,7.07,1.632794457
XISMEU,1.106,0.406617,762.06,0.299,6.16,9.86,1.600649351
XISPEW01,1.141,0.586267,1042.18,0.463,5.12,7.24,1.4140625
XISPEW02,1.085,0.588414,1304.4,0.5,5.18,7.45,1.438223938
XISPEW,1.175,0.589502,982.22,0.448,4.98,7.16,1.437751004
XISPUM,1.217,0.580456,923.32,0.424,4.32,7.05,1.631944444
XISRAV,1.596,0.21149,19.08,0.099,2.61,4.26,1.632183908
XISRID,1.499,0.259487,202.44,0.136,3.88,4.57,1.177835052
XISSIE,2.263,0.197832,83.19,0.076,1.95,5.51,2.825641026
XISXEC,1.061,0.147431,41.2,0.099,1.15,4.61,4.008695652
XISXIG,1.051,0.152833,51.17,0.108,1.41,4.61,3.269503546
XISXOM,1.108,0.112937,2.01,0.074,1.91,4.08,2.136125654
XITBEJ,1.55,0.282864,274.83,0.16,3.84,5.61,1.4609375
XITTEZ,1.589,0.249602,0.58,0.142,2.38,4.06,1.705882353
XIVTAZ,1.957,0.238061,62.45,0.108,3.36,4.61,1.37202381
XIWGUF,1.368,0.238107,0.06,0.118,3.58,3.97,1.108938547
XIWMOH,1.445,0.097497,18.09,0.039,1.74,4.41,2.534482759
XIWQAV,1.593,0.204696,2.54,0.097,1.03,4.13,4.009708738
XIWWUX,1.267,0.383294,143.78,0.23,2.87,4.9,1.707317073
XIXLAU,1.608,0.125964,40.81,0.057,1.29,5.17,4.007751938
XIXLUO,1.374,0.252088,126.35,0.14,3.64,5,1.373626374
XIYYEL,0.722,0.737437,3037.61,1.031,8,8.44,1.055
XIZBEP,0.874,0.592178,1763.7,0.617,7.98,9.11,1.14160401
XIZFOC,1.609,0.102922,4.69,0.032,1.31,4.27,3.259541985
XIZJIZ,1.387,0.312023,210.53,0.186,3.28,4.96,1.512195122
XIZKAT,3.147,0.229718,83.13,0.075,2.61,5.58,2.137931034
XIZLOI,2.55,0.091154,0.23,0.032,1.03,4.14,4.019417476
XIZMEA,1.809,0.142693,11.48,0.046,2.25,4.51,2.004444444
XIZNEB,1.458,0.265381,5.64,0.154,2.78,4.2,1.510791367
XIZNIF,1.363,0.151908,3.75,0.09,2.06,4.12,2
XIZPOO,1.365,0.356492,44.65,0.267,3.63,4.29,1.181818182
XOCNOU,1.174,0.193117,67.55,0.113,2.13,4.56,2.14084507
XOCWIX,2.519,0.213239,17.21,0.075,2.34,4.42,1.888888889
XOCWOD,2.55,0.209564,10.05,0.072,2.3,4.33,1.882608696
XOCWUJ,2.552,0.205968,12.63,0.071,2.38,4.26,1.789915966
XODBOI,1.504,0.211739,132.67,0.097,1.27,5.06,3.984251969
XODMAF,0.997,0.154086,126.69,0.12,0.94,5.34,5.680851064
XODTOA,0.622,0.631846,2364.73,0.917,8,8.92,1.115
XODXIZ,1.642,0.192063,0.17,0.13,1.61,4.07,2.527950311
XOFPAL,1.967,0.273285,26.54,0.131,1.93,4.45,2.305699482
XOFPEP01,2.179,0.254876,84.28,0.108,1.45,4.73,3.262068966
XOFPEP,2.172,0.254535,90.52,0.109,1.45,4.72,3.255172414
XOFPIT,1.967,0.168022,2.23,0.078,1.79,4.13,2.30726257
XOGJIO,1.73,0.067141,4.28,0.023,1.31,4.29,3.27480916
XOGLIO,1.665,0.114595,8.52,0.048,1.98,4.24,2.141414141
XOGMAI,1.432,0.219766,1.22,0.108,1.75,4.04,2.308571429
XOGRER,1.419,0.132822,63.17,0.071,1.22,4.9,4.016393443
XOGZOK,1.513,0.154083,19.34,0.071,2.18,4.36,2
XOHFIK,1.624,0.273612,147.75,0.176,3.24,4.74,1.462962963
XOHLEM01,1.4,0.439241,232.06,0.291,3.66,4.88,1.333333333
XOHLEM,1.4,0.439241,232.06,0.291,3.66,4.88,1.333333333
XOHNOY,0.426,0.791878,1893.06,1.811,20.4,21.09,1.033823529
XOHRIW,1.208,0.299331,187.92,0.186,4.02,4.64,1.154228856
XOHROC,1.29,0.254678,20.53,0.137,2.86,4.33,1.513986014
XOHYUQ,1.288,0.564336,1130.13,0.406,4.57,6.46,1.41356674
XOJCAB,1.479,0.210807,25.72,0.113,1.54,5.03,3.266233766
XOJCEF,1.709,0.124965,74.16,0.063,1.7,5.55,3.264705882
XOJCIJ,1.475,0.27766,98.48,0.166,1.88,5.33,2.835106383
XOJJOW,2.1,0.179113,62.24,0.073,1.36,4.44,3.264705882
XOJJUC,1.251,0.202058,46.15,0.12,2.43,4.58,1.884773663
XOJMAL01,0.785,0.58717,1862.94,0.762,4.3,6.18,1.437209302
XOJMAL02,0.779,0.591121,1914.99,0.773,4.44,6.09,1.371621622
XOJMAL,1.519,0.155309,33.12,0.123,2.79,4.21,1.508960573
XOJMEP,0.811,0.553515,2053.15,0.733,4.54,5.81,1.279735683
XOJVIC,1.426,0.248044,100.4,0.123,1.32,5.27,3.992424242
XOJWID,1.18,0.549854,807.65,0.395,4.53,6.51,1.437086093
XOJXAW,1.538,0.393512,484.17,0.206,4.23,5.49,1.29787234
XOJZOL,1.697,0.289758,3.13,0.162,2.32,4.15,1.788793103
XOKDUX,1.368,0.22388,72.56,0.124,1.52,4.98,3.276315789
XOKFUZ,0.999,0.331208,475.38,0.253,1.73,6.9,3.988439306
XOKHIP,2.208,0.142647,2.57,0.065,2.72,4.26,1.566176471
XOKHOV,1.347,0.280549,442.1,0.167,5.22,6.03,1.155172414
XOKHUB,1.394,0.195875,6.49,0.1,1.29,4.23,3.279069767
XOKJIR,1.303,0.247248,7.47,0.132,1.05,4.2,4
XOKQUL,0.985,0.571595,842.33,0.438,4.19,7.14,1.704057279
XOKSOG,0.53,0.774355,3117.15,1.391,9.33,10.02,1.073954984
XOKSUM,1.039,0.450791,771.69,0.355,4.02,5.08,1.263681592
XOKYOM,0.574,0.614292,2984.48,0.987,8.36,10.25,1.226076555
XOLNUH,1.298,0.121359,7.45,0.059,1.06,4.22,3.981132075
XOLSUO,0.952,0.633793,1794.52,0.582,4.56,6.89,1.510964912
XOMDOT,1.966,0.097391,19.88,0.039,0.86,4.84,5.627906977
XOMDOU,1.181,0.429208,313.27,0.282,4.25,5.67,1.334117647
XOMGAI,0.935,0.515756,465.32,0.499,3.43,5.73,1.670553936
XOMGEM,0.579,0.734745,4037.93,1.25,5.36,7.46,1.391791045
XOMGOW,1.42,0.130555,1.62,0.061,1.45,4.1,2.827586207
XOMNES,1.209,0.244958,88.36,0.14,2.3,4.61,2.004347826
XOMSUN01,0.872,0.579232,1796.08,0.61,7.69,9.02,1.172951886
XOMSUN,0.844,0.577359,1825.63,0.633,7.73,9.17,1.186287193
XONLOC,1.972,0.189333,16.05,0.073,1.13,4.54,4.017699115
XONTOK,1.187,0.203914,6.17,0.128,1.04,4.16,4
XOPGUF,2.091,0.144261,2.04,0.053,0.75,4.25,5.666666667
XOPHUG,0.739,0.632106,2088.6,0.735,4.54,6.32,1.392070485
XOPLUL,1.701,0.373652,32.5,0.182,2.94,4.29,1.459183673
XOPMIA,1.051,0.495681,596.01,0.384,3.56,5.19,1.457865169
XOPPOJ,1.511,0.080305,0.03,0.036,1.03,4.11,3.990291262
XOPWAB,1.606,0.3976,316.39,0.21,3.49,5.69,1.630372493
XOPXEG,2.326,0.177574,19.3,0.074,3.37,4.49,1.332344214
XOQKOE,0.682,0.736273,3303.94,1.073,7.45,8.31,1.115436242
XORMIB,0.519,0.852601,4736.27,1.393,5.4,8.39,1.553703704
XORRON,2.037,0.256486,172.94,0.104,1.24,5.71,4.60483871
XORSAZ,0.782,0.610208,1706.03,0.688,5.21,9.21,1.767754319
XOSFAO,1.381,0.17166,28.89,0.093,1.55,4.39,2.832258065
XOSHEU,1.23,0.302022,40.49,0.178,2.91,4.4,1.512027491
XOSHIY,0.6,0.719397,2419.77,1.091,9.21,10.12,1.098805646
XOSNID,1.366,0.203349,5.25,0.104,1.66,4.19,2.524096386
XOTBUF,0.717,0.656781,1330.51,0.772,3.68,5.66,1.538043478
XOTHET,0.831,0.60778,1510.97,0.642,3.82,7,1.832460733
XOTHIX,0.843,0.600417,1374.1,0.626,3.81,7,1.837270341
XOTHOD,0.845,0.602368,1403.04,0.62,3.84,7.05,1.8359375
XOTWUZ,1.999,0.187823,35.82,0.092,2.42,4.33,1.789256198
XOTXAG,1.637,0.175828,18.14,0.097,2.33,4.39,1.884120172
XOVBIV01,0.796,0.536894,1612.14,0.58,4.15,9.03,2.175903614
XOVBIV,0.811,0.529284,1494.26,0.563,4.1,8.92,2.175609756
XOVPON,1.42,0.397452,376.07,0.232,3.6,5.26,1.461111111
XOVQOO,1.375,0.079745,2.4,0.031,1.3,4.24,3.261538462
XOVVEK,1.631,0.243164,13.06,0.123,2.84,4.3,1.514084507
XOVVIO,1.684,0.198691,2.11,0.084,2.65,4.16,1.569811321
XOWBAO,1.538,0.330155,237.24,0.17,2.48,7.01,2.826612903
XOXGEX,1.012,0.410161,759.14,0.311,4.42,5.82,1.316742081
XOYRUZ,1.334,0.438089,697.8,0.275,4.15,7.62,1.836144578
XOYSEK,0.84,0.681413,2395.25,0.744,5.86,8.71,1.486348123
XOYSIO,1.855,0.169138,37.14,0.072,3.44,4.72,1.372093023
XOYTUA,0.464,0.76373,3803.95,1.578,9.1,10,1.098901099
XOZGIE,1.332,0.287161,34.03,0.153,2.78,4.37,1.571942446
XOZJAX,1.425,0.170191,3.38,0.036,2.12,4.24,2
XOZTEN,0.986,0.328113,193.52,0.267,2.91,5.21,1.790378007
XOZVOY,0.471,0.725176,4577.57,1.481,8.87,9.53,1.074408117
XOZYER,1.701,0.234952,61.65,0.116,3.56,4.51,1.266853933
XUBLEM,1.657,0.259282,132.55,0.161,2.18,5.03,2.30733945
XUBPER,0.866,0.435769,138.05,0.404,3.05,4.31,1.413114754
XUBQES,1.312,0.338695,127.49,0.202,3.27,4.77,1.458715596
XUBZEB,2.139,0.208519,5.85,0.071,1.03,4.13,4.009708738
XUCFOR,1.03,0.563724,1580.74,0.525,7.22,8.47,1.173130194
XUCNAL,2.226,0.130839,24.6,0.045,3.38,4.51,1.334319527
XUDHEK,1.306,0.286167,140.88,0.17,1.2,4.81,4.008333333
XUDMAL,1.276,0.331573,127.19,0.186,3.28,4.79,1.460365854
XUDNAN,1.099,0.455219,664.63,0.337,3.01,6.02,2
XUDPIX,0.558,0.794352,4149.58,1.285,6.45,11.12,1.724031008
XUDWEA,1.567,0.094999,16.79,0.032,2.01,5.09,2.532338308
XUDWOK,1.539,0.150313,37.13,0.067,1.17,4.69,4.008547009
XUDXOL,2.132,0.146488,10.21,0.054,1.11,4.44,4
XUDYEC,1.365,0.327312,378.55,0.189,4.65,6.11,1.313978495
XUDYIG,3.513,0.309164,154.06,0.089,4.05,5.82,1.437037037
XUDYOM,1.632,0.507915,377.13,0.239,5.27,5.79,1.098671727
XUFFUA,0.658,0.659673,1636.54,0.934,3.75,5,1.333333333
XUFGEL,0.889,0.589036,1395.96,0.565,4.91,7.29,1.484725051
XUFGUB01,0.908,0.572303,855.72,0.593,3.82,6,1.570680628
XUFGUB,0.905,0.573224,898.11,0.595,3.87,6.18,1.596899225
XUFLOB,1.233,0.156804,14.49,0.09,2.7,4.41,1.633333333
XUFQIA,1.672,0.143279,7.91,0.039,1.52,4.3,2.828947368
XUFQUM,1.643,0.135364,8.57,0.04,1.54,4.36,2.831168831
XUFTIB,1.188,0.351206,9.06,0.225,3.44,4.14,1.203488372
XUFXAZ,1.426,0.171245,36.46,0.077,2.09,4.46,2.133971292
XUFYAZ,1.203,0.284404,66.78,0.172,2.2,4.71,2.140909091
XUFZIJ,1.295,0.25245,341.75,0.16,4.71,5.67,1.203821656
XUGCEI,1.559,0.362326,825.96,0.24,5.79,6.61,1.141623489
XUGFEK,1.441,0.200024,197.47,0.103,4.87,5.2,1.067761807
XUGGUD,0.898,0.502763,1282.6,0.468,5.98,7.13,1.192307692
XUGJOZ,0.809,0.635581,1853.51,0.693,5.29,6.86,1.296786389
XUGSUN,0.774,0.60585,1822.27,0.654,5.26,8.59,1.633079848
XUGTAU,1.152,0.286731,422.17,0.19,5.47,6.76,1.23583181
XUGTIC,0.759,0.607956,1895.36,0.658,5.38,8.37,1.555762082
XUGVAY,1.648,0.130456,0.7,0.051,1.63,4.12,2.527607362
XUGWAZ,1.562,0.24996,34.83,0.097,2.99,4.52,1.511705686
XUGXED,1.021,0.534951,651.45,0.463,3.51,6.62,1.886039886
XUHRUN,0.396,0.772796,2480.22,1.84,17.52,18.79,1.072488584
XUHSID,1.558,0.304782,40.83,0.149,2.9,4.95,1.706896552
XUJCOV,1.136,0.245216,0.84,0.116,2.56,4.02,1.5703125
XUJDAH,0.722,0.691154,3014.86,0.888,6.13,7.75,1.264274062
XUJDIR,0.817,0.677476,1990.71,0.767,8.01,11.07,1.382022472
XUJLUL,1.16,0.279505,6.43,0.183,2.23,4.2,1.883408072
XUJMAS,1.141,0.265819,10.37,0.174,1.98,4.22,2.131313131
XUJPEY,1.254,0.481145,625.49,0.311,4.24,5.74,1.353773585
XUJPIC,1.238,0.493995,744.73,0.324,4.51,5.77,1.279379157
