Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
JEZRUB,1991,1.381,0.157,2.620,0.075,1.670,4.220,2.527,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.2-4.3),[2.5-3.0)
VIVFUB,1991,1.442,0.236,53.100,0.132,1.850,4.690,2.535,2D,[1.4-1.5),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.5-3.0)
VIVGAI,1991,1.656,0.183,20.720,0.088,1.870,4.320,2.310,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5)
SOBGIZ,1991,1.188,0.327,155.160,0.215,2.720,4.630,1.702,2D,[1.1-1.2),[0.3-0.4),[150-200),[0.2-0.3),[2.6-3.0),[4.6-4.8),[1.6-1.8)
KIWFOL,1991,1.472,0.169,3.520,0.067,2.770,4.040,1.458,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[2.6-3.0),[3.9-4.2),[1.4-1.5)
SIZWAZ,1991,1.203,0.366,299.120,0.249,3.140,5.130,1.634,1D,[1.2-1.3),[0.3-0.4),[200-300),[0.2-0.3),[3.0-3.3),[5.0-5.3),[1.6-1.8)
KEXFAU,1991,0.912,0.496,131.660,0.442,3.460,4.270,1.234,1D,[0.8-1.0),[0.4-0.5),[100-150),[0.4-0.5),[3.3-3.6),[4.2-4.3),[1.2-1.3)
VILDUP,1991,1.800,0.426,133.790,0.287,3.570,4.640,1.300,2D,[1.8-2.0),[0.4-0.5),[100-150),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.2-1.3)
TAGPIA,1991,0.871,0.489,937.320,0.450,4.100,5.790,1.412,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.4-0.5),[4.0-4.5),[5.6-6.0),[1.4-1.5)
KIDGOT,1991,0.773,0.619,1906.600,0.728,4.520,7.240,1.602,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[4.5-5.0),[7.0-8.0),[1.6-1.8)
