Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
JISYIW,2018,1.395,0.356,123.340,0.195,3.400,4.540,1.335,2D,[1.3-1.4),[0.3-0.4),[100-150),[0.1-0.2),[3.3-3.6),[4.5-4.6),[1.3-1.4)
PIDTII,2018,1.477,0.193,84.030,0.097,3.400,4.540,1.335,1D,[1.4-1.5),[0.1-0.2),[50-100),[0.0-0.1),[3.3-3.6),[4.5-4.6),[1.3-1.4)
QIGDEP16,2018,1.046,0.483,624.710,0.506,3.400,5.560,1.635,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.6-1.8)
PIKHUP,2018,2.332,0.180,11.950,0.074,3.410,4.200,1.232,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[3.3-3.6),[4.2-4.3),[1.2-1.3)
CEZFEV,2018,0.889,0.414,103.860,0.415,3.410,4.550,1.334,2D,[0.8-1.0),[0.4-0.5),[100-150),[0.4-0.5),[3.3-3.6),[4.5-4.6),[1.3-1.4)
YEMXEW,2018,0.987,0.346,107.780,0.266,3.410,4.680,1.372,1D,[0.8-1.0),[0.3-0.4),[100-150),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.3-1.4)
XICTAH,2018,1.164,0.433,433.840,0.274,3.410,5.340,1.566,1D,[1.1-1.2),[0.4-0.5),[400-500),[0.2-0.3),[3.3-3.6),[5.3-5.6),[1.5-1.6)
WIGGUR,2018,1.112,0.432,95.110,0.284,3.410,4.550,1.334,1D,[1.1-1.2),[0.4-0.5),[50-100),[0.2-0.3),[3.3-3.6),[4.5-4.6),[1.3-1.4)
DIGJOV,2018,1.546,0.559,665.250,0.419,3.410,5.820,1.707,1D,[1.5-1.6),[0.5-0.6),[600-800),[0.4-0.5),[3.3-3.6),[5.6-6.0),[1.6-1.8)
WEVYEE,2018,1.151,0.614,655.760,0.362,3.410,8.220,2.411,2D,[1.1-1.2),[0.6-0.7),[600-800),[0.3-0.4),[3.3-3.6),[8.0-10.0),[2.0-2.5)
FEYZIV06,2018,0.866,0.403,201.450,0.378,3.420,4.560,1.333,2D,[0.8-1.0),[0.4-0.5),[200-300),[0.3-0.4),[3.3-3.6),[4.5-4.6),[1.3-1.4)
JETLIG,2018,1.311,0.338,55.000,0.214,3.420,4.840,1.415,2D,[1.3-1.4),[0.3-0.4),[50-100),[0.2-0.3),[3.3-3.6),[4.8-5.0),[1.4-1.5)
MENBUF,2018,1.306,0.310,19.670,0.163,3.430,4.240,1.236,1D,[1.3-1.4),[0.3-0.4),[0-50),[0.1-0.2),[3.3-3.6),[4.2-4.3),[1.2-1.3)
JISXUH,2018,1.206,0.370,146.410,0.236,3.430,4.570,1.332,2D,[1.2-1.3),[0.3-0.4),[100-150),[0.2-0.3),[3.3-3.6),[4.5-4.6),[1.3-1.4)
DEVTIK,2018,1.339,0.186,1.380,0.106,3.440,4.060,1.180,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.1-0.2),[3.3-3.6),[3.9-4.2),[1.1-1.2)
FEYZIV02,2018,0.862,0.404,211.100,0.384,3.440,4.590,1.334,2D,[0.8-1.0),[0.4-0.5),[200-300),[0.3-0.4),[3.3-3.6),[4.5-4.6),[1.3-1.4)
YIBPEH,2018,1.197,0.415,399.230,0.323,3.440,4.860,1.413,1D,[1.1-1.2),[0.4-0.5),[300-400),[0.3-0.4),[3.3-3.6),[4.8-5.0),[1.4-1.5)
YERLIT,2018,1.136,0.471,620.380,0.358,3.440,8.290,2.410,1D,[1.1-1.2),[0.4-0.5),[600-800),[0.3-0.4),[3.3-3.6),[8.0-10.0),[2.0-2.5)
SIJWIU,2018,1.089,0.460,230.830,0.374,3.450,4.470,1.296,1D,[1.0-1.1),[0.4-0.5),[200-300),[0.3-0.4),[3.3-3.6),[4.4-4.5),[1.2-1.3)
BIMVUR,2018,1.357,0.361,496.710,0.277,3.460,5.900,1.705,1D,[1.3-1.4),[0.3-0.4),[400-500),[0.2-0.3),[3.3-3.6),[5.6-6.0),[1.6-1.8)
QEWXUO,2018,1.422,0.226,12.620,0.117,3.470,4.280,1.233,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[3.3-3.6),[4.2-4.3),[1.2-1.3)
ZEXXEI01,2018,0.928,0.448,144.800,0.366,3.470,4.770,1.375,1D,[0.8-1.0),[0.4-0.5),[100-150),[0.3-0.4),[3.3-3.6),[4.6-4.8),[1.3-1.4)
CEXKUO,2018,1.115,0.410,36.450,0.318,3.480,4.400,1.264,1D,[1.1-1.2),[0.4-0.5),[0-50),[0.3-0.4),[3.3-3.6),[4.4-4.5),[1.2-1.3)
FEYZIV04,2018,0.841,0.426,334.200,0.414,3.480,4.770,1.371,2D,[0.8-1.0),[0.4-0.5),[300-400),[0.4-0.5),[3.3-3.6),[4.6-4.8),[1.3-1.4)
QEWFOQ,2018,0.877,0.518,826.010,0.488,3.480,5.270,1.514,1D,[0.8-1.0),[0.5-0.6),[800-1000),[0.4-0.5),[3.3-3.6),[5.0-5.3),[1.5-1.6)
IDEWAS,2018,1.160,0.461,118.550,0.307,3.490,4.660,1.335,2D,[1.1-1.2),[0.4-0.5),[100-150),[0.3-0.4),[3.3-3.6),[4.6-4.8),[1.3-1.4)
CIQHES,2018,1.244,0.582,405.070,0.373,3.490,5.100,1.461,1D,[1.2-1.3),[0.5-0.6),[400-500),[0.3-0.4),[3.3-3.6),[5.0-5.3),[1.4-1.5)
JILZUC,2018,1.576,0.086,17.290,0.041,3.500,4.800,1.371,1D,[1.5-1.6),[0.0-0.1),[0-50),[0.0-0.1),[3.3-3.6),[4.8-5.0),[1.3-1.4)
JISYES,2018,1.378,0.373,167.020,0.207,3.500,4.660,1.331,2D,[1.3-1.4),[0.3-0.4),[150-200),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.3-1.4)
HIKNEX,2018,1.192,0.405,552.010,0.274,3.500,5.480,1.566,1D,[1.1-1.2),[0.4-0.5),[500-600),[0.2-0.3),[3.3-3.6),[5.3-5.6),[1.5-1.6)
BIPNAS,2018,2.782,0.145,50.460,0.047,3.510,4.680,1.333,1D,[2.0-7.0],[0.1-0.2),[50-100),[0.0-0.1),[3.3-3.6),[4.6-4.8),[1.3-1.4)
XEVZAC04,2018,1.015,0.465,287.560,0.389,3.520,4.980,1.415,1D,[1.0-1.1),[0.4-0.5),[200-300),[0.3-0.4),[3.3-3.6),[4.8-5.0),[1.4-1.5)
XEVZAC05,2018,1.014,0.468,295.350,0.391,3.520,4.970,1.412,1D,[1.0-1.1),[0.4-0.5),[200-300),[0.3-0.4),[3.3-3.6),[4.8-5.0),[1.4-1.5)
QIGDEP03,2018,1.041,0.484,639.320,0.509,3.530,5.530,1.567,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
QIGDEP11,2018,1.046,0.483,625.960,0.502,3.530,5.540,1.569,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
CIJJEN,2018,1.073,0.358,18.600,0.384,3.540,4.180,1.181,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[3.9-4.2),[1.1-1.2)
NIMLAZ,2018,1.165,0.506,697.800,0.365,3.540,6.670,1.884,1D,[1.1-1.2),[0.5-0.6),[600-800),[0.3-0.4),[3.3-3.6),[6.5-7.0),[1.8-2.0)
QIGDEP04,2018,1.045,0.484,626.880,0.504,3.540,5.560,1.571,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
QIGDEP05,2018,1.044,0.484,631.690,0.501,3.540,5.550,1.568,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
QIGDEP08,2018,1.040,0.485,639.370,0.505,3.540,5.550,1.568,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
QIGDEP19,2018,1.044,0.484,629.000,0.506,3.540,5.550,1.568,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
HIQTUZ,2018,1.698,0.281,28.680,0.121,3.550,4.490,1.265,2D,[1.6-1.8),[0.2-0.3),[0-50),[0.1-0.2),[3.3-3.6),[4.4-4.5),[1.2-1.3)
QIGDEP01,2018,1.043,0.484,631.440,0.508,3.550,5.570,1.569,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
CIJGEK02,2018,1.087,0.363,21.910,0.387,3.560,4.200,1.180,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
CIJGEK03,2018,1.084,0.365,25.710,0.389,3.560,4.200,1.180,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
CIJJEN01,2018,1.072,0.360,20.210,0.388,3.560,4.200,1.180,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
CIJJOX,2018,1.070,0.361,21.950,0.386,3.560,4.200,1.180,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
OFUHIJ,2018,1.822,0.317,93.450,0.136,3.560,4.890,1.374,1D,[1.8-2.0),[0.3-0.4),[50-100),[0.1-0.2),[3.3-3.6),[4.8-5.0),[1.3-1.4)
QIGDEP02,2018,1.042,0.485,634.870,0.508,3.560,5.580,1.567,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
QIGDEP06,2018,1.042,0.485,637.510,0.507,3.560,5.590,1.570,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
QIGDEP07,2018,1.039,0.485,647.540,0.504,3.560,5.590,1.570,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
CIJGEK04,2018,1.081,0.368,28.480,0.394,3.570,4.210,1.179,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
CIJGEK,2018,1.090,0.360,18.030,0.382,3.570,4.220,1.182,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
CIJJEN04,2018,1.062,0.366,28.380,0.397,3.570,4.210,1.179,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
CIJGEK01,2018,1.089,0.361,19.610,0.381,3.580,4.220,1.179,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
CIJGEK05,2018,1.078,0.369,31.460,0.392,3.580,4.230,1.182,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
PIFQAZ,2018,0.886,0.509,756.870,0.545,3.580,5.410,1.511,3D,[0.8-1.0),[0.5-0.6),[600-800),[0.5-0.6),[3.3-3.6),[5.3-5.6),[1.5-1.6)
CIJJEN02,2018,1.067,0.364,24.230,0.390,3.590,4.240,1.181,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
CIJJEN03,2018,1.065,0.365,26.360,0.388,3.590,4.230,1.178,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.3-3.6),[4.2-4.3),[1.1-1.2)
CIJGEK07,2018,1.072,0.372,37.420,0.396,3.600,4.250,1.181,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.6-3.8),[4.2-4.3),[1.1-1.2)
CIJGEK08,2018,1.069,0.375,41.670,0.404,3.600,4.240,1.178,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.4-0.5),[3.6-3.8),[4.2-4.3),[1.1-1.2)
CIJJEN05,2018,1.060,0.369,31.300,0.399,3.600,4.240,1.178,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.6-3.8),[4.2-4.3),[1.1-1.2)
CIJJEN06,2018,1.055,0.371,35.780,0.404,3.600,4.250,1.181,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.4-0.5),[3.6-3.8),[4.2-4.3),[1.1-1.2)
CIJJEN07,2018,1.052,0.372,39.080,0.409,3.600,4.250,1.181,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.4-0.5),[3.6-3.8),[4.2-4.3),[1.1-1.2)
CIJJEN08,2018,1.048,0.374,41.540,0.408,3.600,4.250,1.181,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.4-0.5),[3.6-3.8),[4.2-4.3),[1.1-1.2)
LINRUY,2018,1.768,0.352,109.160,0.184,3.600,4.340,1.206,1D,[1.6-1.8),[0.3-0.4),[100-150),[0.1-0.2),[3.6-3.8),[4.3-4.4),[1.2-1.3)
ZEYTAB01,2018,1.016,0.430,450.710,0.366,3.600,6.130,1.703,1D,[1.0-1.1),[0.4-0.5),[400-500),[0.3-0.4),[3.6-3.8),[6.0-6.5),[1.6-1.8)
CIJGEK06,2018,1.076,0.370,33.700,0.397,3.610,4.250,1.177,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.3-0.4),[3.6-3.8),[4.2-4.3),[1.1-1.2)
KIHFAL,2018,1.108,0.395,274.970,0.282,3.610,4.960,1.374,1D,[1.1-1.2),[0.3-0.4),[200-300),[0.2-0.3),[3.6-3.8),[4.8-5.0),[1.3-1.4)
MEWFOM,2018,0.800,0.570,443.580,0.592,3.610,4.950,1.371,2D,[0.8-1.0),[0.5-0.6),[400-500),[0.5-0.6),[3.6-3.8),[4.8-5.0),[1.3-1.4)
LINSAF,2018,1.816,0.362,99.060,0.183,3.610,4.350,1.205,1D,[1.8-2.0),[0.3-0.4),[50-100),[0.1-0.2),[3.6-3.8),[4.3-4.4),[1.2-1.3)
JICPIX,2018,1.100,0.536,837.770,0.386,3.610,6.630,1.837,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.3-0.4),[3.6-3.8),[6.5-7.0),[1.8-2.0)
CIJGEK09,2018,1.065,0.376,46.140,0.411,3.640,4.290,1.179,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.4-0.5),[3.6-3.8),[4.2-4.3),[1.1-1.2)
UFOLUZ,2018,1.474,0.139,9.330,0.077,3.640,4.290,1.179,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[3.6-3.8),[4.2-4.3),[1.1-1.2)
YEMWUL,2018,0.749,0.589,1264.210,0.682,3.640,5.830,1.602,1D,[0.6-0.8),[0.5-0.6),[1250-1500),[0.6-0.8),[3.6-3.8),[5.6-6.0),[1.6-1.8)
MEQPUW,2018,1.284,0.265,58.510,0.156,3.640,4.290,1.179,2D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[3.6-3.8),[4.2-4.3),[1.1-1.2)
OFOYUG,2018,1.559,0.254,92.350,0.103,3.640,4.730,1.299,1D,[1.5-1.6),[0.2-0.3),[50-100),[0.1-0.2),[3.6-3.8),[4.6-4.8),[1.2-1.3)
REQWAO,2018,1.341,0.228,114.400,0.120,3.660,5.350,1.462,1D,[1.3-1.4),[0.2-0.3),[100-150),[0.1-0.2),[3.6-3.8),[5.3-5.6),[1.4-1.5)
WISSUP,2018,1.275,0.548,116.890,0.314,3.670,4.330,1.180,1D,[1.2-1.3),[0.5-0.6),[100-150),[0.3-0.4),[3.6-3.8),[4.3-4.4),[1.1-1.2)
VERFOQ,2018,1.202,0.416,154.740,0.240,3.680,4.780,1.299,1D,[1.2-1.3),[0.4-0.5),[150-200),[0.2-0.3),[3.6-3.8),[4.6-4.8),[1.2-1.3)
GILJAP,2018,1.624,0.473,350.600,0.253,3.680,6.430,1.747,1D,[1.6-1.8),[0.4-0.5),[300-400),[0.2-0.3),[3.6-3.8),[6.0-6.5),[1.6-1.8)
VIBFEU,2018,1.377,0.361,419.770,0.217,3.680,6.940,1.886,2D,[1.3-1.4),[0.3-0.4),[400-500),[0.2-0.3),[3.6-3.8),[6.5-7.0),[1.8-2.0)
AFIJUX,2018,1.024,0.463,573.580,0.372,3.680,5.560,1.511,1D,[1.0-1.1),[0.4-0.5),[500-600),[0.3-0.4),[3.6-3.8),[5.3-5.6),[1.5-1.6)
QIGDEP09,2018,1.038,0.487,662.390,0.507,3.680,5.570,1.514,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.6-3.8),[5.3-5.6),[1.5-1.6)
QIGDEP13,2018,1.037,0.488,665.970,0.505,3.690,5.580,1.512,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.6-3.8),[5.3-5.6),[1.5-1.6)
PEXWAT,2018,1.569,0.187,3.580,0.094,3.700,4.110,1.111,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[3.6-3.8),[3.9-4.2),[1.1-1.2)
IDIFEJ,2018,0.954,0.508,555.440,0.499,3.700,5.410,1.462,1D,[0.8-1.0),[0.5-0.6),[500-600),[0.4-0.5),[3.6-3.8),[5.3-5.6),[1.4-1.5)
QIGDEP10,2018,1.037,0.489,668.790,0.511,3.700,5.590,1.511,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.6-3.8),[5.3-5.6),[1.5-1.6)
QIGDEP17,2018,1.035,0.489,673.670,0.509,3.700,5.600,1.514,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.6-3.8),[5.6-6.0),[1.5-1.6)
QIGDEP18,2018,1.036,0.489,671.520,0.506,3.700,5.600,1.514,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.6-3.8),[5.6-6.0),[1.5-1.6)
NIFSUT,2018,0.907,0.531,1088.270,0.532,3.710,11.200,3.019,3D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.5-0.6),[3.6-3.8),[8.0-72.0],[3.0-4.0)
JESTIN,2018,1.326,0.296,157.260,0.172,3.710,4.580,1.235,1D,[1.3-1.4),[0.2-0.3),[150-200),[0.1-0.2),[3.6-3.8),[4.5-4.6),[1.2-1.3)
WETPUJ,2018,1.369,0.298,215.020,0.182,3.710,5.600,1.509,1D,[1.3-1.4),[0.2-0.3),[200-300),[0.1-0.2),[3.6-3.8),[5.6-6.0),[1.5-1.6)
QIGDEP12,2018,1.034,0.490,677.390,0.513,3.710,5.610,1.512,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.6-3.8),[5.6-6.0),[1.5-1.6)
QIGDEP14,2018,1.033,0.489,678.940,0.511,3.710,5.610,1.512,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.6-3.8),[5.6-6.0),[1.5-1.6)
QIGDEP15,2018,1.033,0.490,678.340,0.508,3.710,5.600,1.509,2D,[1.0-1.1),[0.4-0.5),[600-800),[0.5-0.6),[3.6-3.8),[5.6-6.0),[1.5-1.6)
YINHEL,2018,0.744,0.665,1230.910,0.733,3.720,5.620,1.511,2D,[0.6-0.8),[0.6-0.7),[1000-1250),[0.6-0.8),[3.6-3.8),[5.6-6.0),[1.5-1.6)
FEYZIV,2018,0.839,0.436,378.570,0.415,3.720,4.830,1.298,2D,[0.8-1.0),[0.4-0.5),[300-400),[0.4-0.5),[3.6-3.8),[4.8-5.0),[1.2-1.3)
JIMBAL,2018,1.090,0.397,241.970,0.283,3.730,4.970,1.332,1D,[1.0-1.1),[0.3-0.4),[200-300),[0.2-0.3),[3.6-3.8),[4.8-5.0),[1.3-1.4)
OFABUV,2018,1.147,0.638,399.180,0.488,3.730,4.600,1.233,2D,[1.1-1.2),[0.6-0.7),[300-400),[0.4-0.5),[3.6-3.8),[4.6-4.8),[1.2-1.3)
PIZNUK,2018,1.166,0.569,886.610,0.450,3.730,5.640,1.512,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.4-0.5),[3.6-3.8),[5.6-6.0),[1.5-1.6)
WEVVIF,2018,1.081,0.529,241.060,0.417,3.740,4.990,1.334,1D,[1.0-1.1),[0.5-0.6),[200-300),[0.4-0.5),[3.6-3.8),[4.8-5.0),[1.3-1.4)
FEYZIV05,2018,0.874,0.429,316.000,0.385,3.740,4.990,1.334,2D,[0.8-1.0),[0.4-0.5),[300-400),[0.3-0.4),[3.6-3.8),[4.8-5.0),[1.3-1.4)
KICNUI,2018,1.300,0.350,93.910,0.199,3.740,4.510,1.206,1D,[1.3-1.4),[0.3-0.4),[50-100),[0.1-0.2),[3.6-3.8),[4.5-4.6),[1.2-1.3)
CILTAV,2018,1.157,0.361,503.470,0.245,3.740,6.530,1.746,3D,[1.1-1.2),[0.3-0.4),[500-600),[0.2-0.3),[3.6-3.8),[6.5-7.0),[1.6-1.8)
ZEYTAB,2018,1.003,0.440,509.050,0.380,3.740,6.240,1.668,1D,[1.0-1.1),[0.4-0.5),[500-600),[0.3-0.4),[3.6-3.8),[6.0-6.5),[1.6-1.8)
JITKOP,2018,1.014,0.521,835.780,0.421,3.740,5.760,1.540,1D,[1.0-1.1),[0.5-0.6),[800-1000),[0.4-0.5),[3.6-3.8),[5.6-6.0),[1.5-1.6)
PIVVIC,2018,1.044,0.193,146.820,0.131,3.750,5.880,1.568,1D,[1.0-1.1),[0.1-0.2),[100-150),[0.1-0.2),[3.6-3.8),[5.6-6.0),[1.5-1.6)
NIPFUQ,2018,1.208,0.370,281.880,0.222,3.770,5.170,1.371,1D,[1.2-1.3),[0.3-0.4),[200-300),[0.2-0.3),[3.6-3.8),[5.0-5.3),[1.3-1.4)
YELKOS,2018,1.073,0.378,381.860,0.304,3.770,4.890,1.297,2D,[1.0-1.1),[0.3-0.4),[300-400),[0.3-0.4),[3.6-3.8),[4.8-5.0),[1.2-1.3)
MICRAU,2018,1.033,0.545,409.330,0.443,3.770,5.170,1.371,1D,[1.0-1.1),[0.5-0.6),[400-500),[0.4-0.5),[3.6-3.8),[5.0-5.3),[1.3-1.4)
HERMEZ,2018,1.374,0.486,578.490,0.301,3.770,5.510,1.462,1D,[1.3-1.4),[0.4-0.5),[500-600),[0.3-0.4),[3.6-3.8),[5.3-5.6),[1.4-1.5)
KINGUM,2018,1.407,0.473,478.430,0.295,3.790,7.820,2.063,1D,[1.4-1.5),[0.4-0.5),[400-500),[0.2-0.3),[3.6-3.8),[7.0-8.0),[2.0-2.5)
JEGCAA01,2018,1.490,0.207,52.090,0.103,3.790,5.200,1.372,1D,[1.4-1.5),[0.2-0.3),[50-100),[0.1-0.2),[3.6-3.8),[5.0-5.3),[1.3-1.4)
ZIWQII,2018,1.739,0.235,60.180,0.099,3.790,4.470,1.179,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[3.6-3.8),[4.4-4.5),[1.1-1.2)
YICCOF,2018,1.183,0.453,431.790,0.314,3.800,5.210,1.371,3D,[1.1-1.2),[0.4-0.5),[400-500),[0.3-0.4),[3.8-4.0),[5.0-5.3),[1.3-1.4)
REQVUH,2018,1.315,0.208,69.570,0.104,3.800,4.590,1.208,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[3.8-4.0),[4.5-4.6),[1.2-1.3)
AFIKIM,2018,1.062,0.475,595.190,0.382,3.800,5.740,1.511,1D,[1.0-1.1),[0.4-0.5),[500-600),[0.3-0.4),[3.8-4.0),[5.6-6.0),[1.5-1.6)
HENGEP,2018,1.307,0.440,634.180,0.300,3.800,5.850,1.539,3D,[1.3-1.4),[0.4-0.5),[600-800),[0.3-0.4),[3.8-4.0),[5.6-6.0),[1.5-1.6)
CIGYUP,2018,1.185,0.418,338.140,0.255,3.810,5.570,1.462,1D,[1.1-1.2),[0.4-0.5),[300-400),[0.2-0.3),[3.8-4.0),[5.3-5.6),[1.4-1.5)
JESTEJ,2018,1.318,0.303,164.830,0.177,3.820,4.610,1.207,1D,[1.3-1.4),[0.3-0.4),[150-200),[0.1-0.2),[3.8-4.0),[4.6-4.8),[1.2-1.3)
DEPNEU,2018,2.047,0.306,284.060,0.170,3.820,5.400,1.414,1D,[2.0-7.0],[0.3-0.4),[200-300),[0.1-0.2),[3.8-4.0),[5.3-5.6),[1.4-1.5)
DEPNOE,2018,2.073,0.304,280.400,0.167,3.820,5.400,1.414,1D,[2.0-7.0],[0.3-0.4),[200-300),[0.1-0.2),[3.8-4.0),[5.3-5.6),[1.4-1.5)
DEPNIY,2018,2.057,0.306,288.440,0.170,3.830,5.410,1.413,1D,[2.0-7.0],[0.3-0.4),[200-300),[0.1-0.2),[3.8-4.0),[5.3-5.6),[1.4-1.5)
SERZAT,2018,1.118,0.407,449.840,0.258,3.830,5.260,1.373,1D,[1.1-1.2),[0.4-0.5),[400-500),[0.2-0.3),[3.8-4.0),[5.0-5.3),[1.3-1.4)
GIPNOL,2018,1.183,0.294,249.200,0.174,3.850,5.620,1.460,1D,[1.1-1.2),[0.2-0.3),[200-300),[0.1-0.2),[3.8-4.0),[5.6-6.0),[1.4-1.5)
XIGYOE,2018,2.379,0.425,321.030,0.186,3.850,5.130,1.332,1D,[2.0-7.0],[0.4-0.5),[300-400),[0.1-0.2),[3.8-4.0),[5.0-5.3),[1.3-1.4)
QEWSAP,2018,1.114,0.493,635.720,0.344,3.850,4.760,1.236,1D,[1.1-1.2),[0.4-0.5),[600-800),[0.3-0.4),[3.8-4.0),[4.6-4.8),[1.2-1.3)
CEXLEZ,2018,1.099,0.445,186.810,0.343,3.870,4.470,1.155,1D,[1.0-1.1),[0.4-0.5),[150-200),[0.3-0.4),[3.8-4.0),[4.4-4.5),[1.1-1.2)
GILHOB01,2018,1.586,0.477,380.230,0.263,3.870,6.450,1.667,1D,[1.5-1.6),[0.4-0.5),[300-400),[0.2-0.3),[3.8-4.0),[6.0-6.5),[1.6-1.8)
UFOGEE,2018,1.079,0.471,200.690,0.331,3.880,4.480,1.155,1D,[1.0-1.1),[0.4-0.5),[200-300),[0.3-0.4),[3.8-4.0),[4.4-4.5),[1.1-1.2)
SICHAQ,2018,0.981,0.563,529.810,0.471,3.880,5.040,1.299,2D,[0.8-1.0),[0.5-0.6),[500-600),[0.4-0.5),[3.8-4.0),[5.0-5.3),[1.2-1.3)
WIJCUQ,2018,1.361,0.200,157.990,0.109,3.890,5.190,1.334,1D,[1.3-1.4),[0.1-0.2),[150-200),[0.1-0.2),[3.8-4.0),[5.0-5.3),[1.3-1.4)
CEVGIW,2018,1.122,0.438,320.690,0.285,3.890,5.340,1.373,1D,[1.1-1.2),[0.4-0.5),[300-400),[0.2-0.3),[3.8-4.0),[5.3-5.6),[1.3-1.4)
FEYZIV03,2018,0.866,0.433,375.920,0.397,3.890,5.050,1.298,2D,[0.8-1.0),[0.4-0.5),[300-400),[0.3-0.4),[3.8-4.0),[5.0-5.3),[1.2-1.3)
YITGOA,2018,1.112,0.449,396.650,0.303,3.890,5.340,1.373,1D,[1.1-1.2),[0.4-0.5),[300-400),[0.3-0.4),[3.8-4.0),[5.3-5.6),[1.3-1.4)
