DDEC code,MOF family,Ref code,Pressure (bar),Grav. Uptake (mol/kg),Vol. Uptake (cm3/cm3),Qst (kJ/mol),Grav. Working Capacity (mol/kg),Deliverable Capacity (Vol.),Density (g/cm3),Pore Limiting Diameter (A),Largest Cavity Diameter (A),Vol. Surface Area (m2/cm3),Grav. Surface Area (m2/g),Pore Volume (cm3/g),Void Fraction
KAXZUG,None,core-mof-ddec-1224,1,0.222583481,8.02462248,23.83883,0.760309764,26.47605832,1.60849,2.59,4.51,0,0,0.043519077,0.07
KAYBIX,None,core-mof-ddec-1225,1,0.86370761,23.50935294,20.11154,0.596765817,21.51471609,1.21439,5.49,5.69,1113.42,916.862,0.34585265,0.42
KAYBUJ,None,core-mof-ddec-1226,1,0.814767157,21.80713406,19.9403,4.755119379,129.4301202,1.19412,5.24,5.49,1133.4,949.153,0.351723445,0.42
KAYCIY,None,core-mof-ddec-1227,1,0.567808533,12.43539002,19.27607,4.519392916,120.9609474,0.977102,4.86,5.92,1676.2,1715.49,0.573123379,0.56
KECRAL10,None,core-mof-ddec-1228,1,0.097510084,2.284223228,16.77371,7.915943375,173.3645016,1.04513,5.72,7.14,2502.9,2394.81,0.554954886,0.58
KEDQAN,ZnO,core-mof-ddec-1229,1,0.636762133,17.73080261,10.42396,7.544548525,176.7348805,1.24227,4.7,6.47,691.801,556.885,0.249543175,0.31
BAHGUN,None,core-mof-ddec-123,1,1.011446974,33.8639503,20.24957,3.094368359,86.1634695,1.49375,3.26,4.28,0,0,0.093723849,0.14
KEFBEE,ZnO,core-mof-ddec-1230,1,0.377088967,5.968603137,20.92687,0.948426727,31.75398849,0.706119,7.04,11.08,2202.95,3119.8,1.090467754,0.77
KEFBOO,ZnO,core-mof-ddec-1231,1,0.37312198,6.028938553,13.40506,16.89525914,267.4199075,0.72084,8.05,11.99,2188.93,3036.63,1.040452805,0.75
KEFWID,None,core-mof-ddec-1232,1,0.226096002,9.067947731,13.26893,15.6941802,253.5879768,1.78935,3.71,5.19,0,0,0.162070025,0.29
KEGYAX,None,core-mof-ddec-1233,1,0.081963012,4.590174634,16.55899,2.102316742,84.31683067,2.49857,3.78,4.05,135.839,54.3665,0.06003434,0.15
KEHGOV,None,core-mof-ddec-1234,1,0.023288226,0.83469252,18.75085,1.418072254,79.41630144,1.5991,2.85,3.61,0,0,0.068788694,0.11
KEJBOQ,None,core-mof-ddec-1235,1,0.925724222,27.16475476,18.74829,1.831494713,65.64411189,1.30921,3.93,5.18,685.464,523.573,0.313165955,0.41
KEJHIQ,None,core-mof-ddec-1236,1,0.877533821,25.54454429,19.91728,2.841767315,83.38975081,1.29873,3.99,5.29,704.347,542.336,0.315693023,0.41
KENJEU,None,core-mof-ddec-1237,1,0.372247231,9.847739272,19.5389,3.426156982,99.73361331,1.18024,3.67,6.21,0,0,0.237239883,0.28
KEQZAJ,None,core-mof-ddec-1238,1,0.582964971,17.32371018,18.93144,4.173611691,110.4122109,1.32582,3.11,4.83,0,0,0.11313753,0.15
KESGAS,None,core-mof-ddec-1239,1,0.471449882,11.90778637,18.52198,0.857885343,25.49339634,1.12689,5.12,5.62,889.746,789.558,0.275093399,0.31
BAHMAZ,None,core-mof-ddec-124,1,0.322055647,10.45715745,17.70264,3.734571312,94.32705157,1.44866,3.87,5.11,369.071,254.767,0.20708793,0.3
KESHAT,None,core-mof-ddec-1240,1,0.151177777,6.05909981,17.69399,3.001417854,97.45613635,1.78814,3.89,4.71,634.471,354.821,0.162179695,0.29
KETHEY,None,core-mof-ddec-1241,1,0.714328528,23.72728812,17.46784,2.668524211,106.9525884,1.48195,3.59,5.29,0,0,0.20243598,0.3
KETSEI,None,core-mof-ddec-1242,1,0.256677041,11.84007544,19.86399,2.400888238,79.74841367,2.05802,3.27,4.17,0,0,0.058308471,0.12
KEVVIS,None,core-mof-ddec-1243,1,0.306791446,7.982483664,22.16585,1.507431515,69.53525239,1.16086,5.82,6.5,847.492,730.057,0.275657702,0.32
KEVWUF,None,core-mof-ddec-1244,1,0.172349754,4.025016093,18.1338,4.19796389,109.2278766,1.04193,4.19,9.54,1803.3,1730.72,0.604647145,0.63
KEWZOD,ZnO,core-mof-ddec-1245,1,0.522546528,9.857181415,13.91661,9.725837099,227.134939,0.841576,4.77,8.26,1848.82,2196.85,0.724830556,0.61
KEXKAB,ZnO,core-mof-ddec-1246,1,0.573592792,19.07154666,16.6515,11.26688962,212.535667,1.48331,3.27,4.09,0,0,0.114608544,0.17
KEXKEF,ZnO,core-mof-ddec-1247,1,0.493378774,13.72883095,22.9792,2.142172451,71.22568903,1.24139,2.8,4.72,0,0,0.153054238,0.19
KEXPOU,ZnO,core-mof-ddec-1248,1,0.523473484,15.71901546,19.28493,3.307310557,92.0297141,1.33962,2.74,4.06,0,0,0.111972052,0.15
KEYYET,None,core-mof-ddec-1249,1,0.044022122,2.695499435,19.97014,2.371862252,71.22297599,2.73182,4.16,4.99,1606.69,588.141,0.204991544,0.56
BAKGAX,None,core-mof-ddec-125,1,0.251594609,9.665947594,12.28162,2.637546089,161.4984404,1.71407,3.05,4.24,0,0,0.151685754,0.26
KIDDIM,None,core-mof-ddec-1250,1,0.535190531,17.54886013,17.95519,2.351566115,90.34420452,1.46293,3.54,5.26,0,0,0.287095076,0.42
KIDDOS,ZnO,core-mof-ddec-1251,1,0.707962203,21.34068563,18.12367,3.202952502,105.0245887,1.34479,3.53,5.2,0,0,0.304880316,0.41
KIDVIE,None,core-mof-ddec-1252,1,0.10076465,3.600145745,19.55867,3.303997647,99.59511238,1.59401,4.28,6.07,1143.18,717.172,0.269759914,0.43
KIFJUF,None,core-mof-ddec-1253,1,0.383569148,7.062885625,13.86953,3.931544154,140.4672376,0.821526,4.66,5.86,2178.65,2651.96,0.657313341,0.54
KIFKAM,None,core-mof-ddec-1254,1,0.788603308,21.72077617,15.19021,10.46857181,192.7640054,1.22885,3.05,4.32,0,0,0.227855312,0.28
KIFKEQ,None,core-mof-ddec-1255,1,0.947563938,19.821714,20.41474,3.41504015,94.06164282,0.933293,4.42,5.1,991.963,1062.86,0.503593191,0.47
KIFWUT,None,core-mof-ddec-1256,1,0.240548001,7.47097259,19.64561,7.37395014,154.2527368,1.38567,3.53,5.21,0,0,0.086600706,0.12
KIFXOO,None,core-mof-ddec-1257,1,0.542876922,14.34968533,19.68827,0.968488204,30.07943859,1.17931,3.03,4.98,0,0,0.195029297,0.23
